country	pm_id	lr	url	comment
BA	A-SDA	CR	https://en.wikipedia.org/wiki/Party_of_Democratic_Activity	-
BA	BOSS	L	https://en.wikipedia.org/wiki/Bosnian_Party	-
BA	BPS	CR	https://en.wikipedia.org/wiki/Bosnian-Herzegovinian_Patriotic_Party	-
BA	BSP	-	https://en.wikipedia.org/wiki/Party_of_Rights_of_Bosnia_and_Herzegovina_1861	No information about political orientation found.
BA	DF	CCL	https://en.wikipedia.org/wiki/Democratic_Front_(Bosnia_and_Herzegovina)	-
BA	DNS	CR	https://en.wikipedia.org/wiki/Democratic_People's_Alliance	-
BA	DNZ_BiH	BT	https://en.wikipedia.org/wiki/Democratic_People's_Union	Information about orientation found here: https://en.wikipedia.org/wiki/List_of_political_parties_in_Bosnia_and_Herzegovina
BA	DSP_BiH	-	https://en.wikipedia.org/wiki/Democratic_Party_of_Pensioners	No information about political orientation found.
BA	EB	-	https://en.wikipedia.org/wiki/Economic_Bloc	No information about political orientation found.
BA	GDS	-	https://bs.wikipedia.org/wiki/Građanska_demokratska_stranka_Bosne_i_Hercegovine	No information about political orientation found.
BA	HDZ-HK-HNZ	CR	https://hr.wikipedia.org/wiki/Hrvatska_demokratska_zajednica_Bosne_i_Hercegovine	-
BA	HDZ_1990	CR	https://en.wikipedia.org/wiki/Croatian_Democratic_Union_1990	-
BA	HDZ_BiH	CR	https://hr.wikipedia.org/wiki/Hrvatska_demokratska_zajednica_Bosne_i_Hercegovine	-
BA	HSS	C	https://hr.wikipedia.org/wiki/Hrvatska_seljačka_stranka_Bosne_i_Hercegovine	-
BA	K-SNSD	R	https://hr.wikipedia.org/wiki/Savez_nezavisnih_socijaldemokrata	-
BA	KCD_BiH	-	-	No website about party coalition found
BA	Koalicija	R	https://en.wikipedia.org/wiki/Croatian_Democratic_Union_of_Bosnia_and_Herzegovina https://hr.wikipedia.org/wiki/Hrvatska_seljačka_stranka_Bosne_i_Hercegovine https://bs.wikipedia.org/wiki/Hrvatska_kršćanska_demokratska_unija_Bosne_i_Hercegovine https://en.wikipedia.org/wiki/Croatian_Party_of_Rights_—_Dr._Ante_Starčević https://hr.wikipedia.org/wiki/Hrvatska_stranka_prava_Herceg-Bosne	Coalition of the following parties: Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne
BA	NB	BT	https://bs.wikipedia.org/wiki/Nezavisni_blok	-
BA	NHI	L	https://hr.wikipedia.org/wiki/Nova_hrvatska_inicijativa	-
BA	NHI-HKDU	C	https://en.wikipedia.org/wiki/Croatian_Christian_Democratic_Union	Coalition of NHI (left wing party) and HKDU (right wing party)
BA	NS	CCL	https://en.wikipedia.org/wiki/Our_Party_(Bosnia_and_Herzegovina)	-
BA	NS_RB	C	https://hr.wikipedia.org/wiki/Narodna_stranka_Radom_za_Boljitak	-
BA	PDA	CR	https://en.wikipedia.org/wiki/Movement_of_Democratic_Action	-
BA	PDP	CCR	https://en.wikipedia.org/wiki/Party_of_Democratic_Progress	-
BA	PDP-NDP	CR	https://en.wikipedia.org/wiki/Party_of_Democratic_Progress https://en.wikipedia.org/wiki/National_Democratic_Movement_(Bosnia_and_Herzegovina)	Coalition of PDP (centre to centre-right) and NDP (centre-right)
BA	RSRS	R	https://en.wikipedia.org/wiki/Serbian_Radical_Party_of_Republika_Srpska	-
BA	SBB	CR	https://en.wikipedia.org/wiki/Union_for_a_Better_Future_of_BiH	-
BA	SBiH	C	https://en.wikipedia.org/wiki/Party_for_Bosnia_and_Herzegovina	-
BA	SDA	CRR	https://en.wikipedia.org/wiki/Party_of_Democratic_Action	-
BA	SDP_BiH	CL	https://en.wikipedia.org/wiki/Social_Democratic_Party_(Bosnia_and_Herzegovina)	-
BA	SDS	CRR	https://en.wikipedia.org/wiki/Serb_Democratic_Party_(Bosnia_and_Herzegovina)	-
BA	SDUBiH	CL	https://en.wikipedia.org/wiki/Social_Democratic_Union_of_Bosnia_and_Herzegovina	-
BA	SD_BiH	CL	https://en.wikipedia.org/wiki/Social_Democrats_(Bosnia_and_Herzegovina)	-
BA	SNS	CR	https://en.wikipedia.org/wiki/Serb_National_Alliance	-
BA	SNSD	SY	https://en.wikipedia.org/wiki/Alliance_of_Independent_Social_Democrats	-
BA	SP	CL	https://en.wikipedia.org/wiki/Socialist_Party_(Bosnia_and_Herzegovina)	-
BA	SPRS	CL	https://bs.wikipedia.org/wiki/Socijalistička_partija_Republike_Srpske	-
BA	SPUBiH	-	https://en.wikipedia.org/wiki/Pensioners'_Party_of_Bosnia_and_Herzegovina	No information about political orientation found.
BA	SRSRS	R	https://en.wikipedia.org/wiki/Serbian_Radical_Party_of_Republika_Srpska	-
BA	Sloga	-	-	No website about party found
