country	pm_id	lr	url	comment
BE	Agalev	CLL	https://en.wikipedia.org/wiki/Groen_(political_party)	Today, this party is called Groen but was established as Agalev.
BE	CD&V	CCR	https://en.wikipedia.org/wiki/Christian_Democratic_and_Flemish	CD&V, CDV, CVP (until 2001)
BE	cdH	CCR	https://en.wikipedia.org/wiki/Humanist_Democratic_Centre	In 1972 PSC-CVP breaks down to Christian Social Party (PSC - which is called CDH after 2002), and Christian People’s Party (CVP - which is called CDV after 2001).
BE	CVP	C	https://en.wikipedia.org/wiki/Christian_Social_Party_(Belgium,_1945)	-
BE	Ecolo	CLL	https://en.wikipedia.org/wiki/Ecolo	-
BE	FDF	CCR	https://en.wikipedia.org/wiki/DéFI	-
BE	FN	FR	https://en.wikipedia.org/wiki/National_Front_(Belgium)	-
BE	Groen	CLL	https://en.wikipedia.org/wiki/Groen_(political_party)	-
BE	Groen!	CLL	https://en.wikipedia.org/wiki/Groen_(political_party)	-
BE	N-VA	CRR	https://en.wikipedia.org/wiki/New_Flemish_Alliance	In the 90s, Bert Anciaoux becomes the president of People’s Union Party (VU). From this point on the leadership of the party is much more progressive. During his time of presidency, he merged the ideas of iD21 movement as well as certain regional approaches inside the party. This was something that certain Party officials could not agree with and the more radical members formed a new party called VLAAMS BLOK. The tensions inside the VU party were rising until 2001 when the Party broke down into 3 separate parts: progressive part around Bert Anciaoux which created a Party called SPIRIT; conservative part which created a Party called N-VA; and central-liberal part which created OPEN VLD.
BE	LDD	R	https://en.wikipedia.org/wiki/Libertair,_Direct,_Democratisch	-
BE	MR	CR	https://en.wikipedia.org/wiki/Reformist_Movement	From 1992 the Reformist Movement (MR) consisted of: FDF, MCC, PRL and PFF. In September 2001, FDF decides to leave the alliance and chooses a new name, becoming DeFI.
BE	N-VA	CRR	https://en.wikipedia.org/wiki/New_Flemish_Alliance	-
BE	PP	RRF	https://en.wikipedia.org/wiki/People%27s_Party_(Belgium)	-
BE	PRL	CR	https://en.wikipedia.org/wiki/Liberal_Reformist_Party_(Belgium)	-
BE	PS	CLL	https://en.wikipedia.org/wiki/Socialist_Party_(Belgium)	-
BE	PSC	C	https://en.wikipedia.org/wiki/Christian_Social_Party_(Belgium,_1945)	-
BE	PVDA-PTB	LLF	https://en.wikipedia.org/wiki/Workers%27_Party_of_Belgium	-
BE	SP	CLL	https://en.wikipedia.org/wiki/Socialist_Party_(Belgium)	-
BE	sp.a	CL	https://en.wikipedia.org/wiki/Vooruit_(political_party)	-
BE	Spirit	L	https://en.wikipedia.org/wiki/SP.A–Spirit	-
BE	VB	RRF	https://en.wikipedia.org/wiki/Vlaams_Belang	-
BE	VLD	CR	https://en.wikipedia.org/wiki/Open_Flemish_Liberals_and_Democrats	-
BE	Volksunie	CCR	https://en.wikipedia.org/wiki/People%27s_Union_(Belgium)	-
BE	Agora	SI	https://en.wikipedia.org/wiki/Agora_(Belgium)	-
BE	B.U.B.	C	https://en.wikipedia.org/wiki/Belgische_Unie_–_Union_Belge	-
BE	BANAAN	L	https://en.wikipedia.org/wiki/ROSSEM	-
BE	Be.One	-	-	-
BE	CPB	FL	https://en.wikipedia.org/wiki/Communist_Party_of_Belgium_(1989)	-
BE	CSP	CCR	https://en.wikipedia.org/wiki/Christlich_Soziale_Partei_(Belgium)	-
BE	D-SA	-	https://nl.wikipedia.org/wiki/Democratisch-Solidair_Appèl	No information about political orientation found.
BE	D95	-	-	-
BE	DN	FR	https://en.wikipedia.org/wiki/National_Front_(Belgium)	-
BE	De Militant	-	-	-
BE	DierAnimal	CL	https://en.wikipedia.org/wiki/DierAnimal	-
BE	DéFi	CCR	https://en.wikipedia.org/wiki/DéFI	-
BE	EFP	-	https://en.wikipedia.org/wiki/European_Federalist_Party	No information about political orientation found.
BE	HOERA	L	https://en.wikipedia.org/wiki/ROSSEM	-
BE	ISLAM	FR	https://en.wikipedia.org/wiki/ISLAM_(Belgian_political_party)	-
BE	LSP-PSL	FL	https://en.wikipedia.org/wiki/Left_Socialist_Party_(Belgium)	-
BE	Militant Links	-	-	-
BE	Open Vld	CR	https://en.wikipedia.org/wiki/Open_Flemish_Liberals_and_Democrats	-
BE	PC	FL	https://fr.wikipedia.org/wiki/Parti_communiste_(Wallonie-Bruxelles)	-
BE	PFF	-	https://en.wikipedia.org/wiki/Partei_für_Freiheit_und_Fortschritt	-
BE	PPBE	PP	https://en.wikipedia.org/wiki/Pirate_Party_(Belgium)	-
BE	PTB	LLF	https://en.wikipedia.org/wiki/Workers%27_Party_of_Belgium	-
BE	PVV	CR	https://en.wikipedia.org/wiki/Party_for_Freedom_and_Progress	-
BE	Pro Bruxsel	-	https://en.wikipedia.org/wiki/Pro_Bruxsel	-
BE	ProDG	CCR	https://en.wikipedia.org/wiki/ProDG_(Belgium)	-
BE	R.W.F.	-	https://en.wikipedia.org/wiki/Rassemblement_Wallonie_France	-
BE	ROSSEM	L	https://en.wikipedia.org/wiki/ROSSEM	-
BE	SAP-GA	L	https://en.wikipedia.org/wiki/Anticapitalist_Left_(Belgium)	-
BE	SLP	CCL	https://en.wikipedia.org/wiki/Sociaal-Liberale_Partij	-
BE	SP_duitstalig	CLL	https://fr.wikipedia.org/wiki/SP_Regionalverband_Ostbelgien	-
BE	SoLiDe	L	https://nl.wikipedia.org/wiki/SoLiDe_(België)	-
BE	VSL	-	-	-
BE	Vivant	CL	https://en.wikipedia.org/wiki/Vivant	-
BE	Vl.Pro	CCL	https://en.wikipedia.org/wiki/Sociaal-Liberale_Partij	-
BE	Vlaams Blok	FR	https://en.wikipedia.org/wiki/Vlaams_Blok	-
BE	Volt	L	https://en.wikipedia.org/wiki/Volt_Belgium	-
BE	Vuye_Wouters	-	-	-
BE	WOW	L	https://en.wikipedia.org/wiki/ROSSEM	-
BE	onafhankelijk	R	https://en.wikipedia.org/wiki/VLOTT	-
BE	Vooruit	CL	https://en.wikipedia.org/wiki/Vooruit_(political_party)	This was sp.a party until 2021, then it was renamed into Vooruit.
