country	pm_id	lr	url	comment
BG	АБВ	CL	https://en.wikipedia.org/wiki/Alternative_for_Bulgarian_Revival	-
BG	ABV	CL	https://en.wikipedia.org/wiki/Alternative_for_Bulgarian_Revival	-
BG	БСП	CL	https://en.wikipedia.org/wiki/Bulgarian_Socialist_Party	-
BG	DB	CCR	https://en.wikipedia.org/wiki/Democratic_Bulgaria	-
BG	ДПС	C	https://en.wikipedia.org/wiki/Movement_for_Rights_and_Freedoms	-
BG	ГЕРБ	CR	https://en.wikipedia.org/wiki/GERB	-
BG	ВМРО–БНД	CCR	https://en.wikipedia.org/wiki/National_Movement_for_Stability_and_Progress	It was known as the National Movement Simeon II (Bulgarian: Национално движение „Симеон Втори“, romanized: Natsionalno dvizhenie „Simeon Vtori“) until 3 June 2007
BG	НФСБ	RRF	https://en.wikipedia.org/wiki/National_Front_for_the_Salvation_of_Bulgaria	-
BG	Атака	FR	https://en.wikipedia.org/wiki/Attack_(political_party)	-
BG	ВОЛЯ	RRF	https://en.wikipedia.org/wiki/Volya_Movement	-
BG	ЗС „Александър Стамболийски“	CL	https://en.wikipedia.org/wiki/Agrarian_Union_%22Aleksandar_Stamboliyski%22	-
BG	КПБ	FL	https://en.wikipedia.org/wiki/Communist_Party_of_Bulgaria	-
BG	НЗ	FR	https://en.wikipedia.org/wiki/Bulgarian_National_Union_%E2%80%93_New_Democracy	-
BG	ПБГ	CR	https://en.wikipedia.org/wiki/Reload_Bulgaria	Formerly known as Bulgaria Uncensored
BG	ПФ	R	https://en.wikipedia.org/wiki/Patriotic_Front_(Bulgaria,_2014)	-
BG	РБ	CR	https://en.wikipedia.org/wiki/Reformist_Bloc	-
BG	BSPLB	CL	https://en.wikipedia.org/wiki/BSP_for_Bulgaria	-
BG	WCC	C	https://en.wikipedia.org/wiki/We_Continue_the_Change	-
BG	MRF	C	https://en.wikipedia.org/wiki/Movement_for_Rights_and_Freedoms	-
BG	RUTO	CL	https://en.wikipedia.org/wiki/Stand_Up.BG!_We_are_coming!	-
BG	RUBGWC	-	https://en.wikipedia.org/wiki/Stand_Up.BG!_We_are_coming!	The same party as RUTO but RUTO was its former name which was changed to RUBGWC.
BG	BDC-NU	-	-	-
BG	TISP	BT	https://en.wikipedia.org/wiki/There_is_Such_a_People	-
BG	CoalAP	FR	https://en.wikipedia.org/wiki/Attack_(political_party)	-
BG	AP	FR	https://en.wikipedia.org/wiki/Attack_(political_party)	ATAKA, COALAP, AP, NOA, these are all abbreviations for the same party - ATAKA party.
BG	GERB	CR	https://en.wikipedia.org/wiki/GERB	-
BG	GERB-UDF	CR	https://en.wikipedia.org/wiki/Union_of_Democratic_Forces_(Bulgaria)	Since 2019 parties GERB and UDF are in alliance.
BG	UP	RRF	https://en.wikipedia.org/wiki/United_Patriots	-
BG	RB	CR	https://en.wikipedia.org/wiki/Reformist_Bloc	The same party as РБ above.
BG	PF	R	https://en.wikipedia.org/wiki/Patriotic_Front_(Bulgaria,_2014)	The same party as ПФ above.
BG	VOLYA	RRF	https://en.wikipedia.org/wiki/Volya_Movement	The same party as ВОЛЯ above
BG	RP	FR	https://en.wikipedia.org/wiki/Revival_(Bulgarian_political_party)	-
BG	ITN	-	https://en.wikipedia.org/wiki/There_is_Such_a_People	The same party as TISP above.
BG	DABG	CCR	https://en.wikipedia.org/wiki/Yes,_Bulgaria!	-
BG	DSB	CRR	https://en.wikipedia.org/wiki/Democrats_for_a_Strong_Bulgaria	-
BG	GrMov	C	https://en.wikipedia.org/wiki/Green_Movement_(Bulgaria)	-
BG	BSPFB	CL	https://en.wikipedia.org/wiki/BSP_for_Bulgaria	-
