country	pm_id	ches_id	year	chesversion	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_three	mip_two	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote
DK	ALT	A	2019	2020.1	2.5	3.21	4.22	3	3.43	-	2.55	4.92	2.54	-	-	1.77	-	-	-	2.91	1	3.42	2019	9.64	2.14	3.4	2.23	-	-	5	-	3.5	4.14	4.38	2.57	-	-	-	-	-	3.75	-	4.20	-	5.38	-	4.29	-	1	14	7	0.93	0.80	0.67	7.86	-	0.0	2	2	5.57	-	-	4.08	-	-	-	2.17	5.62	2	1.46	6.46	3.62	4.14	2.85	-	4.11	-	0.88	0.77	2.90	-	0.57	3	-	2.64	-	-	-	3
DK	DF	DF	1999	2020.1	8.86	7.29	-	-	-	-	-	-	-	-	13720	-	-	-	-	-	1	-	1998	-	-	5.80	-	-	-	1.33	-	-	-	1.43	0	-	1.67	1.57	1.57	1.14	1.29	-	-	-	1.43	-	6.43	-	1	7	1	8	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7.30	-	-	-	-	-	-	-	-	7.4
DK	DF	DF	2002	2020.1	8.85	6.08	-	-	-	-	-	-	-	-	13720	-	-	-	-	-	1	-	2001	-	-	5.80	-	-	3.92	1.33	-	-	-	2	1.58	-	1.9	3.67	1.46	-	2.08	-	2.69	-	1.62	-	6.67	-	1	13	1	8.92	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12.3	-	-	-	-	-	-	-	-	12.4
DK	DF	DF	2006	2020.1	7.67	4.75	-	-	-	-	-	-	8.80	7.40	13720	-	9.25	7.75	3.60	5.80	1	-	2005	-	-	6.80	8	9.25	-	-	-	-	-	2.71	1.67	-	-	-	2.25	-	2.29	-	3	-	2.33	-	5.20	1.75	1	9	1	7.63	-	-	-	-	0.0	-	9.20	9.75	-	-	-	-	-	-	-	-	9.60	-	-	-	6.20	3.80	2	6.5	5.75	4.80	-	13.4	5.25	6.40	3.40	6.20	4.33	1.25	6.75	4.5	13.2
DK	DF	DF	2010	2020.1	7.82	5.45	-	-	-	-	-	-	9.40	8.5	13720	-	-	-	3.78	5.33	1	-	2007	3.18	7.36	15.28	9	8.82	-	-	2.45	-	-	4.75	0.90	-	-	-	3	-	2.44	-	3.64	-	2.36	-	6.67	1	1	11	1	9.40	-	-	-	-	0.0	-	9.64	9.64	4.90	4.30	-	-	-	-	-	9.36	9.55	-	-	-	5.55	4.36	3.12	5.62	6.10	4.38	-	14	6	6.67	5.09	5.73	5.80	4.30	-	-	13.9
DK	DF	DF	2014	2020.1	6.90	4.5	-	-	4.89	-	-	6.90	8.56	-	13720	2.44	-	-	-	4.5	1	4.60	2011	-	6.89	26.6	8	-	-	-	2.82	-	1.56	2.80	1.09	-	-	-	3.25	-	1.89	-	3.67	-	1.91	-	7.27	1.11	1	11	1	8.40	-	-	7.22	-	0.0	-	9.70	-	-	3.78	-	9	8	13	-	-	9.5	9.11	-	-	-	3.62	-	5	-	4.78	-	12.3	-	6.20	4	-	6.56	-	-	-	12.2
DK	DF	DF	2019	2020.1	6.93	4.43	4.67	6	4.14	-	7.91	5.69	8.93	-	13720	1.69	-	-	-	5	1	4.92	2019	2.21	6.79	10.8	9.23	-	-	1.17	-	1.75	1.33	2.89	1.44	-	-	-	-	-	1.58	-	3.08	-	2.0	-	6.79	-	1	14	1	8	0.60	1.33	7.93	-	0.0	1.14	9	9.5	-	-	9.36	-	-	-	1.08	8.62	9.23	9.23	5.77	6.27	5	4.36	-	4.58	-	5	1.08	9.10	-	5.43	4.15	-	7.71	-	-	-	8.70
DK	EL	EL	1999	2020.1	1.0	1.0	-	-	-	-	-	-	-	-	13229	-	-	-	-	-	1	-	1998	-	-	-	-	-	-	2.5	-	-	-	1.83	0	-	2.33	3	1.57	1	1.14	-	-	-	1.14	-	6.79	-	1	7	6	2.33	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.8	-	-	-	-	-	-	-	-	2.70
DK	EL	EL	2006	2020.1	1.0	1.13	-	-	-	-	-	-	1.60	7	13229	-	3.5	4.75	3.20	1.80	1	-	2005	-	-	-	2.25	7.75	-	-	-	-	-	3.43	2.22	-	-	-	2.38	-	2.29	-	2.13	-	2.11	-	5.57	4.5	1	9	6	1.63	-	-	-	-	0.0	-	1	7.75	-	-	-	-	-	-	-	-	1.4	-	-	-	8.60	0.60	4.75	4.5	4.5	2	-	3.40	6.25	1	1	5.80	2	1.25	.75	8.25	3.4
DK	EL	EL	2010	2020.1	1.0	0.82	-	-	-	-	-	-	1.60	7	13229	-	-	-	5.20	1.36	1	-	2007	8.36	0.91	-	1.27	7.91	-	-	2.91	-	-	4.25	1.5	-	-	-	3.12	-	2	-	2.45	-	1.73	-	5.45	3.88	1	11	6	1.70	-	-	-	-	0.0	-	1.27	7.73	6.40	7.10	-	-	-	-	-	7.55	1.45	-	-	-	8.36	1.91	4.38	3.57	2	1.44	-	2.2	6.60	1.80	0.73	7.27	2.80	2.5	-	-	2.2
