country	pm_id	ches_id	year	chesversion	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_three	mip_two	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote
EE	0	ERL	2006	2020.1	4.2	4.0	-	-	-	-	-	-	6.20	3.75	83612	-	5.80	5	5	3.75	0	-	2003	-	-	8	5	5	-	-	-	-	-	-	4.67	-	-	-	-	-	5.67	-	4.67	-	4.17	-	4.43	-	1	6	11	6	-	-	-	-	1.0	-	6.25	4	-	-	-	-	-	-	-	-	5.5	-	-	-	4.25	4.20	-	4.25	1.25	5.25	-	12.9	2	6	3.20	5	7	8.25	4.40	4	13
EE	0	KP	2006	2020.1	2.25	2.33	-	-	-	-	-	-	-	-	-	-	4	9.67	-	-	0	-	2003	-	-	-	0.20	9.75	-	-	-	-	-	-	3.75	-	-	-	-	-	3.33	-	4	-	3.33	-	3.33	-	1	6	8	-	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	2	-	-	-	.75	4	2.2
EE	0	EER	2010	2020.1	4.55	5.33	-	-	-	-	-	-	3.36	4.22	83110	-	-	-	3.09	5	0	-	2007	8.23	2.08	2.73	4.5	3.11	-	-	1.43	-	-	6.33	2.78	-	-	-	4.86	-	6	-	6.14	-	5.85	-	5.38	4.83	1	14	7	2.83	-	-	-	-	1.0	-	5	2	2.44	4.5	-	-	-	-	-	2.67	4.71	-	-	-	3.45	4.67	3.14	3.14	1.11	2.78	-	5.90	2.67	3	4.55	4.46	4.60	4.70	-	-	7.1
EE	0	ERL	2010	2020.1	4.0	3.43	-	-	-	-	-	-	6.17	4.33	83612	-	-	-	5.64	3.92	0	-	2007	6.36	4.67	2.23	6.36	4.91	-	-	2	-	-	6	4.40	-	-	-	4.12	-	5.38	-	4.36	-	4.57	-	4.76	3.80	1	14	11	7.14	-	-	-	-	0.0	-	7.89	3.78	3.10	5.10	-	-	-	-	-	4.5	7.5	-	-	-	6.17	3.29	7.22	2.44	1.60	4.20	-	5.90	2.30	7.25	3.36	5.64	9.23	8.62	-	-	7.1
EE	0	IRL	2010	2020.1	7.23	7.57	-	-	-	-	-	-	6.42	5.78	83611	-	-	-	5.92	7.08	0	-	2007	2.91	6.58	12.22	7.67	7.08	-	-	1	-	-	6.40	1.38	-	-	-	6	-	6.27	-	6	-	6.5	-	7.86	4.38	1	14	2	6.57	-	-	-	-	1.0	-	6.78	5.44	6.27	1.73	-	-	-	-	-	6.70	8	-	-	-	6.77	7	4.11	6	3.5	6.25	-	18.80	3.70	7.25	6.71	6.93	4.17	4.08	-	-	17.9
EE	0	EER	2014	2020.1	5.75	6.0	-	-	4.88	-	-	7.5	3.83	-	83110	7.75	-	-	-	5.33	0	5.33	2011	-	2.38	-	5	-	-	-	1	-	4	6.88	2.5	-	-	-	5.80	-	6.5	-	6.29	-	6.0	-	6.38	4.5	1	8	7	4.29	-	-	5.38	-	0.0	-	5.67	-	-	2.40	-	6	31	2	-	-	4	4.29	-	-	-	5.33	-	3.60	-	3.17	-	0	-	4	4.57	-	4.71	-	-	-	3.8
EE	0	IRL	2014	2020.1	7.75	8.25	-	-	7.88	-	-	1.62	5.75	-	83611	5.5	-	-	-	8.62	0	8	2011	-	7.12	13.9	8.57	-	-	-	1	-	5	6.88	1.75	-	-	-	5.5	-	6.86	-	6.62	-	6.5	-	7.12	5	1	8	2	6.62	-	-	7.75	-	0.5	-	6.5	-	-	1	-	10	2	12	-	-	7.14	8.12	-	-	-	8	-	5.88	-	4.86	-	22.80	-	5.5	7.62	-	3	-	-	-	20.5
EE	0	E200	2019	2020.1	5.15	5.85	5.60	3.8	6.23	-	0.62	3.77	2.67	-	-	5.31	-	-	-	5.40	0	5.09	2019	5.69	3.75	3.2	3.31	-	-	5	-	1.57	5.33	6.42	1.33	-	-	-	-	-	5.33	-	6.36	-	6.75	-	7	-	1	13	3	2.15	2.5	1.2	6.17	-	0.0	3.5	2.46	5.58	-	-	5.27	-	-	-	2.8	6.77	2.33	1.85	5.33	3	5.5	4.82	-	5.11	-	2.5	3.90	0	-	1.54	4.62	-	2.75	-	-	-	4.4
EE	0	IRL	2019	2020.1	7.54	7.08	2.40	3.62	6.23	-	3.92	2.62	6.85	-	83611	4.08	-	-	-	6.58	0	6.69	2019	3.85	5.25	10.3	7.15	-	-	2.69	-	4.62	4.27	5.67	2.5	-	-	-	-	-	4.46	-	5.42	-	5.08	-	5.75	-	1	13	2	7.38	2.29	2.8	7.08	-	1.0	3.45	7.62	6.62	-	-	6.69	-	-	-	2.40	6.38	7.58	8	4.69	5.92	5.25	6.33	-	4.70	-	6.54	5.62	11.9	-	7.69	6	-	5.92	-	-	-	11.4
EE	EKRE	EKRE	2019	2020.1	8.46	4.69	4.60	3.43	4.92	-	6.85	8.62	8.77	-	-	5.92	-	-	-	4.55	0	4.23	2019	3.92	6.08	12.7	7.54	-	-	1.23	-	4.75	2	4.36	2.25	-	-	-	-	-	1.77	-	2.83	-	2.08	-	6.58	-	1	13	1	9.54	0.57	0.67	9.31	-	0.5	0.83	9.62	9.38	-	-	8.23	-	-	-	1	7.46	9.08	9.54	8.62	8.38	5.33	4.75	-	4.60	-	7.15	4.46	18.80	-	9.46	5.23	-	7.46	-	-	-	17.8
EE	ISA	IRL	2006	2020.1	7.6	6.6	-	-	-	-	-	-	7.60	5.5	83611	-	8.40	8.5	6	6.75	0	-	2003	-	-	10.5	7.60	8.25	-	-	-	-	-	-	2.33	-	-	-	-	-	6.67	-	6.33	-	6.17	-	6.10	-	1	6	2	7.6	-	-	-	-	0.0	-	6.75	5.25	-	-	-	-	-	-	-	-	7.25	-	-	-	4.75	7	-	5.25	3.25	5.75	-	6.90	3.25	6.5	5.80	5.25	4	5.25	7.20	7.25	7.3
EE	KE	EK	2006	2020.1	4.4	3.6	-	-	-	-	-	-	5.60	4.5	83411	-	3.8	6	5.33	3.75	0	-	2003	-	-	17.5	2.80	7.5	-	-	-	-	-	-	5.5	-	-	-	-	-	5.33	-	6	-	4.33	-	4.43	-	1	6	3	4.2	-	-	-	-	1.0	-	4.5	4	-	-	-	-	-	-	-	-	3.5	-	-	-	7	2.80	5.67	6.25	1.25	5.25	-	27.70	2.75	5	2.40	7.25	5	5.75	3.60	4.25	25.4
EE	KE	EK	2010	2020.1	3.46	3.07	-	-	-	-	-	-	5.42	5.10	83411	-	-	-	6.42	4.23	0	-	2007	2.82	6	26.07	3.17	7.5	-	-	1.57	-	-	6	3.58	-	-	-	5	-	5.64	-	5.17	-	5.29	-	5.24	4.86	1	14	3	5.43	-	-	-	-	0.0	-	5	3.78	4.17	5.33	-	-	-	-	-	5.67	4.30	-	-	-	8.46	2.36	4.44	4	1.40	3.27	-	28.70	2.5	5.09	2.71	7.57	4.92	4.58	-	-	26.1
EE	KE	EK	2014	2020.1	4.25	3.88	-	-	7.12	-	-	4.75	5.5	-	83411	3.25	-	-	-	4.25	0	3.5	2011	-	6.88	22.4	1.86	-	-	-	1.5	-	3.83	6.62	4.25	-	-	-	5.14	-	5.14	-	5.12	-	5.0	-	5.38	4.60	1	8	3	6.62	-	-	5.5	-	0.0	-	5	-	-	3.57	-	14	11	7	-	-	2.71	4.62	-	-	-	3.25	-	3.88	-	3	-	25.70	-	5.62	3	-	3.38	-	-	-	23.3
EE	KE	EK	2019	2020.1	4.46	3.77	3.2	3.75	6.77	-	1	2.31	4.92	-	83411	3.38	-	-	-	4	0	3.23	2019	4.31	4.92	14.4	3.85	-	-	3.77	-	4	4.58	6.42	3.75	-	-	-	-	-	4.75	-	5.33	-	5.5	-	5.5	-	1	13	3	4.62	5.57	3.83	4.92	-	1.0	4.45	5	4.38	-	-	7.08	-	-	-	4.30	5.62	4	5.23	5.31	5.46	7	3.33	-	4.64	-	4.46	3.54	25.70	-	4.92	3.23	-	5.85	-	-	-	23.1
EE	RE	ER	2006	2020.1	7.4	7.6	-	-	-	-	-	-	6	5.5	83430	-	7.40	7.5	7.67	8.5	0	-	2003	-	-	12.20	7	7.67	-	-	-	-	-	-	2.33	-	-	-	-	-	6.67	-	6.33	-	6.17	-	6.10	-	1	6	3	5.6	-	-	-	-	1.0	-	5.75	4.75	-	-	-	-	-	-	-	-	6.5	-	-	-	8.5	8.40	-	6.25	3	6.5	-	18.80	2.5	6	8	8.25	3.20	4.5	7.40	6.5	17.7
EE	RE	ER	2010	2020.1	7.08	8.57	-	-	-	-	-	-	5.42	4.80	83430	-	-	-	7.25	7.92	0	-	2007	3.17	7.31	15.33	5.92	4.58	-	-	1	-	-	6.40	1.31	-	-	-	5.70	-	6.45	-	6.67	-	6.79	-	7.86	5.38	1	14	3	4.86	-	-	-	-	0.0	-	5	4.11	5.33	2.08	-	-	-	-	-	3.7	6.40	-	-	-	7.77	8	2.89	6.33	1.30	4.42	-	30.70	2.80	4.73	7.86	8.36	2.58	3.42	-	-	27.8
EE	RE	ER	2014	2020.1	7.25	8.25	-	-	8.88	-	-	1	4.5	-	83430	5	-	-	-	8.38	0	8.25	2011	-	7	24.3	6.86	-	-	-	1	-	5.43	6.88	2.25	-	-	-	5.38	-	6.86	-	7	-	6.88	-	8.12	5	1	8	3	3.12	-	-	7.12	-	1.0	-	5.12	-	-	1.12	-	13	2	10	-	-	6.29	5.38	-	-	-	8.25	-	6.25	-	2.57	-	32.70	-	1.88	7.5	-	2	-	-	-	28.6
EE	RE	ER	2019	2020.1	6.46	7.46	0.60	2.75	8.31	-	0.85	1.08	3.62	-	83430	4.46	-	-	-	7.67	0	8.15	2019	4.38	5.69	26.2	5.31	-	-	4.31	-	1.88	5.08	6.08	1.5	-	-	-	-	-	5.38	-	6.67	-	6.58	-	7.58	-	1	13	3	3.08	1.86	1.83	6.46	-	0.0	2.92	3.23	4.77	-	-	6.69	-	-	-	3.40	4.23	4.08	3.08	2.92	1.85	5.5	6.92	-	5.27	-	3.23	4.46	33.70	-	2.85	6.62	-	3.38	-	-	-	28.9
EE	SDE	SDE	2006	2020.1	4.4	3.6	-	-	-	-	-	-	4.80	3.75	83410	-	3.40	5.75	4.67	4	0	-	2003	-	-	36.80	3.40	6	-	-	-	-	-	-	2.5	-	-	-	-	-	5	-	6	-	4.8	-	5.57	-	1	6	5	3.4	-	-	-	-	0.0	-	4.25	3.75	-	-	-	-	-	-	-	-	3	-	-	-	5.5	3.40	3	3.5	1.5	5.25	-	5.90	3.75	3.75	2.60	6.75	3.60	5	6	5.5	7
EE	SDE	SDE	2010	2020.1	3.23	3.14	-	-	-	-	-	-	4.25	5	83410	-	-	-	5.5	3.92	0	-	2007	3.73	4.91	8.69	3.58	5.25	-	-	1.14	-	-	6.30	1.38	-	-	-	5.80	-	6.36	-	6.08	-	6.57	-	7.14	5.67	1	14	5	3	-	-	-	-	0.0	-	4.22	3.56	4.82	3	-	-	-	-	-	4.56	3.5	-	-	-	7.69	2.5	3.11	3.89	1.20	2.33	-	9.90	4.5	2.58	2.36	6.57	3.58	3.67	-	-	10.6
EE	SDE	SDE	2014	2020.1	4.88	4.75	-	-	7.75	-	-	3.29	4.25	-	83410	5.88	-	-	-	5.12	0	4.38	2011	-	5.12	13.6	3.86	-	-	-	1	-	5.43	7	2	-	-	-	5.75	-	6.86	-	6.5	-	6.88	-	7.88	5.29	1	8	5	2.5	-	-	7.38	-	0.5	-	4.62	-	-	1.38	-	10	14	13	-	-	2.86	3.25	-	-	-	3.75	-	4.62	-	2.14	-	18.80	-	2	3.38	-	3.25	-	-	-	17.1
EE	SDE	SDE	2019	2020.1	3.08	3.38	3	3.12	5.85	-	0.77	1.46	2.54	-	83410	4.38	-	-	-	3.5	0	2.62	2019	5.85	3.77	23.3	3.69	-	-	4.92	-	2.25	5.18	6.5	2	-	-	-	-	-	5.38	-	6.25	-	6.58	-	7.25	-	1	13	5	1.69	1	2	7	-	0.5	2.75	2.77	5	-	-	5.62	-	-	-	2.40	6.23	2.5	1.92	4.31	3.92	7.42	2.67	-	5	-	2.62	4.15	9.90	-	1.46	2.62	-	3.92	-	-	-	9.80
EE	VABA	EVE	2014	2020.1	7.38	7.14	-	-	6.5	-	-	8.33	4	-	-	7.43	-	-	-	7.17	0	6.80	2011	-	4.75	-	6.60	-	-	-	1	-	5	6.80	2.75	-	-	-	5.5	-	6.40	-	6.25	-	6.17	-	6.75	3.67	1	8	2	3.86	-	-	7.62	-	0.0	-	5.5	-	-	1.29	-	1	16	4	-	-	7.75	6.40	-	-	-	6.60	-	4.25	-	3.20	-	-	-	5	6.17	-	4.5	-	-	-	-
