country	pm_id	lr	url	comment
ES-GA	ADCG	0	0	No Wikipedia website found for this party
ES-GA	ADCeG	0	0	No Wikipedia website found for this party
ES-GA	AGE	L	https://en.wikipedia.org/wiki/Galician_Left_Alternative	0
ES-GA	AIDG	0	0	No Wikipedia website found for this party
ES-GA	Abrente-EDG	CLL	https://en.wikipedia.org/wiki/Abrente–Galician_Democratic_Left	0
ES-GA	Anova-IN	L	https://en.wikipedia.org/wiki/Renewal–Nationalist_Brotherhood	0
ES-GA	BNG	L	https://en.wikipedia.org/wiki/Galician_Nationalist_Bloc	0
ES-GA	C21	C	https://en.wikipedia.org/wiki/Converxencia_XXI	0
ES-GA	CC	0	0	No Wikipedia website found for this party
ES-GA	CCD	C	https://en.wikipedia.org/wiki/Democratic_Centre_Coalition	0
ES-GA	CDL	C	https://en.wikipedia.org/wiki/Liberal_Democratic_Centre	0
ES-GA	CG-PCPE	FL	https://en.wikipedia.org/wiki/Communist_Party_of_the_Galician_People	0
ES-GA	CSD	C	https://es.wikipedia.org/wiki/Contigo_Somos_Democracia	0
ES-GA	Cs	CR	https://en.wikipedia.org/wiki/Citizens_(Spanish_political_party)	0
ES-GA	CxG	CL	https://es.wikipedia.org/wiki/Compromiso_por_Galicia	0
ES-GA	DO	BT	https://en.wikipedia.org/wiki/Ourensan_Democracy	0
ES-GA	DeC	0	0	No Wikipedia website found for this party
ES-GA	EB	NP	https://es.wikipedia.org/wiki/Escaños_en_Blanco	0
ES-GA	EM	L	https://en.wikipedia.org/wiki/En_Marea	0
ES-GA	EQUO	CLL	https://en.wikipedia.org/wiki/Greens_Equo	0
ES-GA	EU	L	https://en.wikipedia.org/wiki/United_Left_(Galicia)	0
ES-GA	EcoSoGal	L	https://en.wikipedia.org/wiki/Espazo_Ecosocialista_Galego	0
ES-GA	FE-JONS	FR	https://es.wikipedia.org/wiki/Falange_Española_de_las_JONS	0
ES-GA	GAÑEMOS	L	https://en.wikipedia.org/wiki/Guanyem	0
ES-GA	GPAGE	L	https://en.wikipedia.org/wiki/Galician_Left_Alternative	0
ES-GA	GPBNG	L	https://en.wikipedia.org/wiki/Galician_Nationalist_Bloc	0
ES-GA	GPEM	L	https://en.wikipedia.org/wiki/En_Marea	0
ES-GA	GPGCE	L	https://en.wikipedia.org/wiki/Galicia_en_Común	Grupo Comun da Esquerda is a parliamentary group comprised of Podemos, Esquerda Unida and Renewal Nationalist brotherhood.
ES-GA	GPM	0	https://es.wikipedia.org/wiki/Grupo_mixto_(España)	0
ES-GA	GPPPdeG	0	0	No Wikipedia website found for this party
ES-GA	GPPSdeG	CL	https://en.wikipedia.org/wiki/Socialists'_Party_of_Galicia	0
ES-GA	GeC	L	https://en.wikipedia.org/wiki/Galicia_en_Común	0
ES-GA	HARTOS.ORG	0	0	No Wikipedia website found for this party
ES-GA	MG	L	https://en.wikipedia.org/wiki/Marea_Galeguista	0
ES-GA	MJ	CLL	https://en.wikipedia.org/wiki/For_a_Fairer_World	0
ES-GA	P-LIB	R	https://en.wikipedia.org/wiki/Libertarian_Party_(Spain)	0
ES-GA	PACMA	CL	https://en.wikipedia.org/wiki/Animalist_Party_with_the_Environment	0
ES-GA	PAyJ	0	0	No Wikipedia website found for this party
ES-GA	PCTG	FL	https://en.wikipedia.org/wiki/Communist_Party_of_the_Workers_of_Spain	0
ES-GA	PGD	C	https://en.wikipedia.org/wiki/Partido_Galeguista_Demócrata	0
ES-GA	PH	L	https://en.wikipedia.org/wiki/Humanist_Party_(Spain)	0
ES-GA	PIRATA.GAL	PP	https://en.wikipedia.org/wiki/Pirate_Party_of_Galicia	Their political ideology is identified as Pirate Politics
ES-GA	PNG-PG	C	https://en.wikipedia.org/wiki/Galician_Nationalist_Party–Galicianist_Party	0
ES-GA	PPdeG	CRR	https://en.wikipedia.org/wiki/People's_Party_of_Galicia	0
ES-GA	PSdeG-PSOE	CL	https://en.wikipedia.org/wiki/Socialists'_Party_of_Galicia	0
ES-GA	PT	0	https://es.wikipedia.org/wiki/Partido_de_la_Tierra_(Galicia)	No information about political orientation on Wikipedia
ES-GA	PodemosG	LLF	https://es.wikipedia.org/wiki/Podemos_Galicia	0
ES-GA	RC-GV	L	https://en.wikipedia.org/wiki/Zero_Cuts	0
ES-GA	SAIn	0	0	No Wikipedia website found for this party
ES-GA	SCD	RRF	https://es.wikipedia.org/wiki/Sociedad_Civil_y_Democracia	0
ES-GA	SDD	0	0	No Wikipedia website found for this party
ES-GA	UC	FR	https://gl.wikipedia.org/wiki/Unión_Coruñesa	0
ES-GA	UCE	FL	https://en.wikipedia.org/wiki/Communist_Unification_of_Spain	0
ES-GA	UPyD	CCL	https://en.wikipedia.org/wiki/Union,_Progress_and_Democracy	0
ES-GA	VNG	0	0	No Wikipedia website found for this party
ES-GA	VOX	R	https://en.wikipedia.org/wiki/Vox_(political_party)	0
ES-GA	máisG	CL	https://en.wikipedia.org/wiki/Máis_Galiza	0
