country	pm_id	ches_id	year	chesversion	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_three	mip_two	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote
ES	0	CC	1999	2020.1	5.67	5.60	-	-	-	-	-	-	-	-	33907	-	-	-	-	-	1	-	1996	-	-	1.60	-	-	-	5.83	-	-	-	6.67	1.94	-	5.83	5.14	6	4.5	5.58	-	-	-	6.0	-	5.25	-	1	12	8	5.71	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.1	-	-	-	-	-	-	-	-	.9
ES	0	EA	1999	2020.1	4.21	4.68	-	-	-	-	-	-	-	-	33903	-	-	-	-	-	1	-	1996	-	-	1.45	-	-	-	5	-	-	-	6	2.25	-	5	5.67	5	3.33	4.5	-	-	-	5.18	-	5	-	1	12	8	4.38	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.30	-	-	-	-	-	-	-	-	.5
ES	0	IU	1999	2020.1	2.12	2.42	-	-	-	-	-	-	-	-	33220	-	-	-	-	-	1	-	1996	-	-	5.77	-	-	-	6.27	-	-	-	6.36	3.65	-	5.67	5.82	5.55	4.75	4.23	-	-	-	3.67	-	4.58	-	1	12	6	2.54	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	-	-	-	-	-	-	-	-	10.5
ES	0	PAR	1999	2020.1	6.18	6.27	-	-	-	-	-	-	-	-	33904	-	-	-	-	-	1	-	1996	-	-	-	-	-	-	5.60	-	-	-	6.62	0.62	-	5.60	5.83	5.67	5.5	5.70	-	-	-	6.10	-	5	-	1	12	8	5.96	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	0.20
ES	0	UV	1999	2020.1	6.04	5.73	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1996	-	-	-	-	-	-	5.83	-	-	-	6.5	1.07	-	5.60	5.83	5.33	5	5.5	-	-	-	6.22	-	5.94	-	1	12	8	5.88	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.30	-	-	-	-	-	-	-	-	.4
ES	0	VERDE	1999	2020.1	2.89	2.38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1996	-	-	-	-	-	-	6.17	-	-	-	6.57	3.75	-	6	6.75	5.60	6	4.5	-	-	-	5.88	-	6.07	-	1	12	7	1.89	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	.25
ES	0	CC	2002	2020.1	5.91	6.0	-	-	-	-	-	-	-	-	33907	-	-	-	-	-	1	-	2000	-	-	1.60	-	-	6.43	6	-	-	-	6.88	2.09	-	5.8	5.86	5.43	-	5.8	-	5.67	-	6.18	-	7.00	-	1	13	8	5.7	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.1	-	-	-	-	-	-	-	-	1.1
ES	0	EA	2002	2020.1	4.36	4.88	-	-	-	-	-	-	-	-	33903	-	-	-	-	-	1	-	2000	-	-	1.45	-	-	5.83	6.5	-	-	-	6.5	1.33	-	5.4	5.86	5.33	-	5.75	-	5.5	-	6.0	-	7.10	-	1	13	8	4.89	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.30	-	-	-	-	-	-	-	-	.4
ES	0	IU	2002	2020.1	2.46	2.23	-	-	-	-	-	-	-	-	33220	-	-	-	-	-	1	-	2000	-	-	5.77	-	-	6.08	5.83	-	-	-	6.92	4.10	-	5.75	6.92	5.85	-	5.36	-	3.82	-	4.38	-	6.97	-	1	13	6	2.54	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.3	-	-	-	-	-	-	-	-	5.5
ES	0	PA	2002	2020.1	5.2	4.86	-	-	-	-	-	-	-	-	33906	-	-	-	-	-	1	-	2000	-	-	-	-	-	6.83	6	-	-	-	7	1.11	-	5.8	5.67	5.5	-	5.67	-	5.5	-	6.3	-	7.10	-	1	13	8	4.43	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.30	-	-	-	-	-	-	-	-	.9
