country	pm_id	lr	url	comment
FR	-	C	https://en.wikipedia.org/wiki/Centrist_Alliance	-
FR	-	R	https://en.wikipedia.org/wiki/Rurality_Movement	Now called the Rurality Movement (LMR) but was founded as CPNT.
FR	-	CR	https://en.wikipedia.org/wiki/Liberal_Democracy_(France)	-
FR	-	RRF	https://en.wikipedia.org/wiki/Debout_la_France	-
FR	-	CLL	https://en.wikipedia.org/wiki/Europe_Ecology_%E2%80%93_The_Greens	-
FR	-	CLL	-	-
FR	-	L	https://en.wikipedia.org/wiki/Ensemble!	-
FR	FI	LLF	https://en.wikipedia.org/wiki/La_France_Insoumise	-
FR	-	FR	https://en.wikipedia.org/wiki/National_Rally	This party is now called National Rally (RN) but was called National Front (FN) until 2018.
FR	-	LLF	https://en.wikipedia.org/wiki/Revolutionary_Communist_League_(France)	-
FR	LR	CR	https://en.wikipedia.org/wiki/The_Republicans_(France)	-
FR	LAREM	C	https://en.wikipedia.org/wiki/La_R%C3%A9publique_En_Marche!	-
FR	-	CCL	https://en.wikipedia.org/wiki/Independent_Ecological_Movement	-
FR	MODEM	CCR	https://en.wikipedia.org/wiki/Democratic_Movement_(France)	-
FR	-	R	https://en.wikipedia.org/wiki/Movement_for_France	-
FR	MODEM	CCR	https://en.wikipedia.org/wiki/Democratic_Movement_(France)	-
FR	-	CR	https://en.wikipedia.org/wiki/The_Centrists	-
FR	-	LLF	https://en.wikipedia.org/wiki/French_Communist_Party	-
FR	-	L	https://en.wikipedia.org/wiki/Left_Party_(France)	-
FR	-	CL	https://en.wikipedia.org/wiki/Radical_Party_of_the_Left	-
FR	-	CL	https://en.wikipedia.org/wiki/Radical_Party_(France)	-
FR	-	CL	https://en.wikipedia.org/wiki/Socialist_Party_(France)	-
FR	RN	FR	https://en.wikipedia.org/wiki/National_Rally	This used to be National Front Party (FN) until 2018 when it was renamed to National Rally (RN)
FR	-	R	https://en.wikipedia.org/wiki/Rally_of_the_French_People	-
FR	-	CR	https://en.wikipedia.org/wiki/Rally_for_the_Republic	-
FR	-	CCR	https://en.wikipedia.org/wiki/Union_for_French_Democracy	-
FR	-	CR	https://en.wikipedia.org/wiki/Union_for_a_Popular_Movement	-
FR	-	CLL	https://en.wikipedia.org/wiki/The_Greens_(France)	The Greens merged with Europe Ecology to become Europe Ecology – The Greens (EELV - above)
FR	AGIR-E	-	https://en.wikipedia.org/wiki/Agir_ensemble	-
FR	EDS	L	https://en.wikipedia.org/wiki/Ecology_Democracy_Solidarity	-
FR	GDR	L	https://en.wikipedia.org/wiki/Democratic_and_Republican_Left_group	-
FR	LC	-	-	-
FR	LT	-	https://en.wikipedia.org/wiki/Liberties_and_Territories	-
FR	NG	L	https://en.wikipedia.org/wiki/New_Left_in_France	-
FR	NI	-	https://en.wikipedia.org/wiki/Non-Inscrits	The deputies who are not members or related to any parliamentary group of the National Assembly of France
FR	SOC	CLL	https://fr.wikipedia.org/wiki/Groupe_socialiste_(Assembl%C3%A9e_nationale)	-
FR	UDI-A-I	R	https://en.wikipedia.org/wiki/UDI_and_Independents_group	-
FR	UDI-AGIR	R	https://en.wikipedia.org/wiki/UDI_and_Independents_group	-
FR	UDI-I	R	https://en.wikipedia.org/wiki/UDI_and_Independents_group	-
FR	UDI_I	R	https://en.wikipedia.org/wiki/UDI_and_Independents_group	-
FR	DEM	CCR	https://fr.wikipedia.org/wiki/Groupe_démocrate,_MoDem_et_indépendants	-
FR	DEM	-	-	-
FR	ECOLO	L	https://en.wikipedia.org/wiki/New_Ecological_and_Social_People's_Union	-
FR	GDR-NUPES	L	https://en.wikipedia.org/wiki/Democratic_and_Republican_Left_group https://en.wikipedia.org/wiki/New_Ecological_and_Social_People's_Union	-
FR	HOR	CR	https://en.wikipedia.org/wiki/Horizons_(political_party)	-
FR	LFI-NUPES	L	https://en.wikipedia.org/wiki/La_France_Insoumise https://fr.wikipedia.org/wiki/Nouvelle_Union_populaire_écologique_et_sociale	-
FR	LIOT	BT	https://en.wikipedia.org/wiki/Liberties,_Independents,_Overseas_and_Territories	-
FR	RE	C	https://en.wikipedia.org/wiki/Renaissance_(French_political_party)	-
