country	pm_id	ches_id	year	chesversion	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_three	mip_two	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote
IS	Bf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IS	F	F	2019	2019.1	5.20	5.0	0	1.75	7.60	0.0	0	0.40	3.40	-	-	1.6	-	-	-	4.60	-	3.2	-	4.40	6.0	-	5.5	-	-	-	-	2	-	-	3.67	-	-	-	-	-	-	-	-	-	1.6	0.89	3.8	-	-	-	-	3.60	1	2.25	4.0	2.07	-	1.8	4.80	3.60	-	-	8	-	-	-	2	4	5.20	7	2.40	7.80	5.40	3.60	-	4	-	3.0	0.0	-	-	2.2	4.60	-	9.0	-	-	-	-
IS	Flf	FIF	2019	2019.1	4.40	4.0	1	1.75	6.20	0.71	1.8	6.0	4.5	-	-	3.60	-	-	-	3.5	-	2.33	-	3.0	7.5	-	5.5	-	-	-	-	3	-	-	3.67	-	-	-	-	-	-	-	-	-	1.75	1.5	1.25	-	-	-	-	5.20	2	1.67	5.0	1.92	-	2.25	7.20	4.40	-	-	9	-	-	-	0.67	5.75	7.75	6.25	5.25	5	8.20	1.4	-	5	-	3.40	0.0	-	-	3.40	2	-	4.67	-	-	-	-
IS	M	M	2019	2019.1	6.20	6.20	0	1.5	8.0	1.64	2	4.40	4.60	-	-	1.5	-	-	-	6.40	-	5.40	-	5.80	7.60	-	5	-	-	-	-	.5	-	-	2	-	-	-	-	-	-	-	-	-	1.2	0.45	5.60	-	-	-	-	6.40	1	2.25	6.20	3.21	-	1.2	8.0	7.40	-	-	9.40	-	-	-	1	7.40	8.40	8.60	3.2	8	4.80	5.60	-	4	-	3.60	0.80	-	-	4.60	6.20	-	9.0	-	-	-	-
IS	P	Pi	2019	2019.1	4.0	4.20	2	3.25	5.20	0.45	0	6.20	0.60	-	-	8.40	-	-	-	3.8	-	3.2	-	5.40	3.8	-	1.33	-	-	-	-	4.5	-	-	3.33	-	-	-	-	-	-	-	-	-	4.80	0.45	4.60	-	-	-	-	0.40	1	1.25	7.80	0.55	-	1	1.0	6.60	-	-	2.8	-	-	-	1.4	5.60	1.0	1.2	5.80	1.6	5.20	3.2	-	6	-	1.2	0.0	-	-	0.40	3.2	-	1.4	-	-	-	-
IS	S	Sj	2019	2019.1	7.80	7.40	0	1.75	9.20	0.55	0	0.2	4	-	-	1.6	-	-	-	7.80	-	6.40	-	4.40	6.0	-	4.67	-	-	-	-	2.5	-	-	3.33	-	-	-	-	-	-	-	-	-	1.8	0.84	3.40	-	-	-	-	4.60	2	5.25	4.20	2.30	-	3	6.20	4.60	-	-	8.60	-	-	-	2.8	4.80	6.40	7	1.8	3.2	5.80	6.80	-	4.33	-	3.60	1.0	-	-	2.8	7.80	-	6.20	-	-	-	-
IS	Sf	Sam	2019	2019.1	3.2	3.2	0	3	7.80	0.45	0	1.4	1.4	-	-	5.80	-	-	-	3.40	-	2.40	-	7.40	2.40	-	2	-	-	-	-	4	-	-	2.33	-	-	-	-	-	-	-	-	-	6.40	0.55	6.80	-	-	-	-	1.6	1	1.25	6.60	1.52	-	1.6	2.40	6.40	-	-	6.40	-	-	-	1.6	5.20	2.40	1.8	5.0	2	8.20	1.8	-	6	-	1.6	0.0	-	-	0.2	2.2	-	2.0	-	-	-	-
IS	U	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IS	V	V	2019	2019.1	6.80	6.60	0	1.75	8.60	1.34	0	0.2	1.2	-	-	4.60	-	-	-	7.0	-	5.80	-	5.40	2.8	-	2	-	-	-	-	2.5	-	-	2	-	-	-	-	-	-	-	-	-	6.60	0.55	8.0	-	-	-	-	1.2	1	1.75	5.60	1.10	-	1.6	2.8	4.0	-	-	7.40	-	-	-	1.8	4.40	1.8	1.2	3.60	0.60	4.60	5	-	6	-	1.4	0.0	-	-	0.40	5	-	1.0	-	-	-	-
IS	Vg	Graen	2019	2019.1	2.0	2.40	0	3.25	7.0	0.89	0	0.60	1.6	-	-	4.0	-	-	-	2.2	-	0.80	-	9.20	0.60	-	2	-	-	-	-	4	-	-	4	-	-	-	-	-	-	-	-	-	2.0	1.0	3.0	-	-	-	-	0.80	1	1	6.80	0.84	-	2.40	2.8	5.80	-	-	7.40	-	-	-	2	5.40	2.40	5.80	3.60	6.20	7.40	1.6	-	4.33	-	1.4	0.0	-	-	0.60	2.2	-	6.0	-	-	-	-
