country	pm_id	ches_id	year	chesversion	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_three	mip_two	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote
LT	-	JL-PKS	2002	2020.1	9.8	2.25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	2000	-	-	-	-	-	6	2	-	-	-	5	3.33	-	1.67	6	1.5	-	1.67	-	1.5	-	1.6	-	4	-	0	5	1	8.6	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.70	-	-	-	-	-	-	-	-	1.2
LT	-	LCS	2002	2020.1	5.6	6.25	-	-	-	-	-	-	-	-	88420	-	-	-	-	-	0	-	2000	-	-	-	-	-	4.2	6	-	-	-	5	3.78	-	5.67	4.5	4.75	-	5.75	-	5	-	6.4	-	10	-	0	5	3	4.2	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.4	-	-	-	-	-	-	-	-	2.9
LT	-	LKDP	2002	2020.1	7.4	4.25	-	-	-	-	-	-	-	-	88521	-	-	-	-	-	0	-	2000	-	-	-	-	-	5.75	3	-	-	-	6.2	4.89	-	3	5	3.67	-	4.5	-	2.75	-	5.4	-	6	-	0	5	4	8.20	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.4	-	-	-	-	-	-	-	-	3.1
LT	-	LLS	2002	2020.1	8.2	8.5	-	-	-	-	-	-	-	-	88422	-	-	-	-	-	0	-	2000	-	-	-	-	-	3.4	5.5	-	-	-	5	2.22	-	5.5	4.33	4.4	-	5.4	-	5.8	-	7.0	-	10	-	0	5	3	2	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23.4	-	-	-	-	-	-	-	-	17.3
LT	-	LRS	2002	2020.1	2.2	2.25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	2000	-	-	-	-	-	5.5	4	-	-	-	5.67	4.22	-	3.5	4	4	-	4.33	-	4.5	-	4.2	-	3.33	-	0	5	8	7	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	2.1
LT	-	LVP	2002	2020.1	2.0	1.5	-	-	-	-	-	-	-	-	88810	-	-	-	-	-	0	-	2000	-	-	-	-	-	6.6	3	-	-	-	6.5	5.56	-	2.25	5	2	-	4.33	-	2	-	3.4	-	6.67	-	0	5	11	8.4	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.8	-	-	-	-	-	-	-	-	4.1
LT	-	MKDS	2002	2020.1	7.0	6.75	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	2000	-	-	-	-	-	4.5	5.5	-	-	-	5.6	2.22	-	5	5	5	-	6	-	5.6	-	6.6	-	9.33	-	0	5	4	5	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.10	-	-	-	-	-	-	-	-	-
LT	-	NDP	2002	2020.1	3.2	3.75	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	2000	-	-	-	-	-	6.25	5	-	-	-	6	3.06	-	-	4.5	4	-	5	-	3.67	-	5.2	-	6.67	-	0	5	5	6.25	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	2.1
LT	-	NKS	2002	2020.1	6.6	5.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	2000	-	-	-	-	-	5.67	4	-	-	-	5	4.17	-	4.33	4	4	-	4	-	4.33	-	6.0	-	5.83	-	0	5	2	5.25	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.70	-	-	-	-	-	-	-	-	2
LT	-	NS	2002	2020.1	3.4	3.5	-	-	-	-	-	-	-	-	88410	-	-	-	-	-	0	-	2000	-	-	-	-	-	6	5	-	-	-	6	4	-	4	4.5	3	-	5	-	4.5	-	6.0	-	8	-	0	5	3	6	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19.9	-	-	-	-	-	-	-	-	19.6
