country	pm_id	ches_id	year	chesversion	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_three	mip_two	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote
NL	50PLUS	50PLUS	2014	2020.1	5.25	3.67	-	-	8.12	-	-	5.80	6	-	22953	2.5	-	-	-	4.5	1	6	2012	-	5.33	3.7	5.5	-	-	-	1.5	-	5.5	3.5	1	-	-	-	4	-	4	-	4.33	-	4.80	-	4.80	3.5	1	11	9	4.33	-	-	6.12	-	0.0	-	5	-	-	4	-	13	16	14	-	-	5.5	6	-	-	-	4.25	-	5.5	-	2.33	-	1.3	-	3	3.33	-	4.5	-	-	-	1.9
NL	50PLUS	50PLUS	2019	2020.1	5.08	4.45	4.75	2.5	8.09	-	2.83	4.73	6.20	-	22953	1.75	-	-	-	4.80	1	4.22	2017	2.62	5.57	3.91	5.17	-	-	3.33	-	4.33	3	3.25	3.5	-	-	-	-	-	3.40	-	3.86	-	3.86	-	2.75	-	1	13	9	5.60	6.67	2.67	3.12	-	0.0	2.5	5.5	3.14	-	-	7.33	-	-	-	2.5	3.43	6.67	6.38	6	6.20	6.89	4.40	-	6.33	-	4.33	1.67	2.7	-	4.67	3	-	4.40	-	-	-	3.1
NL	BBB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NL	BIJ1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NL	Bontes	PVV	2006	2020.1	8.8	8.29	-	-	-	-	-	-	9.20	6.80	22722	-	9	9	5	8.20	1	-	2006	-	-	-	9	7.5	-	-	-	-	-	1.6	1.14	-	-	-	2.86	-	1.83	-	2.29	-	1.55	-	7.33	1	1	11	1	6.57	-	-	-	-	0.0	-	9.40	9.60	-	-	-	-	-	-	-	-	9.40	-	-	-	4	8.40	1.67	6.75	6.25	2.80	-	6	5.20	5.75	8.67	4	3.67	4.33	6.75	4.33	5.9
NL	Bontes	PVV	2010	2020.1	8.62	5.23	-	-	-	-	-	-	9.36	8.73	22722	-	-	-	5.70	4.70	1	-	2010	2.60	8.10	16.97	9.70	9.5	-	-	2.86	-	-	2	0.82	-	-	-	1.5	-	1.70	-	3.20	-	1.36	-	8.10	1.07	1	14	1	7.15	-	-	-	-	0.0	-	10	9.91	5.10	7.10	-	-	-	-	-	10	10	-	-	-	4.60	5.5	3	6.25	5.22	2	-	16	5.90	4.70	5.67	5.83	5.57	3.67	-	-	15.5
NL	Bontes	PVV	2014	2020.1	9.25	4.56	-	-	5.11	-	-	9.43	9.33	-	22722	5	-	-	-	5.17	1	4.88	2012	-	8.20	13.3	9.86	-	-	-	3	-	1	1.20	0.89	-	-	-	1.29	-	1.12	-	2.12	-	1.09	-	8.36	1	1	11	1	7.78	-	-	4.89	-	0.0	-	9.88	-	-	7.5	-	9	7	11	-	-	9.78	9.75	-	-	-	5	-	6.5	-	3.62	-	10	-	3.71	4.38	-	5	-	-	-	10.1
NL	Bontes	PVV	2019	2020.1	8.69	6.46	6.38	4.33	3.92	-	9.92	9.67	9.09	-	22722	3.44	-	-	-	6.09	1	6	2017	4	9	3.53	9.75	-	-	1.10	-	1.44	1.1	1	0	-	-	-	-	-	1	-	1.70	-	1.31	-	7.08	-	1	13	1	7.23	3.40	1.33	5.92	-	0.0	0.17	9.92	9.91	-	-	10	-	-	-	0.27	10	9.92	9.83	9.27	8.33	4.18	5.83	-	7.25	-	3.44	2.25	13.3	-	4.80	6.18	-	5.75	-	-	-	13.1
NL	Bontes/Van Klaveren	PVV	2006	2020.1	8.8	8.29	-	-	-	-	-	-	9.20	6.80	22722	-	9	9	5	8.20	1	-	2006	-	-	-	9	7.5	-	-	-	-	-	1.6	1.14	-	-	-	2.86	-	1.83	-	2.29	-	1.55	-	7.33	1	1	11	1	6.57	-	-	-	-	0.0	-	9.40	9.60	-	-	-	-	-	-	-	-	9.40	-	-	-	4	8.40	1.67	6.75	6.25	2.80	-	6	5.20	5.75	8.67	4	3.67	4.33	6.75	4.33	5.9
NL	Bontes/Van Klaveren	PVV	2010	2020.1	8.62	5.23	-	-	-	-	-	-	9.36	8.73	22722	-	-	-	5.70	4.70	1	-	2010	2.60	8.10	16.97	9.70	9.5	-	-	2.86	-	-	2	0.82	-	-	-	1.5	-	1.70	-	3.20	-	1.36	-	8.10	1.07	1	14	1	7.15	-	-	-	-	0.0	-	10	9.91	5.10	7.10	-	-	-	-	-	10	10	-	-	-	4.60	5.5	3	6.25	5.22	2	-	16	5.90	4.70	5.67	5.83	5.57	3.67	-	-	15.5
