country	pm_id	lr	url	comment
NL	50PLUS	C	https://en.wikipedia.org/wiki/50PLUS	-
NL	CDA	CCR	https://en.wikipedia.org/wiki/Christian_Democratic_Appeal	-
NL	CU	CR	https://en.wikipedia.org/wiki/Christian_Union_(Netherlands)	-
NL	D66	C	https://en.wikipedia.org/wiki/Democrats_66	-
NL	DENK	CL	https://en.wikipedia.org/wiki/DENK_(political_party)	-
NL	FvD	FR	https://en.wikipedia.org/wiki/Forum_for_Democracy	-
NL	GL	CLL	https://en.wikipedia.org/wiki/GroenLinks	-
NL	PVV	RRF	https://en.wikipedia.org/wiki/Party_for_Freedom	-
NL	PvdA	CL	https://en.wikipedia.org/wiki/Labour_Party_(Netherlands)	-
NL	PvdD	L	https://en.wikipedia.org/wiki/Party_for_the_Animals	-
NL	SGP	R	https://en.wikipedia.org/wiki/Reformed_Political_Party	-
NL	SP	L	https://en.wikipedia.org/wiki/Socialist_Party_(Netherlands)	-
NL	VVD	CR	https://en.wikipedia.org/wiki/People%27s_Party_for_Freedom_and_Democracy	-
NL	Bontes	RRF	https://en.wikipedia.org/wiki/Party_for_Freedom	-
NL	Bontes/Van Klaveren	RRF	https://en.wikipedia.org/wiki/Party_for_Freedom	-
NL	De Lange	-	-	-
NL	GKVK	R	https://en.wikipedia.org/wiki/Farmers%27_Party_(Netherlands)	-
NL	GKÖ	-	https://nl.wikipedia.org/wiki/Groep_Kuzu/Öztürk	No information about political orientation.
NL	Houwers	-	https://en.wikipedia.org/wiki/Johan_Houwers	Houwers fraction, no information about political orientation.
NL	Klein	-	https://en.wikipedia.org/wiki/Norbert_Klein_(politician)	Klein fraction, no information about political orientation.
NL	Krol	CCR	https://en.wikipedia.org/wiki/Henk_Krol_List	-
NL	Monasch	-	https://en.wikipedia.org/wiki/Jacques_Monasch	He was a member of the Labour Party and then in 2016 created his own party named Nieuwe Wegen, which did not obtain any parliamentary seats.
NL	Nieuwe Wegen	C	https://nl.wikipedia.org/wiki/Nieuwe_Wegen	-
NL	OSF	C	https://nl.wikipedia.org/wiki/Onafhankelijke_Politiek_Nederland	-
NL	Van Haga	R	https://en.wikipedia.org/wiki/Belang_van_Nederland	-
NL	Van Kooten-Arissen	CCL	https://en.wikipedia.org/wiki/Splinter_(political_party)	-
NL	Van Vliet	-	-	No Wikipedia website found for this fraction.
NL	vKA	-	-	No Wikipedia website found for this fraction.
NL	vanPareren	RRF	https://en.wikipedia.org/wiki/JA21	-
NL	BBB	CR	https://nl.wikipedia.org/wiki/BoerBurgerBeweging	-
NL	VOLT	C	https://en.wikipedia.org/wiki/Volt_Netherlands	-
NL	JA21	RRF	https://en.wikipedia.org/wiki/JA21	-
NL	BIJ1	LLF	https://en.wikipedia.org/wiki/BIJ1	-
NL	Omtzigt	R	https://en.wikipedia.org/wiki/Pieter_Omtzigt	Independent politician since 2021
NL	DenHaan	C	https://en.wikipedia.org/wiki/Liane_den_Haan	Independent since 2021
NL	Gündoğan	C	https://en.wikipedia.org/wiki/Nilüfer_Gündoğan	Independent politician since March 2022
