country	pm_id	lr	url	comment
NO	A	CL	https://en.wikipedia.org/wiki/Labour_Party_(Norway)	0
NO	FrP	R	https://en.wikipedia.org/wiki/Progress_Party_(Norway)	0
NO	H	CR	https://en.wikipedia.org/wiki/Conservative_Party_(Norway)	0
NO	KrF	CCR	https://en.wikipedia.org/wiki/Christian_Democratic_Party_(Norway)	0
NO	MDG	CL	https://en.wikipedia.org/wiki/Green_Party_(Norway)	0
NO	R	LLF	https://en.wikipedia.org/wiki/Red_Party_(Norway)	0
NO	SV	L	https://en.wikipedia.org/wiki/Socialist_Left_Party_(Norway)	0
NO	Sp	C	https://en.wikipedia.org/wiki/Centre_Party_(Norway)	0
NO	V	C	https://en.wikipedia.org/wiki/Liberal_Party_(Norway)	0
NO	PF	0	https://en.wikipedia.org/wiki/Patient_Focus_(Norway)	Single-issue politics. Single-issue politics involves political campaigning or political support based on one essential policy area or idea.
NO	TF	CR	https://en.wikipedia.org/wiki/Coastal_Party	0
NO	UAV	0	0	Independent, no Wikipedia page.
