country	pm_id	ches_id	year	chesversion	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_three	mip_two	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote
PL	-	AWSP	2002	2020.1	7.75	4.38	-	-	-	-	-	-	-	-	92620	-	-	-	-	-	0	-	2001	-	-	-	-	-	4.75	2	-	-	-	6.33	3.76	-	4.67	6.5	3.25	-	3.2	-	3.5	-	5.38	-	5.43	-	0	8	2	7.5	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	5.6
PL	-	LPR	2002	2020.1	9.25	2.0	-	-	-	-	-	-	-	-	92713	-	-	-	-	-	0	-	2001	-	-	-	-	-	4.25	2	-	-	-	4	1.53	-	1.33	2	1	-	1.2	-	1.5	-	1.0	-	8.10	-	0	8	10	9.75	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8.30	-	-	-	-	-	-	-	-	7.9
PL	-	PO	2002	2020.1	6.88	8.38	-	-	-	-	-	-	-	-	92435	-	-	-	-	-	0	-	2001	-	-	-	-	-	4.83	5	-	-	-	6.4	1.39	-	5.5	6	5.6	-	4.57	-	6.17	-	6.75	-	7.93	-	0	8	4	4.38	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.1	-	-	-	-	-	-	-	-	12.7
PL	-	PSL	2002	2020.1	4.38	2.5	-	-	-	-	-	-	-	-	92811	-	-	-	-	-	0	-	2001	-	-	-	-	-	6.67	3	-	-	-	6.8	4.03	-	4	4.75	3.4	-	3.29	-	2.5	-	4.13	-	7.5	-	0	8	11	7.63	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9.10	-	-	-	-	-	-	-	-	9
PL	-	S	2002	2020.1	5.5	2.63	-	-	-	-	-	-	-	-	92622	-	-	-	-	-	0	-	2001	-	-	-	-	-	5.4	4.33	-	-	-	6	2.07	-	3.25	4	2	-	2	-	1.8	-	2.75	-	5.83	-	0	8	11	7.88	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11.5	-	-	-	-	-	-	-	-	10.2
PL	-	SLD	2002	2020.1	4.13	4.25	-	-	-	-	-	-	-	-	92210	-	-	-	-	-	0	-	2001	-	-	-	-	-	5.67	5.33	-	-	-	7	2.92	-	6	6	5.4	-	4.14	-	6.17	-	6.88	-	9.17	-	0	8	5	1.88	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	43.5	-	-	-	-	-	-	-	-	38.1
PL	-	UP	2002	2020.1	3.0	2.25	-	-	-	-	-	-	-	-	92322	-	-	-	-	-	0	-	2001	-	-	-	-	-	5.33	5.33	-	-	-	6.8	2.78	-	5.5	6	5	-	4.57	-	5	-	6.38	-	6.67	-	0	8	5	1.38	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.5	-	-	-	-	-	-	-	-	2.9
PL	-	UW	2002	2020.1	5.75	7.5	-	-	-	-	-	-	-	-	92434	-	-	-	-	-	0	-	2001	-	-	-	-	-	4.67	6	-	-	-	6.6	0.83	-	5.75	6.2	6.6	-	4.57	-	6.67	-	7.0	-	9.17	-	0	8	3	2.38	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	3.1
PL	-	LPR	2006	2020.1	9.29	1.17	-	-	-	-	-	-	9.29	7	92713	-	10	10	3.40	1.60	0	-	2005	-	-	15.90	9	6.5	-	-	-	-	-	4	0.67	-	-	-	1.6	-	1.4	-	1.5	-	1.38	-	7.10	1.67	1	8	10	10	-	-	-	-	1.0	-	7	5.33	-	-	-	-	-	-	-	-	8.33	-	-	-	8	1	4.25	6.25	10	10	-	7.40	10	10	1.60	3.75	6.33	5	5	5.20	8
PL	-	PD	2006	2020.1	4.5	7.4	-	-	-	-	-	-	1	7.67	92434	-	1.4	6.80	6.40	6.80	0	-	2005	-	-	-	2.5	6	-	-	-	-	-	6.67	0	-	-	-	5.6	-	6	-	6.67	-	6.83	-	10	5	1	6	3	1.17	-	-	-	-	0.0	-	3	3	-	-	-	-	-	-	-	-	-	-	-	-	5.75	7.5	5	3	3.33	2.67	-	0	8.20	1	6	7	2	2.60	5.67	4.80	2.5
