COUNTRY	PM_ID	CHES_ID	YEAR	LRGEN	LR	URL	COMMENT
PL	0	AWSP	2002	7.75	CR	https://en.wikipedia.org/wiki/Solidarity_Electoral_Action	0
PL	0	KNP	2014	9.53	R	https://en.wikipedia.org/wiki/Congress_of_the_New_Right	0
PL	Konfederacja	Konfederacia	2019	9.53	FR	https://en.wikipedia.org/wiki/Confederation_Liberty_and_Independence	0
PL	Kukiz15	Kukiz	2019	7.11	CRR	https://en.wikipedia.org/wiki/Kukiz%2715	0
PL	0	LPR	2002	9.25	FR	https://en.wikipedia.org/wiki/League_of_Polish_Families	0
PL	0	LPR	2006	9.29	0	0	0
PL	0	LPR	2010	9.25	0	0	0
PL	0	Lewica Razem	2019	1.28	L	https://en.wikipedia.org/wiki/Left_Together	0
PL	0	Nowo	2019	5.16	C	https://en.wikipedia.org/wiki/Modern_(political_party)	0
PL	0	PD	2006	4.5	CCL	https://en.wikipedia.org/wiki/Democratic_Party_%E2%80%93_demokraci.pl	0
PL	0	PO	2002	6.88	CCR	https://en.wikipedia.org/wiki/Civic_Platform	0
PL	0	PO	2006	5.29	0	0	0
PL	0	PO	2010	6.0	0	0	0
PL	0	PO	2014	5.71	0	0	0
PL	0	PO	2019	5.38	0	0	0
PL	0	PR	2014	7.65	CR	https://en.wikipedia.org/wiki/Poland_Together	0
PL	0	PSL	2002	4.38	CCR	https://en.wikipedia.org/wiki/Polish_People%27s_Party	0
PL	0	PSL	2006	5.0	0	0	0
PL	0	PSL	2010	4.93	0	0	0
PL	0	PSL	2014	5.29	0	0	0
PL	0	PSL	2019	5.29	0	0	0
PL	PiS	PiS	2002	7.75	R	https://en.wikipedia.org/wiki/Law_and_Justice	0
PL	PiS	PiS	2006	7.76	0	0	0
PL	PiS	PiS	2010	8.0	0	0	0
PL	PiS	PiS	2014	7.94	0	0	0
PL	PiS	PiS	2019	7.55	0	0	0
PL	0	RP	2014	2.53	CLL	https://en.wikipedia.org/wiki/Your_Movement	0
PL	0	S	2002	5.5	RRF	https://en.wikipedia.org/wiki/Self-Defence_of_the_Republic_of_Poland	0
PL	0	S	2006	4.14	0	0	0
PL	0	S	2010	4.64	0	0	0
PL	0	SD	2010	4.67	CCL	https://en.wikipedia.org/wiki/Alliance_of_Democrats_(Poland)	0
PL	0	SDPL	2006	3.0	CL	https://en.wikipedia.org/wiki/Social_Democracy_of_Poland	0
PL	0	SDPL	2010	2.67	0	0	0
PL	0	SLD	2002	4.13	CL	https://en.wikipedia.org/wiki/Democratic_Left_Alliance	0
PL	0	SLD	2006	3.43	0	0	0
PL	0	SLD	2010	2.79	0	0	0
PL	0	SLD	2014	2.76	0	0	0
PL	0	SLD	2019	3.38	0	0	0
PL	0	SP	2014	8.29	RRF	https://en.wikipedia.org/wiki/United_Poland	0
PL	0	UP	2002	3.0	CL	https://en.wikipedia.org/wiki/Labour_Union_(Poland)	0
PL	0	UW	2002	5.75	C	https://en.wikipedia.org/wiki/Freedom_Union_(Poland)	0
PL	0	Wiosnia	2019	1.89	CL	https://en.wikipedia.org/wiki/Spring_(political_party)	0
PL	KO	0	0	0	0	https://en.wikipedia.org/wiki/Civic_Coalition_(Poland)	0
PL	KP-PSL	0	0	0	CCR	https://en.wikipedia.org/wiki/Polish_Coalition	0
PL	Lewica	0	0	0	CLL	https://en.wikipedia.org/wiki/The_Left_(Poland)	0
PL	Niezrzeszeni	0	0	0	0	0	0
PL	Teraz!	0	0	0	C	https://en.wikipedia.org/wiki/Now!_(political_party)	0
PL	Teraz	0	0	0	C	https://en.wikipedia.org/wiki/Now!_(political_party)	0
PL	UPR	0	0	0	CRR	https://en.wikipedia.org/wiki/Real_Politics_Union	0
PL	PrzywrócićPrawo	0	0	0	0	https://pl.wikipedia.org/wiki/Przywrócić_Prawo	0
