country	pm_id	lr	encoder	comment
PT	BE	L	AmáliaMendes	Orientation determined by encoder, using own knowledge of the parliamentary group.
PT	CDS-PP	R	AmáliaMendes	Orientation determined by encoder, using own knowledge of the parliamentary group.
PT	CH	FR	AmáliaMendes	Orientation determined by encoder, using own knowledge of the parliamentary group.
PT	GP-BE	L	AmáliaMendes	Orientation determined by encoder, using own knowledge of the parliamentary group.
PT	GP-CDS-PP	R	AmáliaMendes	Orientation determined by encoder, using own knowledge of the parliamentary group.
PT	GP-CH	FR	AmáliaMendes	Orientation determined by encoder, using own knowledge of the parliamentary group.
PT	GP-IL	R	AmáliaMendes	Orientation determined by encoder, using own knowledge of the parliamentary group.
PT	GP-L	CL	AmáliaMendes	Orientation determined by encoder, using own knowledge of the parliamentary group.
PT	GP-PAN	SI	AmáliaMendes	Orientation determined by encoder, using own knowledge of the parliamentary group. PAN is a party with no left or right orientation, dedicated mainly to the defense of animals and nature.
PT	GP-PCP	L	AmáliaMendes	Orientation determined by encoder, using own knowledge of the parliamentary group.
PT	GP-PEV	L	AmáliaMendes	Orientation determined by encoder, using own knowledge of the parliamentary group.
PT	GP-PS	CL	AmáliaMendes	Orientation determined by encoder, using own knowledge of the parliamentary group.
PT	GP-PSD	CR	AmáliaMendes	Orientation determined by encoder, using own knowledge of the parliamentary group.
PT	Independente	-	-	-
PT	IL	R	AmáliaMendes	Orientation determined by encoder, using own knowledge of the parliamentary group.
PT	L	CL	AmáliaMendes	Orientation determined by encoder, using own knowledge of the parliamentary group.
PT	Não-inscrito	-	-	-
PT	PCP	L	AmáliaMendes	Orientation determined by encoder, using own knowledge of the parliamentary group.
PT	PEV	L	AmáliaMendes	Orientation determined by encoder, using own knowledge of the parliamentary group. The party PEV is the green party, it runs for the Parliament elections in coalition with the Communist Party.
PT	PSD	CR	AmáliaMendes	Orientation determined by encoder, using own knowledge of the parliamentary group.
PT	PS	CL	AmáliaMendes	Orientation determined by encoder, using own knowledge of the parliamentary group.
PT	PAN	SI	AmáliaMendes	Orientation determined by encoder, using own knowledge of the parliamentary group.
