country	pm_id	lr	url	comment
RS	APPS	-	-	No Wikipedia website found
RS	AZP	R	https://sr.wikipedia.org/wiki/Алтернатива_за_промене	-
RS	BDSS	R	https://en.wikipedia.org/wiki/Bosniak_Democratic_Party_of_Sandžak	Wikipedia suggests that political ideology of this party is taking care of Bosniak minority interestes
RS	BDZ	-	https://en.wikipedia.org/wiki/Bosniak_Democratic_Union	No information about orientation found on Wikipedia
RS	BI	-	-	No Wikipedia website found
RS	BNS	-	https://sr.wikipedia.org/wiki/Бошњачка_народна_странка	No information about orientation found on Wikipedia
RS	BS	R	https://en.wikipedia.org/wiki/Better_Serbia	-
RS	BogS	RRF	https://en.wikipedia.org/wiki/Third_Serbia_–_Rich_Serbia	-
RS	DA	CL	https://en.wikipedia.org/wiki/Democratic_Alternative_(Serbia)	-
RS	DHSS	CCR	https://en.wikipedia.org/wiki/Christian_Democratic_Party_of_Serbia	-
RS	DJB	RRF	https://en.wikipedia.org/wiki/Enough_is_Enough_(party)	-
RS	DKPB	-	-	No Wikipedia website found
RS	DLR	-	-	No Wikipedia website found
RS	DOS	BT	https://en.wikipedia.org/wiki/Democratic_Opposition_of_Serbia	-
RS	DPM	-	https://en.wikipedia.org/wiki/Democratic_Party_of_Macedonians	No information about orientation found on Wikipedia
RS	DS	CL	https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)	-
RS	DSHV	-	https://en.wikipedia.org/wiki/Democratic_Alliance_of_Croats_in_Vojvodina	No information about orientation found on Wikipedia
RS	DSS	R	https://en.wikipedia.org/wiki/New_Democratic_Party_of_Serbia	This party was formed as DSS and is now known as NDSS
RS	Dveri	RRF	https://en.wikipedia.org/wiki/Dveri	-
RS	G17	CR	https://en.wikipedia.org/wiki/G17_Plus	-
RS	GSS	C	https://en.wikipedia.org/wiki/Civic_Alliance_of_Serbia	-
RS	JS	R	https://en.wikipedia.org/wiki/United_Serbia	-
RS	KP	FL	https://en.wikipedia.org/wiki/Communist_Party_(Serbia)	-
RS	KV	CL	https://en.wikipedia.org/wiki/Vojvodina_Coalition	-
RS	LDP	C	https://en.wikipedia.org/wiki/Liberal_Democratic_Party_(Serbia)	-
RS	LDP4	C	https://en.wikipedia.org/wiki/Liberal_Democratic_Party_(Serbia)	-
RS	LK	-	-	No Wikipedia website found
RS	LSD	-	-	No Wikipedia website found
RS	LSV	CL	https://en.wikipedia.org/wiki/League_of_Social_Democrats_of_Vojvodina	-
