country	pm_id	lr	url	comment
SE	C	CCR	https://en.wikipedia.org/wiki/Centre_Party_(Sweden)	-
SE	KD	CRR	https://en.wikipedia.org/wiki/Christian_Democrats_(Sweden)	-
SE	L	CR	https://en.wikipedia.org/wiki/Liberals_(Sweden)	-
SE	M	CR	https://en.wikipedia.org/wiki/Moderate_Party	-
SE	MP	CL	https://en.wikipedia.org/wiki/Green_Party_(Sweden)	-
SE	S	CL	https://en.wikipedia.org/wiki/Swedish_Social_Democratic_Party	-
SE	SD	RRF	https://en.wikipedia.org/wiki/Sweden_Democrats	-
SE	V	L	https://en.wikipedia.org/wiki/Left_Party_(Sweden)	-
SE	Q10585380	CL	https://sv.wikipedia.org/wiki/Miljöpartister_i_Svenska_kyrkan_De_Gröna	-
SE	Q3360009	C	https://en.wikipedia.org/wiki/Centre_Party_Youth	-
SE	Q50383811	FR	https://en.wikipedia.org/wiki/Alternative_for_Sweden	-
SE	Q61791721	-	https://sv.wikipedia.org/wiki/Partiet_Vändpunkt	-
SE	independent	-	https://sv.wikipedia.org/wiki/Partilös	Without party designation
