Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
AT	parliamentaryGroup	parliamentaryGroup.SPÖ	-	-	-	parliamentary group of the Social Democratic Party of Austria	-	-	-
AT	parliamentaryGroup	parliamentaryGroup.ÖVP	-	-	-	parliamentary group of the Austrian People's Party	-	-	-
AT	parliamentaryGroup	parliamentaryGroup.FPÖ	-	-	-	parliamentary group of the Austrian Freedom Party	-	-	-
AT	parliamentaryGroup	parliamentaryGroup.BZÖ	-	-	-	parliamentary group Alliance for the Future of Austria	-	-	-
AT	parliamentaryGroup	parliamentaryGroup.GRÜNE	-	-	-	parliamentary group of The Greens – The Green Alternative	-	-	-
AT	parliamentaryGroup	parliamentaryGroup.LIF	-	-	-	parliamentary group of Liberal Forum	-	-	-
AT	parliamentaryGroup	parliamentaryGroup.NEOS	-	-	-	parliamentary group of NEOS	-	-	-
AT	parliamentaryGroup	parliamentaryGroup.JETZT	-	-	-	parliamentary group JETZT – Pilz List	-	-	-
AT	parliamentaryGroup	parliamentaryGroup.STRONACH	-	-	-	parliamentary group Team Stronach	-	-	-
AT	politicalParty	politicalParty.SPÖ	SPÖ	-	-	Social Democratic Party of Austria	1888-12-30	-	-
AT	politicalParty	politicalParty.ÖVP	ÖVP	-	-	Austrian People's Party	1945-04-17	-	-
AT	politicalParty	politicalParty.FPÖ	FPÖ	-	-	Freedom Party of Austria	1956-04-07	-	-
AT	politicalParty	politicalParty.GRÜNE	GRÜNE	-	-	The Greens – The Green Alternative	1993-01-01	-	-
AT	politicalParty	politicalParty.NEOS	NEOS	-	-	NEOS – The New Austria and Liberal Forum	2014-01-25	-	-
AT	politicalParty	politicalParty.STRONACH	STRONACH	-	-	Team Stronach	2012-09-25	2017-12-31	-
AT	politicalParty	politicalParty.LIF	LIF	-	-	Liberal Forum	1993-02-04	2014-01-25	-
AT	politicalParty	politicalParty.BZÖ	BZÖ	-	-	Alliance for the Future of Austria	2005-04-17	-	-
AT	politicalParty	politicalParty.JETZT	JETZT	-	-	JETZT – Pilz List	2017-07-26	2020-01-01	-
