Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
CZ	parliamentaryGroup	parliamentaryGroup.KSCS	KSČS	-	Komunistická strana Československa	-	-	-	-
CZ	parliamentaryGroup	parliamentaryGroup.KDU-CSL	KDU-ČSL	-	Poslanecký klub KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	-	-	-
CZ	parliamentaryGroup	parliamentaryGroup.KSCM	KSČM	-	Poslanecký klub Komunistické strany Čech a Moravy	Political group Communist Party of Bohemia and Moravia	-	-	-
CZ	parliamentaryGroup	parliamentaryGroup.OF.512	OF	-	Občanské fórum	-	1990-06-07	1992-06-04	-
CZ	parliamentaryGroup	parliamentaryGroup.OH.515	OH	-	Občanské hnutí	-	1990-06-07	1992-06-04	-
CZ	parliamentaryGroup	parliamentaryGroup.SDO.516	SDO	-	Klub Sociálně demokratické orientace	-	1990-06-07	1992-06-04	-
CZ	parliamentaryGroup	parliamentaryGroup.CSSD.540	ČSSD	-	ČSSD	-	1992-06-06	1992-12-31	-
CZ	parliamentaryGroup	parliamentaryGroup.CSSD	ČSSD	-	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	-	-	-
CZ	parliamentaryGroup	parliamentaryGroup.KDS.6	KDS	-	Poslanecký klub Křesťansko demokratické strany	Christian Democratic Party	1992-06-06	1996-03-31	-
CZ	parliamentaryGroup	parliamentaryGroup.LB.10	LB	-	Poslanecký klub Levého bloku	The Left Block	1992-06-06	1996-06-06	-
CZ	parliamentaryGroup	parliamentaryGroup.ODS	ODS	-	Poslanecký klub Občanské demokratické strany	Political group Civic Democratic Party	-	-	-
CZ	parliamentaryGroup	parliamentaryGroup.VV.867	VV	-	Poslanecký klub Věci veřejné	Political group Public Affairs Party	2010-05-31	2013-08-28	-
CZ	parliamentaryGroup	parliamentaryGroup.TOP09-S	TOP09-S	-	Poslanecký klub TOP 09 a Starostové	Political group TOP 09 a Starostové	-	-	-
CZ	parliamentaryGroup	parliamentaryGroup.ANO	ANO	-	Poslanecký klub ANO 2011	Political group ANO 2011	-	-	-
CZ	parliamentaryGroup	parliamentaryGroup.Usvit.1111	Úsvit	-	Poslanecký klub Úsvit - Národní Koalice	Political group of Usvit - Narodni Koalice	2013-11-05	2017-10-26	-
CZ	parliamentaryGroup	parliamentaryGroup.Pirati	Piráti	-	Poslanecký klub České pirátské strany	Political group Czech Pirate Party	-	-	-
CZ	parliamentaryGroup	parliamentaryGroup.STAN	STAN	-	Poslanecký klub Starostové a nezávislí	Political group Mayors and Independents	-	-	-
CZ	parliamentaryGroup	parliamentaryGroup.SPD	SPD	-	Poslanecký klub Svoboda a přímá demokracie	Political group Freedom and Direct Democracy	-	-	-
CZ	parliamentaryGroup	parliamentaryGroup.TOP09	TOP09	-	Poslanecký klub TOP 09	Political group TOP 09	-	-	-
CZ	politicalParty	politicalParty.CSSD	CSSD	-	Česká strana sociálně demokratická	Czech Social Democratic Party	1900-01-01	-	-
CZ	politicalParty	politicalParty.KDU-CSL	KDU-ČSL	-	Křesťanská a demokratická unie - Československá strana lidová	Christian Democratic Union - Czechoslovak People's Party	1900-01-01	-	-
CZ	politicalParty	politicalParty.KSCM	KSCM	-	Komunistická strana Čech a Moravy	Communist Party of Bohemia and Moravia	1900-01-01	-	-
CZ	politicalParty	politicalParty.ODS	ODS	-	Občanská demokratická strana	Civic Democratic Party	1900-01-01	-	-
CZ	politicalParty	politicalParty.K	K	-	Koalice	Coalition	2002-06-15	-	-
CZ	politicalParty	politicalParty.TOP09	TOP09	-	TOP 09	TOP 09	2010-05-29	-	-
CZ	politicalParty	politicalParty.VV	VV	-	Věci veřejné	Public Matters	2010-05-29	-	-
CZ	politicalParty	politicalParty.ANO2011	ANO2011	-	ANO2011	ANO2011	2013-10-26	-	-
CZ	politicalParty	politicalParty.Usvit	Usvit	-	Úsvit přímé demokracie Tomia Okamury	Rise of Direct Democracy of Tomio Okamura	2013-10-26	-	-
CZ	politicalParty	politicalParty.Pirati	Piráti	-	Česká pirátská strana	Czech Pirate Party	2017-10-21	-	-
CZ	politicalParty	politicalParty.SPD	SPD	-	Svoboda a prima demokracie - Tomio Okamura	Freedom and Direct Democracy - Tomio Okamura	2017-10-21	-	-
CZ	politicalParty	politicalParty.STAN	STAN	-	Starostove a nezavisli	Mayors and Independents	2017-10-21	-	-
CZ	politicalParty	politicalParty.PirSTAN	PirSTAN	-	Pirati+STAN	-	2021-10-09	-	-
CZ	politicalParty	politicalParty.SPOLU	SPOLU	-	Spolu	-	2021-10-09	-	-
