Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
FI	politicalParty	party.SMP	SMP	-	Suomen Maaseudun Puolue	Finnish Rural Party	1959-02-09	2003-08-12	-
FI	politicalParty	party.KP	KP	-	Kansalaispuolue	Citizens' Party	2016-03-08	2022-08-25	-
FI	parliamentaryGroup	party.AT	AT	-	Edustaja Turtiainen	MP Turtiainen	2020-06-05	2020-06-09	-
FI	parliamentaryGroup	party.EJUV	EJUV	-	Edustaja Juvonen	MP Juvonen	2017-06-13	2017-06-27	-
FI	parliamentaryGroup	party.PV	PV	-	Edustaja Väyrynen	MP Väyrynen	2018-06-12	2018-06-17	-
FI	politicalParty	party.VKK	VKK	-	Valta kuuluu kansalle	Power Belongs to the People	2021-06-11	-	-
FI	politicalParty	party.TL	TL	-	Seitsemän tähden liike	Seven Star Movement	2018-06-28	-	-
FI	politicalParty	party.LIIK	LIIK	-	Liike Nyt	Movement Now	2018-01-01	-	-
FI	politicalParty	party.SIN	SIN	-	Sininen tulevaisuus	Blue Reform	2017-06-13	-	-
FI	politicalParty	party.VAS	VAS	-	Vasemmistoliitto	Left Alliance	1990-01-01	-	-
FI	politicalParty	party.VIHR	VIHR	-	Vihreä liitto	Green League	1987-02-28	-	-
FI	politicalParty	party.RKP	RKP	-	Suomen ruotsalainen kansanpuolue	Swedish People's Party of Finland	1906-01-01	-	-
FI	politicalParty	party.KD	KD	-	Suomen Kristillisdemokraatit	Christian Democrats	1958-01-01	-	-
FI	politicalParty	party.SDP	SDP	-	Suomen Sosialidemokraattinen Puolue	Social Democratic Party of Finland	1899-01-01	-	-
FI	politicalParty	party.PS	PS	-	Perussuomalaiset	Finns Party	1995-05-11	-	-
FI	politicalParty	party.KESK	KESK	-	Suomen Keskusta	Centre Party	1906-01-01	-	-
FI	politicalParty	party.KOK	KOK	-	Kansallinen kokoomus	National Coalition Party	1918-12-09	-	-
