Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
HR	parliamentaryGroup	party.DC	DC	-	Demokratski centar	-	-	-	-
HR	parliamentaryGroup	party.HDSSB	HDSSB	-	Hrvatski demokratski savez Slavonije i Baranje	-	-	-	-
HR	parliamentaryGroup	party.HDZ	HDZ	-	Hrvatska demokratska zajednica	-	-	-	-
HR	parliamentaryGroup	party.HNS	HNS	-	Hrvatska narodna stranka	-	-	-	-
HR	parliamentaryGroup	party.HSLS	HSLS	-	Hrvatska socijalno-liberalna stranka	-	-	-	-
HR	parliamentaryGroup	party.HSP	HSP	-	Hrvatska stranka prava	-	-	-	-
HR	parliamentaryGroup	party.HSS	HSS	-	Hrvatska seljačka stranka	-	-	-	-
HR	parliamentaryGroup	party.HSU	HSU	-	Hrvatska stranka umirovljenika	-	-	-	-
HR	parliamentaryGroup	party.IDS	IDS	-	Istarski demokratski sabor	-	-	-	-
HR	parliamentaryGroup	party.MDS	MDS	-	Međimurski demokratski savez	-	-	-	-
HR	parliamentaryGroup	party.PGS	PGS	-	Primorsko goranski savez	-	-	-	-
HR	parliamentaryGroup	party.SBHS	SBHS	-	Slavonsko-baranjska hrvatska stranka	-	-	-	-
HR	parliamentaryGroup	party.SDAH	SDAH	-	Stranka demokratske akcije Hrvatske	-	-	-	-
HR	parliamentaryGroup	party.SDP	SDP	-	Socijaldemokratska partija Hrvatske	-	-	-	-
HR	parliamentaryGroup	party.SDSS	SDSS	-	Samostalna demokratska srpska stranka	-	-	-	-
HR	parliamentaryGroup	party.HRVATSKI_LABURISTI	Hrvatski laburisti	-	Hrvatski laburisti – Stranka rada	-	-	-	-
HR	parliamentaryGroup	party.HSD	HSD	-	Hrvatski socijaldemokrati	-	-	-	-
HR	parliamentaryGroup	party.BDSH	BDSH	-	Bošnjačka demokratska stranka Hrvatske	-	-	-	-
HR	parliamentaryGroup	party.HGS	HGS	-	Hrvatska građanska stranka	-	-	-	-
HR	parliamentaryGroup	party.HSP_AS	HSP AS	-	Hrvatska stranka prava dr. Ante Starčević	-	-	-	-
HR	parliamentaryGroup	party.ID	ID	-	Istarski demokrati	-	-	-	-
HR	parliamentaryGroup	party.NAPRIJED_HRVATSKA	Naprijed Hrvatska!	-	Naprijed Hrvatska!	-	-	-	-
HR	parliamentaryGroup	party.NOVI_VAL	Novi val	-	Novi val - Stranka razvoja	-	-	-	-
HR	parliamentaryGroup	party.ORAH	ORaH	-	Održivi razvoj Hrvatske	-	-	-	-
HR	parliamentaryGroup	party.REFORMISTI	Reformisti	-	Narodna stranka–Reformisti	-	-	-	-
HR	parliamentaryGroup	party.BM365	BM365	-	Bandić Milan 365 - Stranka rada i solidarnosti	-	-	-	-
HR	parliamentaryGroup	party.BUZ	BUZ	-	Blok umirovljenici zajedno	-	-	-	-
HR	parliamentaryGroup	party.HDS	HDS	-	Hrvatska demokršćanska stranka	-	-	-	-
HR	parliamentaryGroup	party.HRAST	HRAST	-	Hrvatski rast	-	-	-	-
HR	parliamentaryGroup	party.HRID	HRID	-	Hrvatska inicijativa za dijalog	-	-	-	-
HR	parliamentaryGroup	party.MOST	MOST	-	Most nezavisnih lista	-	-	-	-
HR	parliamentaryGroup	party.NLSP	NLSP	-	Nezavisna lista Stipe Petrina	-	-	-	-
HR	parliamentaryGroup	party.PH	PH	-	Promijenimo Hrvatsku!	-	-	-	-
HR	parliamentaryGroup	party.ŽIVI_ZID	Živi zid	-	Živi zid	-	-	-	-
HR	parliamentaryGroup	party.GLAS	GLAS	-	Građansko-liberalni savez	-	-	-	-
HR	parliamentaryGroup	party.SMSH	SMSH	-	Stranka međugeneracijske solidarnosti Hrvatske	-	-	-	-
HR	parliamentaryGroup	party.SNAGA	SNAGA	-	SNAGA - Stranka narodnog i građanskog aktivizma	-	-	-	-
HR	parliamentaryGroup	party.DP	DP	-	Domovinski pokret	-	-	-	-
HR	parliamentaryGroup	party.ZK	ZK	-	Zeleno–lijeva koalicija	-	-	-	-
HR	parliamentaryGroup	party.SIP	SIP	-	Stranka s imenom i prezimenom	-	-	-	-
HR	parliamentaryGroup	party.PAMETNO	Pametno	-	Pametno	-	-	-	-
HR	parliamentaryGroup	party.FOKUS	Fokus	-	Fokus na bitno	-	-	-	-
HR	parliamentaryGroup	party.NEZAVISNI	nezavisni	-	nezavisni	-	-	-	-
HR	parliamentaryGroup	party.HS	HS	-	Hrvatski Suverenisti	-	-	-	-
HR	parliamentaryGroup	party.HKS	HKS	-	Hrvatska konzervativna stranka	-	-	-	-
