Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
HU	politicalParty	party.Fidesz	Fidesz	-	Fidesz – Magyar Polgári Szövetség	Fidesz – Hungarian Civic Alliance	1988-03-30	-	-
HU	politicalParty	party.KDNP	KDNP	-	Kereszténydemokrata Néppárt	Christian Democratic People's Party	1944-10-13	-	-
HU	politicalParty	party.MSZP	MSZP	-	Magyar Szocialista Párt	Hungarian Socialist Party	1989-11-21	-	-
HU	politicalParty	party.EGYUTT	EGYÜTT	-	Együtt – a Korszakváltók Pártja	Together – Party for a New Era	2013-03-08	2018-06-02	-
HU	politicalParty	party.DK	DK	-	Demokratikus Koalíció	Democratic Coalition	2011-10-22	-	-
HU	politicalParty	party.Parbeszed	Párbeszéd	-	Párbeszéd Magyarországért	Dialogue for Hungary	2013-02-17	-	-
HU	politicalParty	party.MLP	MLP	-	Magyar Liberális Párt	Hungarian Liberal Party	2013-04-27	-	-
HU	politicalParty	party.JOBBIK	JOBBIK	-	Jobbik Magyarországért Mozgalom	Movement for a Better Hungary	2003-10-24	-	-
HU	politicalParty	party.LMP1	LMP	-	Lehet Más a Politika	Politics Can Be Different	2009-02-14	2020-02-01	-
HU	politicalParty	party.LMP2	LMP	-	LMP - Magyarország Zöld Pártja	LMP – Hungary's Green Party	2020-02-01	-	-
HU	politicalParty	party.MNOO	MNOÖ	-	Magyarországi Németek Országos Önkormányzata	National Self-Government of Germans in Hungary	1995-03-11	-	-
HU	politicalParty	party.Momentum	Momentum	-	Momentum Mozgalom	Momentum Movement	2017-03-04	-	-
HU	politicalParty	party.MiHazank	Mi Hazánk	-	Mi Hazánk Mozgalom	Our Homeland Movement	2018-06-23	-	-
HU	politicalParty	party.UK	ÚK	-	Új Kezdet	New Beginning	2016-04-20	-	-
HU	politicalParty	party.Szolidaritas	Szolidaritás	-	Magyar Szolidaritás Mozgalom	Hungarian Solidarity Movement	2011-10-01	-	-
HU	politicalParty	party.Volner	Volner	-	Volner Párt	Volner Party	2020-09-19	2022-05-08	-
HU	politicalParty	party.Huxit	Huxit	-	Huxit Párt	Huxit Party	2022-05-08	-	-
HU	parliamentaryGroup	parliamentaryGroup.Fidesz	Fidesz-frakció	-	A Fidesz – Magyar Polgári Szövetség parlamenti frakciója	Parliamentary group of the Fidesz – Hungarian Civic Alliance	-	-	-
HU	parliamentaryGroup	parliamentaryGroup.KDNP	KNDP-frakció	-	A Kereszténydemokrata Néppárt parlamenti frakciója	Parliamentary group of the Christian Democratic People's Party	-	-	-
HU	parliamentaryGroup	parliamentaryGroup.MSZP	MSZP-frakció	-	A Magyar Szocialista Párt parlamenti frakciója	Parliamentary group of the Hungarian Socialist Party	-	-	-
HU	parliamentaryGroup	parliamentaryGroup.JOBBIK	JOBBIK-frakció	-	A Jobbik Magyarországért Mozgalom parlamenti frakciója	Parliamentary group of the Movement for a Better Hungary	-	-	-
HU	parliamentaryGroup	parliamentaryGroup.LMP	LMP-frakció	-	A Lehet Más a Politika parlamenti frakciója	Parliamentary group of the Politics Can be Different	-	-	-
HU	parliamentaryGroup	parliamentaryGroup.DK	DK-frakció	-	A Demokratikus Koalíció parlamenti frakciója	Parliamentary group of the Democratic Coalition	-	-	-
HU	parliamentaryGroup	parliamentaryGroup.Parbeszed	Párbeszéd-frakció	-	A Párbeszéd Magyarországért parlamenti frakciója	Parliamentary group of the Dialogue for Hungary	-	-	-
HU	parliamentaryGroup	parliamentaryGroup.Momentum	Momentum-frakció	-	A Momentum Mozgalom parlamenti frakciója a 9. parlamenti ciklusban	Parliamentary group of the Momentum Movement in the 9th parliamentary term	-	-	-
HU	parliamentaryGroup	parliamentaryGroup.MiHazank	Mi Hazánk-frakció	-	A Mi Hazánk Mozgalom parlamenti frakciója	Parliamentary group of the Our Homeland Movement	-	-	-
