Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
NL	parliamentaryGroup	party.SP	SP	-	Socialistische Partij	-	1972-01-01	-	-
NL	parliamentaryGroup	party.PvdA	PvdA	-	Partij van de Arbeid	-	1946-01-01	-	-
NL	parliamentaryGroup	party.CDA	CDA	-	Christen-Democratisch Appèl	-	1980-10-11	-	-
NL	parliamentaryGroup	party.VVD	VVD	-	Volkspartij voor Vrijheid en Democratie	-	1948-01-01	-	-
NL	parliamentaryGroup	party.PvdD	PvdD	-	Partij voor de Dieren	-	2002-01-01	-	-
NL	parliamentaryGroup	party.PVV	PVV	-	Partij voor de Vrijheid	-	2006-02-22	-	-
NL	parliamentaryGroup	party.GroenLinks	GL	-	GroenLinks	-	1990-11-24	-	-
NL	parliamentaryGroup	party.SGP	SGP	-	Staatkundig Gereformeerde Partij	-	1918-04-14	-	-
NL	parliamentaryGroup	party.D66	D66	-	Democraten 66	-	1966-10-14	-	-
NL	parliamentaryGroup	party.ChristenUnie	CU	-	ChristenUnie	-	2000-01-22	-	-
NL	parliamentaryGroup	party.50PLUS	50PLUS	-	50PLUS	-	2011-01-01	-	-
NL	parliamentaryGroup	party.OSF	OSF	-	Onafhankelijke Senaatsfractie	-	1999-01-01	-	-
NL	parliamentaryGroup	party.GroepKuzu-Öztürk	GKÖ	-	Groep Kuzu/Öztürk	-	2014-11-13	2017-03-22	-
NL	parliamentaryGroup	party.VanVliet	Van Vliet	-	Fractie Van Vliet	-	2014-03-20	2017-03-23	-
NL	parliamentaryGroup	party.GroepBontes-VanKlaveren	Bontes/Van Klaveren	-	Groep Bontes/Van Klaveren	-	2014-04-15	2017-03-23	-
NL	parliamentaryGroup	party.Houwers	Houwers	-	Fractie Houwers	-	2015-03-25	2017-03-23	-
NL	parliamentaryGroup	party.Monasch	Monasch	-	Fractie Monasch	-	2016-11-08	2017-03-23	-
NL	parliamentaryGroup	party.Klein	Klein	-	Fractie Klein	-	2014-05-28	2017-03-23	-
NL	parliamentaryGroup	party.Bontes	Bontes	-	Fractie Bontes	-	2013-10-29	2014-04-15	-
NL	parliamentaryGroup	party.DENK	DENK	-	DENK	-	2015-02-09	-	-
NL	parliamentaryGroup	party.VanHaga	Van Haga	-	Fractie Van Haga	-	2021-05-13	-	-
NL	parliamentaryGroup	party.FvD	FvD	-	Forum voor Democratie	-	2016-09-25	-	-
NL	parliamentaryGroup	party.vanPareren	vanPareren	-	Fractie van Pareren	-	2020-11-29	2021-02-15	-
NL	parliamentaryGroup	party.vKA	vKA	-	Lid Van Kooten-Arissen	-	2019-08-16	2019-12-01	-
NL	parliamentaryGroup	party.GKVK	GKVK	-	Groep-Krol/Van Kooten-Arissen	-	2020-05-06	2020-08-08	-
NL	parliamentaryGroup	party.VanKooten-Arissen	Van Kooten-Arissen	-	Fractie Van Kooten-Arissen	-	2020-12-21	-	-
NL	parliamentaryGroup	party.Krol	Krol	-	Fractie Krol	-	2020-05-03	2021-03-21	-
NL	parliamentaryGroup	party.NieuweWegen	Nieuwe Wegen	-	Partij Nieuwe Wegen	-	2016-11-28	-	-
NL	parliamentaryGroup	party.BBB	BBB	-	Boeren Burger Beweging	-	2019-01-01	-	-
NL	parliamentaryGroup	party.VOLT	VOLT	-	VOLT	-	2017-01-01	-	-
NL	parliamentaryGroup	party.JA21	JA21	-	Juiste Antwoord 2021	-	2020-12-01	-	-
NL	parliamentaryGroup	party.BIJ1	BIJ1	-	BIJ1	-	2016-01-01	-	-
NL	parliamentaryGroup	party.Omtzigt	Omtzigt	-	Fractie Omtzigt	-	2021-09-15	-	-
NL	parliamentaryGroup	party.DenHaan	Den Haan	-	Fractie Den Haan	-	2021-05-06	-	-
NL	parliamentaryGroup	party.Gündoğan	Gündoğan	-	Fractie Gündoğan	-	2022-03-22	-	-
