Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
NO	parliamentaryGroup	party.A	A	-	Arbeiderpartiet	-	-	-	-
NO	parliamentaryGroup	party.H	H	-	Høyre	-	-	-	-
NO	parliamentaryGroup	party.FRP	FrP	-	Fremskrittspartiet	-	-	-	-
NO	parliamentaryGroup	party.SP	Sp	-	Senterpartiet	-	-	-	-
NO	parliamentaryGroup	party.SV	SV	-	Sosialistisk Venstreparti	-	-	-	-
NO	parliamentaryGroup	party.KRF	KrF	-	Kristelig Folkeparti	-	-	-	-
NO	parliamentaryGroup	party.V	V	-	Venstre	-	-	-	-
NO	parliamentaryGroup	party.MDG	MDG	-	Miljøpartiet De Grønne	-	-	-	-
NO	parliamentaryGroup	party.R	R	-	Rødt	-	-	-	-
NO	parliamentaryGroup	party.PF	PF	-	Pasientfokus	-	-	-	-
NO	parliamentaryGroup	party.KP	A	-	Kystpartiet	-	-	-	-
NO	parliamentaryGroup	party.TF	TF	-	Tverrpolitisk Folkevalgte (Kystpartiet)	-	-	-	-
NO	parliamentaryGroup	party.UAV	UAV	-	Uavhengig	-	-	-	-
