Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
PT	politicalParty	PSD	PSD	-	Partido Social Democrata	-	1974-04-25	-	-
PT	politicalParty	CDS-PP	CDS-PP	-	Centro Democrático Social - Partido Popular	-	1974-04-25	-	-
PT	politicalParty	PS	PS	-	Partido Socialista	-	1974-04-25	-	-
PT	politicalParty	PCP	PCP	-	Partido Comunista Português	-	1974-04-25	-	-
PT	politicalParty	BE	BE	-	Bloco de Esquerda	-	1974-04-25	-	-
PT	politicalParty	PEV	PEV	-	Partido Ecologista "Os Verdes"	-	1974-04-25	-	-
PT	politicalParty	PAN	PAN	-	Pessoas-Animais-Natureza	-	1974-04-25	-	-
PT	politicalParty	CH	CH	-	Chega	-	1974-04-25	-	-
PT	politicalParty	L	L	-	Livre	-	1974-04-25	-	-
PT	politicalParty	IL	IL	-	Iniciativa Liberal	-	1974-04-25	-	-
PT	politicalParty	Independente	Independente	-	Independente	-	1974-04-25	-	-
PT	politicalParty	Não-inscrito	Não-inscrito	-	Não-inscrito	-	1974-04-25	-	-
PT	parliamentaryGroup	PG.GP-PSD	GP-PSD	-	Grupo Parlamentar do Partido Social Democrata	-	-	-	-
PT	parliamentaryGroup	PG.GP-CDS-PP	GP-CDS-PP	-	Grupo Parlamentar do Centro Democrático Social - Partido Popular	-	-	-	-
PT	parliamentaryGroup	PG.GP-PS	GP-PS	-	Grupo Parlamentar do Partido Socialista	-	-	-	-
PT	parliamentaryGroup	PG.GP-PCP	GP-PCP	-	Grupo Parlamentar do Partido Comunista Português	-	-	-	-
PT	parliamentaryGroup	PG.GP-BE	GP-BE	-	Grupo Parlamentar do Bloco de Esquerda	-	-	-	-
PT	parliamentaryGroup	PG.GP-PEV	GP-PEV	-	Grupo Parlamentar do Partido Ecologista "Os Verdes"	-	-	-	-
PT	parliamentaryGroup	PG.GP-PAN	GP-PAN	-	Grupo Parlamentar do Pessoas-Animais-Natureza	-	-	-	-
PT	parliamentaryGroup	PG.GP-CH	GP-CH	-	Grupo Parlamentar do Chega	-	-	-	-
PT	parliamentaryGroup	PG.GP-L	GP-L	-	Grupo Parlamentar do Livre	-	-	-	-
PT	parliamentaryGroup	PG.GP-IL	GP-IL	-	Grupo Parlamentar do Iniciativa Liberal	-	-	-	-
