Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
SE	parliamentaryGroup	Q50383811	-	-	Alternativ för Sverige	-	-	-	-
SE	parliamentaryGroup	Q110832	C	-	Centerpartiet	-	-	-	-
SE	parliamentaryGroup	Q3360009	-	-	Centerpartiets ungdomsförbund	-	-	-	-
SE	parliamentaryGroup	Q213654	KD	-	Kristdemokraterna	-	-	-	-
SE	parliamentaryGroup	Q110857	L	-	Liberalerna	-	-	-	-
SE	parliamentaryGroup	Q213451	MP	-	Miljöpartiet	-	-	-	-
SE	parliamentaryGroup	Q10585380	-	-	Miljöpartister i Svenska kyrkan De Gröna	-	-	-	-
SE	parliamentaryGroup	Q110843	M	-	Moderaterna	-	-	-	-
SE	parliamentaryGroup	Q61791721	-	-	Partiet Vändpunkt	-	-	-	-
SE	parliamentaryGroup	Q105112	S	-	Socialdemokraterna	-	-	-	-
SE	parliamentaryGroup	Q504069	SD	-	Sverigedemokraterna	-	-	-	-
SE	parliamentaryGroup	Q110837	V	-	Vänsterpartiet	-	-	-	-
SE	parliamentaryGroup	Q327591	independent	-	partilös	-	-	-	-
