country	id	surname	forename	sex
BA	AkšamijaGoran	Goran	Akšamija	M
BA	AlagićVahid	Vahid	Alagić	M
BA	AlijagićAmila	Amila	Alijagić	F
BA	AlkalajSven	Sven	Alkalaj	M
BA	AndrićLužanskiIvo	Ivo	Andrić Lužanski	M
BA	AntoSpajić	Spajić	Anto	M
BA	ArnautBoriša	Boriša	Arnaut	M
BA	ArnautSrđan	Srđan	Arnaut	M
BA	ArnautovićSuad	Suad	Arnautović	M
BA	AšaninMarko	Marko	Ašanin	M
BA	AšimićIlij	Ilij	Ašimić	M
BA	BajrambašićIzet	Izet	Bajrambašić	M
BA	BarašinMilorad	Milorad	Barašin	M
BA	BašićHaris	Haris	Bašić	M
BA	BegićMuhamed	Muhamed	Begić	M
BA	BegićMustafa	Mustafa	Begić	M
BA	BektoSamir	Samir	Bekto	M
BA	BevandaVjekoslav	Vjekoslav	Bevanda	M
BA	BećirbašićEnes	Enes	Bećirbašić	M
BA	BisićMustafa	Mustafa	Bisić	M
BA	BlocerPiter	Piter	Blocer	M
BA	BogdanovićRadomir	Radomir	Bogdanović	M
BA	BorovacSemiha	Semiha	Borovac	F
BA	BosićBoro	Boro	Bosić	M
BA	BoškoŠiljeković	Šiljeković	Boško	M
BA	BošnjakJovica	Jovica	Bošnjak	M
BA	BožanićDragan	Dragan	Božanić	M
BA	BožićRadomir	Radomir	Božić	M
BA	BrankovićNedžad	Nedžad	Branković	M
BA	BrkićJosip	Josip	Brkić	M
BA	CikotićSelmo	Selmo	Cikotić	M
BA	CrnadakIgor	Igor	Crnadak	M
BA	CrnjakMirjana	Mirjana	Crnjak	F
BA	CrnčevićBranislava	Branislava	Crnčević	F
BA	DalipagićSaša	Saša	Dalipagić	M
BA	DautbašićBakir	Bakir	Dautbašić	M
BA	DebevecRanko	Ranko	Debevec	M
BA	DejanovićMirko	Mirko	Dejanović	M
BA	DiksonĐoni	Đoni	Dikson	M
BA	DilberovićEdin	Edin	Dilberović	M
BA	DivčićIvo	Ivo	Divčić	M
BA	DizdarevićDamir	Damir	Dizdarević	M
BA	DizdarevićEmir	Emir	Dizdarević	M
BA	DokoDragan	Dragan	Doko	M
BA	DraganićMilomir	Milomir	Draganić	M
BA	DragutinIlić	Ilić	Dragutin	M
BA	DugandžićVlatko	Vlatko	Dugandžić	M
BA	DumančićVinko	Vinko	Dumančić	M
BA	DurakovićKemal	Kemal	Duraković	M
BA	DžafićSuad	Suad	Džafić	M
BA	DžakulaMiro	Miro	Džakula	M
BA	DžonsonRasellord	Rasellord	Džonson	M
BA	DžumhurJasminka	Jasminka	Džumhur	F
BA	EnesBećirbašić	Bećirbašić	Enes	M
BA	ErićSavo	Savo	Erić	M
BA	EstreljaRafael	Rafael	Estrelja	M
BA	EždaunPedi	Pedi	Eždaun	M
BA	FerzanovićBranislava	Branislava	Ferzanović	F
BA	FilipovićErma	Erma	Filipović	F
BA	FočoDženita	Dženita	Fočo	F
BA	GalićValerija	Valerija	Galić	F
BA	GavranDušan	Dušan	Gavran	M
BA	GotovušaEsad	Esad	Gotovuša	M
BA	GrabovacMilenko	Milenko	Grabovac	M
BA	GrbićAnto	Anto	Grbić	M
BA	GrubešaJosip	Josip	Grubeša	M
BA	GrubešićNiko	Niko	Grubešić	M
BA	GudeljevićAnkica	Ankica	Gudeljević	F
BA	HadţiabdićIrena	Irena	Hadţiabdić	F
BA	HadžagićEsma	Esma	Hadžagić	F
BA	HadžiJovan	Jovan	Hadži	M
BA	HadžiabdićIrena	Irena	Hadžiabdić	F
BA	HadžibegoćReuf	Reuf	Hadžibegoć	M
BA	HadžićDamir	Damir	Hadžić	M
BA	HadžovićVedran	Vedran	Hadžović	M
BA	HalilagićJusuf	Jusuf	Halilagić	M
BA	HalilovićEnver	Enver	Halilović	M
BA	HamondPhilip	Philip	Hamond	M
BA	HaverićFadil	Fadil	Haverić	M
BA	HodžićSead	Sead	Hodžić	M
BA	HuremovićMehmedalija	Mehmedalija	Huremović	F
BA	HurtićZlatko	Zlatko	Hurtić	M
BA	IbrahimovićFadila	Fadila	Ibrahimović	F
BA	ImamovićMuharem	Muharem	Imamović	M
BA	IsakovićMunib	Munib	Isaković	M
BA	IštvanićZlatan	Zlatan	Ištvanić	M
BA	JadrankoTomić	Tomić	Jadranko	M
BA	JancUdo	Udo	Janc	M
BA	JelavićAnte	Ante	Jelavić	M
BA	JelečSead	Sead	Jeleč	M
BA	JerinićBoris	Boris	Jerinić	M
BA	JovićPredrag	Predrag	Jović	M
BA	JukićNives	Nives	Jukić	F
BA	JukićRužica	Ružica	Jukić	F
BA	JurčevićMarinko	Marinko	Jurčević	M
BA	JusićSead	Sead	Jusić	M
BA	JuskoIsmir	Ismir	Jusko	M
BA	KadrićZijad	Zijad	Kadrić	M
BA	KapetinaDragan	Dragan	Kapetina	M
BA	KaramehićSelim	Selim	Karamehić	M
BA	KasumovićFuad	Fuad	Kasumović	M
BA	KeboMirsad	Mirsad	Kebo	M
BA	KlačarRajka	Rajka	Klačar	F
BA	KlobučarŽeljka	Željka	Klobučar	F
BA	KneževićŽeljko	Željko	Knežević	M
BA	KojićSavo	Savo	Kojić	M
BA	KoprivicaKojo	Kojo	Koprivica	M
BA	KoraćLidija	Lidija	Korać	F
BA	KovačPredrag	Predrag	Kovač	M
BA	KovačevićDragan	Dragan	Kovačević	M
BA	KovačevićMatko	Matko	Kovačević	M
BA	KovačevićMomčilo	Momčilo	Kovačević	M
BA	KovačevićPetar	Petar	Kovačević	M
BA	KovićGordana	Gordana	Ković	F
BA	KovićGordanal	Gordanal	Ković	M
BA	KozarićKemal	Kemal	Kozarić	M
BA	KozarićRahmanLamija	Lamija	Kozarić Rahman	F
BA	KraguljNikola	Nikola	Kragulj	M
BA	KrajtmerVinko	Vinko	Krajtmer	M
BA	KremenovićOstoja	Ostoja	Kremenović	F
BA	KresićMijo	Mijo	Kresić	M
BA	KrešićMijo	Mijo	Krešić	M
BA	KrižanovićIvo	Ivo	Križanović	M
BA	KrsmanRanko	Ranko	Krsman	M
BA	KulinaDragan	Dragan	Kulina	M
BA	KumalićJusuf	Jusuf	Kumalić	M
BA	KupusovićNamik	Namik	Kupusović	M
BA	KurnićŽiko	Žiko	Kurnić	M
BA	KurtovićMirsad	Mirsad	Kurtović	M
BA	KutlešaZvonimir	Zvonimir	Kutleša	M
BA	LakićMilica	Milica	Lakić	F
BA	LasićMile	Mile	Lasić	M
BA	LažetićDragana	Dragana	Lažetić	F
BA	LekoDamir	Damir	Leko	M
BA	LimovTihomir	Tihomir	Limov	M
BA	LisakSead	Sead	Lisak	M
BA	LjubićDamir	Damir	Ljubić	M
BA	LokmićMisiračaJadranka	Jadranka	Lokmić Misirača	F
BA	LovrićLjiljana	Ljiljana	Lovrić	F
BA	LovrićVelimir	Velimir	Lovrić	M
BA	LučićMilošJovićNedeljko	Miloš	Lučić	M
BA	LučićMiloš	Miloš	Lučić	M
BA	MahmutovićDževad	Dževad	Mahmutović	M
BA	MajićPetar	Petar	Majić	M
BA	MalićMilomir	Milomir	Malić	M
BA	MalkićAbduselam	Abduselam	Malkić	M
BA	MandićHelena	Helena	Mandić	F
BA	MandićMladen	Mladen	Mandić	M
BA	MarinSlavko	Slavko	Marin	M
BA	MarinkovićVaso	Vaso	Marinković	M
BA	MarinovićIvica	Ivica	Marinović	M
BA	MarićLjerka	Ljerka	Marić	F
