Country	PersonID	Role	From	To	Gov.	Ministry	Comment
BG	RadevValentin	minister	2017-05-04	2018-09-13	-	-	-
BG	PetkovBiser	minister	2017-05-04	2019-11-29	-	-	-
BG	BanovBoil	minister	2017-05-04	-	-	-	-
BG	GoranovVladislav	minister	2017-05-04	2020-07-24	-	-	-
BG	KirilovDanail	minister	2019-04-05	2020-08-27	-	-	-
BG	SachevaDenitsa	minister	2019-12-03	-	-	-	-
BG	AhladovaDesislava	minister	2020-09-03	-	-	-	-
BG	TanevaDesislava	minister	2019-05-15	-	-	-	-
BG	TanevaDesislava	minister	2014-11-07	2019-05-14	-	-	-
BG	ZaharievaEkaterina	minister	2017	-	-	-	-
BG	KaranikolovEmil	minister	2017-05-04	2020-07-24	-	-	-
BG	MoskovskiIvajlo	minister	2017-05-04	2018-09-20	-	-	-
BG	AnanievKiril	minister	2017-11	2020-07	-	-	-
BG	AngelovKostadin	minister	2020-07-24	-	-	-	-
BG	KralevKrasen	minister	2014-05-04	2017-01-27	-	-	-
BG	KralevKrasen	minister	2017-05-04	-	-	-	-
BG	ValchevKrasimir	minister	2017-05-04	-	-	-	-
BG	KarakachanovKrasimir	minister	2017	-	-	-	-
BG	PavlovaLiljana	minister	2011-09-09	2013-02-20	-	-	-
BG	PavlovaLiljana	minister	2017-05-04	2018-12-31	-	-	-
BG	VasilevaLozana	minister	2017-05-04	2018-12-31	-	-	-
BG	NikolovaMariyana	minister	2020-07-24	-	-	-	-
BG	MarinovMladen	minister	2018-09-20	2020	-	-	-
BG	DimovNeno	minister	2017-05-04	2020-01-10	-	-	-
BG	AngelkovaNikolina	minister	2017	2020	-	-	-
BG	AvramovaPetya	minister	2018-09-20	-	-	-	-
BG	ZheljazkovRosen	minister	2018-09-20	-	-	-	-
BG	PorozhanovRumen	minister	2017-05-04	2019-05-15	-	-	-
BG	PetkovaTemenuzhka	minister	2017-05-04	-	-	-	-
BG	PetkovaTemenuzhka	minister	2014-11-07	2017-01-27	-	-	-
BG	TerziyskiChristo	minister	2020-07-24	-	-	-	-
BG	TsachevaTsetska	minister	2017-05-04	2019-04-05	-	-	-
BG	StonovVasil	minister	2014-08-06	2014-11-07	-	-	-
BG	GrudevVasil	minister	2014-08-06	2014-11-07	-	-	-
BG	ShalamanovVelizar	minister	2014-08-06	2014-11-07	-	-	-
BG	DonevGylyb	minister	2017-01-27	2017-05-04	-	-	-
BG	MitovDaniel	minister	2014-08-06	2017-01-27	-	-	-
BG	KostovDimityr	minister	1995-01-25	1997-02-12	-	-	-
BG	RoussinovaZornitsa	minister	2014-11-19	2017-01-27	-	-	-
BG	CanovaIliyana	minister	2013-03-13	2013-05-29	-	-	-
BG	CanovaIliyana	minister	2014-08-06	2014-11-07	-	-	-
BG	SemerdzievIlko	minister	2017-01-27	2017-05-04	-	-	-
BG	KostovaIrina	minister	2017-01-27	2017-05-04	-	-	-
BG	MihajlovaIskra	minister	2013	2014	-	-	-
BG	HristoskovYordan	minister	2014-08-06	2014-11-07	-	-	-
BG	BakalovYordan	minister	2014-08-06	2014-11-07	-	-	-
BG	NenkovMiroslav	minister	-	-	-	-	-
BG	PavlovNikolay	minister	2017-01-27	2017-05-04	-	-	-
BG	DenkovNikolay	minister	2017-01-27	2017-05-04	-	-	-
BG	PetrovNikolay	minister	2017-05-04	2017-11-10	-	-	-
BG	MoskovPetar	minister	2014-11-07	2017-01-27	-	-	-
BG	UzunovPlamen	minister	2017-01-27	2017-05-04	-	-	-
BG	KolarovaRumyana	minister	2014-08-06	2014-11-07	-	-	-
BG	ZhekovaSvetlana	minister	2014-08-06	2014-11-07	-	-	-
BG	PopnikolovSpas	minister	2017-01-27	2017-05-04	-	-	-
BG	YanevStefan	minister	2017-01-27	2017-05-04	-	-	-
BG	TanevTodor	minister	2014-11-07	2016-02-03	-	-	-
BG	IvanovHristo	minister	2014-08-06	2014-11-07	-	-	-
BG	IvanovHristo	minister	2014-11-07	2015-12-18	-	-	-
