Country	PersonID	Role	From	To	Gov.	Ministry	Name-xx	Name-en	Comment
CZ	AdamVojtech.1986	minister	2021-05-26T12:00:00	2021-12-17T11:00:00	government	government.VladaCR.1494	-	-	-
CZ	AdamVojtech.1986	minister	2018-06-27T09:00:00	2020-09-21T12:00:00	government	government.VladaCR.1494	-	-	-
CZ	AdamVojtech.1986	minister	2017-12-13T14:00:00	2018-06-27T00:00:00	government	government.VladaCR.1338	-	-	-
CZ	AlenaSchillerova.1964	minister	2018-06-27T09:00:00	2021-12-17T11:00:00	government	government.VladaCR.1494	-	-	-
CZ	AlenaSchillerova.1964	minister	2017-12-13T14:00:00	2018-06-27T00:00:00	government	government.VladaCR.1338	-	-	-
CZ	AndrejBabis.1954	minister	2014-01-29T14:00:00	2017-05-24T17:00:00	government	government.VladaCR.1164	-	-	-
CZ	AnnaHubackova.1957	minister	2021-12-17T11:00:00	-	government	government.VladaCR.1628	-	-	-
CZ	AntoninStanek.1966	minister	2018-06-27T09:00:00	2019-07-31T00:00:00	government	government.VladaCR.1494	-	-	-
CZ	BohuslavSobotka.1971	minister	2017-03-01T00:00:00	2017-04-04T12:00:00	government	government.VladaCR.1164	-	-	-
CZ	BohuslavSobotka.1971	minister	2005-04-25T17:00:00	2006-08-16T16:00:00	government	government.VladaCR.740	-	-	-
CZ	BohuslavSobotka.1971	minister	2004-08-04T11:00:00	2005-04-25T09:00:00	government	government.VladaCR.731	-	-	-
CZ	BohuslavSobotka.1971	minister	2002-07-15T00:00:00	2004-08-04T11:00:00	government	government.VladaCR.603	-	-	-
CZ	DanTok.1959	minister	2018-06-27T09:00:00	2019-04-30T12:00:00	government	government.VladaCR.1494	-	-	-
CZ	DanTok.1959	minister	2017-12-13T14:00:00	2018-06-27T00:00:00	government	government.VladaCR.1338	-	-	-
CZ	DanTok.1959	minister	2014-12-04T11:00:00	2017-12-13T00:00:00	government	government.VladaCR.1164	-	-	-
CZ	DanielHerman.1963	minister	2014-01-29T14:00:00	2017-12-13T00:00:00	government	government.VladaCR.1164	-	-	-
CZ	HelenaLangsadlova.1963	minister	2021-12-17T11:00:00	-	government	government.VladaCR.1628	-	-	-
CZ	HelenaValkova.1951	minister	2014-01-29T14:00:00	2015-03-01T00:00:00	government	government.VladaCR.1164	-	-	-
CZ	IvanBartos.1980	minister	2021-12-17T11:00:00	-	government	government.VladaCR.1628	-	-	-
CZ	IvanPilny.1944	minister	2017-05-24T17:00:00	2017-12-13T00:00:00	government	government.VladaCR.1164	-	-	-
CZ	JanChvojka.1980	minister	2016-12-01T00:00:00	2017-12-13T00:00:00	government	government.VladaCR.1164	-	-	-
CZ	JanHamacek.1978	minister	2021-04-12T14:00:00	2021-04-21T14:00:00	government	government.VladaCR.1494	-	-	-
CZ	JanHamacek.1978	minister	2018-06-27T09:00:00	2018-10-16T12:00:00	government	government.VladaCR.1494	-	-	-
CZ	JanHamacek.1978	minister	2018-06-27T09:00:00	2021-12-17T11:00:00	government	government.VladaCR.1494	-	-	-
CZ	JanLipavsky.1985	minister	2021-12-17T11:00:00	-	government	government.VladaCR.1628	-	-	-
CZ	JanMladek.1960	minister	2014-01-29T14:00:00	2017-02-28T23:00:00	government	government.VladaCR.1164	-	-	-
