Country	PersonID	Role	From	To	Gov.	Ministry	Name-xx	Name-en	Comment
IT	BongiornoGiulia	minister	2018-06-01	2019-09-04	GOV.CONTE.1	-	-	-	-
IT	PatuanelliStefano	minister	2019-09-13	2021-02-12	GOV.CONTE.2	-	-	-	-
IT	DiMaioLuigi	minister	2019-09-05	2021-02-12	GOV.CONTE.2	-	-	-	-
IT	LamorgeseLuciana	minister	2019-09-05	2021-02-12	GOV.CONTE.2	-	-	-	-
IT	BonisoliAlberto	minister	2018-06-01	2019-09-04	GOV.CONTE.1	-	-	-	-
IT	DadoneFabiana	minister	2019-09-05	2021-02-12	GOV.CONTE.2	-	-	-	-
IT	CostaSergio	minister	2018-06-01	2019-09-04	GOV.CONTE.1	-	-	-	-
IT	CostaSergio	minister	2019-09-05	2021-02-12	GOV.CONTE.2	-	-	-	-
IT	BussettiMarco	minister	2018-06-01	2019-09-04	GOV.CONTE.1	-	-	-	-
IT	TrentaElisabetta	minister	2018-06-01	2019-09-04	GOV.CONTE.1	-	-	-	-
IT	TriaGiovanni	minister	2018-06-01	2019-09-04	GOV.CONTE.1	-	-	-	-
IT	DIncàFederico	minister	2020-09-03	2021-02-12	GOV.CONTE.2	-	-	-	-
IT	BellanovaTeresa	minister	2019-09-05	2021-01-14	GOV.CONTE.2	-	-	-	-
IT	MartinaMaurizio	minister	2014-02-22	2016-12-11	GOV.RENZI.1	-	-	-	-
IT	MartinaMaurizio	minister	2016-12-12	2018-03-14	GOV.GENTILONI.1	-	-	-	-
IT	AmendolaVincenzo	minister	2019-09-05	2021-02-12	GOV.CONTE.2	-	-	-	-
IT	CalendaCarlo	minister	2016-05-10	2016-12-11	GOV.RENZI.1	-	-	-	-
IT	CalendaCarlo	minister	2016-12-12	2018-05-31	GOV.GENTILONI.1	-	-	-	-
IT	MauroMario	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	-	-	-
IT	SperanzaRoberto	minister	2019-09-05	2021-02-12	GOV.CONTE.2	-	-	-	-
IT	LottiLuca	minister	2016-12-12	2018-05-31	GOV.GENTILONI.1	-	-	-	-
IT	LezziBarbara	minister	2018-06-01	2019-03-22	GOV.CONTE.1	-	-	-	-
IT	GallettiGianLuca	minister	2016-12-12	2018-05-31	GOV.GENTILONI.1	-	-	-	-
IT	IdemJosefa	minister	2013-04-28	2013-06-27	GOV.LETTA.1	-	-	-	-
IT	ToninelliDanilo	minister	2018-06-01	2019-09-04	GOV.CONTE.1	-	-	-	-
IT	KyengeCecile	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	-	-	-
IT	GianniniStefania	minister	2014-02-22	2016-12-11	GOV.RENZI.1	-	-	-	-
IT	FinocchiaroAnna	minister	2016-12-12	2018-05-31	GOV.GENTILONI.1	-	-	-	-
IT	GualtieriRoberto	minister	2019-09-05	2021-02-12	GOV.CONTE.2	-	-	-	-
IT	SaccomanniFabrizio	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	-	-	-
IT	TrigiliaCarlo	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	-	-	-
IT	BonettiElena	minister	2019-09-05	2021-01-14	GOV.CONTE.2	-	-	-	-
IT	GiovanniniEnrico	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	-	-	-
IT	ZanonatoFlavio	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	-	-	-
IT	PisanoPaola	minister	2019-09-05	2021-02-12	GOV.CONTE.2	-	-	-	-
IT	FranceschiniDario	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	-	-	-
IT	FranceschiniDario	minister	2014-02-22	2016-12-11	GOV.RENZI.1	-	-	-	-
IT	FranceschiniDario	minister	2016-12-12	2018-05-31	GOV.GENTILONI.1	-	-	-	-
IT	FranceschiniDario	minister	2019-09-05	2021-02-12	GOV.CONTE.2	-	-	-	-
IT	SpadaforaVincenzo	minister	2019-09-05	2021-02-12	GOV.CONTE.2	-	-	-	-
IT	SavonaPaolo	minister	2018-06-01	2019-03-08	GOV.CONTE.1	-	-	-	-
IT	CentinaioGianMarco	minister	2018-06-01	2019-09-04	GOV.CONTE.1	-	-	-	-
IT	CatalfoNunzia	minister	2019-09-05	2021-02-12	GOV.CONTE.2	-	-	-	-
IT	StefaniErika	minister	2018-06-01	2019-09-04	GOV.CONTE.1	-	-	-	-
IT	BoninoEmma	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	-	-	-
IT	BonafedeAlfonso	minister	2018-06-01	2019-09-04	GOV.CONTE.1	-	-	-	-
IT	BonafedeAlfonso	minister	2019-09-05	2021-02-12	GOV.CONTE.2	-	-	-	-
IT	BoschiMariaElena	minister	2014-02-22	2016-12-11	GOV.RENZI.1	-	-	-	-
IT	MadiaMariaAnna	minister	2014-02-22	2016-12-11	GOV.RENZI.1	-	-	-	-
IT	MadiaMariaAnna	minister	2016-12-12	2018-05-31	GOV.GENTILONI.1	-	-	-	-
IT	LorenzinBeatrice	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	-	-	-
IT	LorenzinBeatrice	minister	2014-02-22	2016-12-11	GOV.RENZI.1	-	-	-	-
IT	LorenzinBeatrice	minister	2016-12-12	2018-05-31	GOV.GENTILONI.1	-	-	-	-
IT	ManfrediGaetano	minister	2020-01-10	2021-02-12	GOV.CONTE.2	-	-	-	-
IT	OrlandoAndrea	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	-	-	-
IT	OrlandoAndrea	minister	2014-02-22	2016-12-11	GOV.RENZI.1	-	-	-	-
IT	OrlandoAndrea	minister	2016-12-12	2018-05-31	GOV.GENTILONI.1	-	-	-	-
IT	MogheriniFederica	minister	2014-02-22	2014-10-31	GOV.RENZI.1	-	-	-	-
IT	BocciaFrancesco	minister	2019-09-05	2021-02-12	GOV.CONTE.2	-	-	-	-
IT	DeGirolamoNunzia	minister	2013-04-28	2014-01-30	GOV.LETTA.1	-	-	-	-
IT	DeMicheliPaola	minister	2019-09-05	2021-02-12	GOV.CONTE.2	-	-	-	-
IT	CostaEnrico	minister	2016-02-10	2016-12-11	GOV.RENZI.1	-	-	-	-
IT	CostaEnrico	minister	2016-12-12	2017-07-20	GOV.GENTILONI.1	-	-	-	-
IT	DAliaGianpiero	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	-	-	-
IT	DeVincentiClaudio	minister	2016-12-12	2018-05-31	GOV.GENTILONI.1	-	-	-	-
IT	PatroniGriffiFilippo	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	-	-	-
IT	LupiMaurizio	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	-	-	-
IT	LupiMaurizio	minister	2014-02-22	2015-03-20	GOV.LETTA.1	-	-	-	-
