Country	PersonID	Role	From	To	Gov.	Ministry	Name-xx	Name-en	Comment
SI	ŽidanDejan	minister	2014-09-18	2018-09-13	GOV.12	-	-	-	
SI	KatičAndreja	minister	2015-05-13	2018-09-13	GOV.12	-	-	-	
SI	VeberJanko	minister	2014-09-18	2015-04-09	GOV.12	-	-	-	
SI	CerarMiro	minister	2015-03-13	2015-03-27	GOV.12	-	-	-	od 13. 3. 2015 začasno opravlja funkcijo ministra za izobraževanje, znanost in šport do 27. 3. 2015.
SI	CerarMiro	minister	2015-04-09	2015-05-13	GOV.12	-	-	-	od 9. 4. 2015 začasno opravlja funkcijo ministra za izobraževanje, znanost in šport do 13. 5. 2015
SI	MajcenIrena	minister	2014-09-18	2018-09-13	GOV.12	-	-	-	
SI	GašperšičPeter	minister	2014-09-18	2018-09-13	GOV.12	-	-	-	
SI	KopačMrakAnja	minister	2013-03-20	2018-09-13	GOV.12	-	-	-	
SI	KolarCelarcMarijaMilojka	minister	2014-09-18	2018-09-13	GOV.12	-	-	-	
SI	VraničarErmanMateja	minister	2016-09-21	2018-09-13	GOV.12	-	-	-	
SI	PočivalšekZdravko	minister	2014-12-04	2022-06-01	GOV.12	-	-	-	
SI	KlemenčičGoran	minister	2014-09-18	2018-09-13	GOV.12	-	-	-	
SI	MramorDušan	minister	2014-09-18	2016-07-14	GOV.12	-	-	-	
SI	KoprivnikarBoris	minister	2014-09-18	2018-09-13	GOV.12	-	-	-	
SI	MakovecBrenčičMaja	minister	2015-05-13	2018-09-13	GOV.12	-	-	-	
SI	GyörkösŽnidarVesna	minister	2014-09-18	2018-09-13	GOV.12	-	-	-	
SI	ErjavecKarlViktor	minister	2012-02-10	2018-09-13	GOV.12	-	-	-	
SI	PeršakAnton	minister	2016-05-20	2018-09-13	GOV.12	-	-	-	
SI	SmerkoljAlenka	minister	2014-11-19	2018-09-13	GOV.12	-	-	-	
SI	SetnikarCankarStanka	minister	2014-09-18	2015-03-13	GOV.12	-	-	-	
SI	MarkežKlavdija	minister	2015-03-27	2015-04-09	GOV.12	-	-	-	
SI	ŽmavcGorazd	minister	2014-09-18	2018-09-13	GOV.12	-	-	-	
SI	BulcVioleta	minister	2014-09-18	2014-10-29	GOV.12	-	-	-	
SI	PetrovičJožef	minister	2014-09-18	2014-10-28	GOV.12	-	-	-	
SI	KatičAndreja	minister	2018-09-13	2020-03-13	GOV.13	-	-	-	
SI	BratušekAlenka	minister	2018-09-13	2020-03-13	GOV.13	-	-	-	
SI	CerarMiro	minister	2018-09-13	2020-03-13	GOV.13	-	-	-	
SI	ZajcSimon	minister	2019-03-27	2020-03-13	GOV.13	-	-	-	
SI	PočivalšekZdravko	minister	2018-09-13	2020-03-13	GOV.13	-	-	-	
SI	BandelliMarko	minister	2018-09-13	2018-12-19	GOV.13	-	-	-	
SI	KlampferKsenija	minister	2018-09-13	2020-03-13	GOV.13	-	-	-	
SI	ErjavecKarlViktor	minister	2018-09-13	2020-03-13	GOV.13	-	-	-	
