Country	orgType	orgID	Abb-xx	Abb-en	Full-en	From	To	Orientation	Comment
BE	parliamentaryGroup	BANAAN	BANAAN	-	-	1995-01-01	-		
BE	parliamentaryGroup	CVP	CVP	-	-	-	-		
BE	parliamentaryGroup	CSP	CSP	-	-	1971-01-01	-		
BE	parliamentaryGroup	CPB	CPB	-	-	2018-01-01	-		
BE	parliamentaryGroup	D95	D95	-	-	1995-01-01	-		
BE	parliamentaryGroup	DN	DN	-	-	2012-01-01	-		
BE	parliamentaryGroup	D-SA	D-SA	-	-	2018-01-01	-		
BE	parliamentaryGroup	EFP	EFP	-	-	2011-01-01	-		
BE	parliamentaryGroup	HOERA	HOERA	-	-	1995-01-01	-		
BE	parliamentaryGroup	LSP-PSL	LSP-PSL	-	-	2001-01-01	-		
BE	parliamentaryGroup	PFF	PFF	-	-	-	-		
BE	parliamentaryGroup	PC	PC	-	-	1989-01-01	-		
BE	parliamentaryGroup	PRL	PRL	-	-	1979-01-01	-		
BE	parliamentaryGroup	PSC	PSC	-	-	-	-		
BE	parliamentaryGroup	PVV	PVV	-	-	-	-		
BE	parliamentaryGroup	PPBE	PPBE	-	-	2009-01-01	-		
BE	parliamentaryGroup	ProDG	ProDG	-	-	1971-01-01	-		
BE	parliamentaryGroup	ROSSEM	ROSSEM	-	-	1993-01-01	-		
BE	parliamentaryGroup	R.W.F.	R.W.F.	-	-	1999-01-01	-		
BE	parliamentaryGroup	SoLiDe	SoLiDe	-	-	1996-01-01	-		
BE	parliamentaryGroup	Spirit	Spirit	-	-	2001-01-01	-		
BE	parliamentaryGroup	SLP	SLP	-	-	2009-01-01	-		
BE	parliamentaryGroup	SP	SP	-	-	1978-01-01	-		
BE	parliamentaryGroup	SAP-GA	SAP-GA	-	-	2017-01-01	-		
BE	parliamentaryGroup	VSL	VSL	-	-	-	-		
BE	parliamentaryGroup	Vl.Pro	Vl.Pro	-	-	2008-01-01	-		
BE	parliamentaryGroup	Volt	Volt	-	-	2017-01-01	-		
BE	parliamentaryGroup	WOW	WOW	-	-	1993-01-01	-		
BE	parliamentaryGroup	Be.One	Be.One	-	-	2018-01-01	-		
BE	parliamentaryGroup	DeMilitant	De Militant	-	-	1992-01-01	-		
BE	parliamentaryGroup	DierAnimal	DierAnimal	-	-	2017-01-01	-		
BE	parliamentaryGroup	Groen_exclamation	Groen!	-	-	2003-01-01	-		
BE	parliamentaryGroup	ISLAM	ISLAM	-	-	2012-01-01	-		
BE	parliamentaryGroup	MilitantLinks	Militant Links	-	-	1995-01-01	-		
BE	parliamentaryGroup	ProBruxsel	Pro Bruxsel	-	-	2008-01-01	-		
BE	parliamentaryGroup	Vivant	Vivant	-	-	1997-01-01	-		
BE	parliamentaryGroup	Volksunie	Volksunie	-	-	1954-01-01	-		
BE	parliamentaryGroup	SP_duitstalig	SP_duitstalig	-	-	-	-		
BE	parliamentaryGroup	CD_en_V	CD&V	-	-	2001-01-01	-		
BE	parliamentaryGroup	FDF	FDF	-	-	1964-01-01	-		
BE	parliamentaryGroup	FN	FN	-	-	-	-		
BE	parliamentaryGroup	MR	MR	-	-	2002-01-01	-		
BE	parliamentaryGroup	N-VA	N-VA	-	-	2001-01-01	-		
BE	parliamentaryGroup	PTB	PTB	-	-	1979-01-01	-		
BE	parliamentaryGroup	PS	PS	-	-	1978-01-01	-		
BE	parliamentaryGroup	PVDA-PTB	PVDA-PTB	-	-	1979-01-01	-		
BE	parliamentaryGroup	sp.a	sp.a	-	-	2001-01-01	-		
BE	parliamentaryGroup	VB	VB	-	-	2004-01-01	-		
BE	parliamentaryGroup	DéFi	DéFi	-	-	2015-01-01	-		
BE	parliamentaryGroup	LDD	LDD	-	-	-	-		
BE	parliamentaryGroup	spirit	spirit	-	-	-	-		
BE	parliamentaryGroup	onafhankelijk	onafhankelijk	-	-	-	-		
BE	parliamentaryGroup	VlaamsBlok	Vlaams Blok	-	-	2000-01-01	-		
BE	parliamentaryGroup	Ecolo	Ecolo	-	-	-	-		
BE	parliamentaryGroup	Groen	Groen	-	-	2003-01-01	-		
BE	parliamentaryGroup	Agora	Agora	-	-	2019-01-01	-		
BE	parliamentaryGroup	Agalev	Agalev	-	-	1979-01-01	-		
BE	parliamentaryGroup	B.U.B.	B.U.B.	-	-	2002-01-01	-		
BE	parliamentaryGroup	cdH	cdH	-	-	2002-01-01	-		
BE	parliamentaryGroup	PP	PP	-	-	2009-01-01	-		
BE	parliamentaryGroup	OpenVld	Open Vld	-	-	2007-01-01	-		
BE	parliamentaryGroup	VLD	VLD	-	-	1992-01-01	-		
BE	parliamentaryGroup	Vuye_Wouters	Vuye_Wouters	-	-	-	-		
