Country	orgID	orgType	Name-en	Name-xx	From	To	Orientation	Comment
CZ	politicalGroup.ANO.1108	parliamentaryGroup	Poslanecký klub ANO 2011	Political group ANO 2011	2013-10-30	2017-10-26		
CZ	politicalGroup.ANO.1292	parliamentaryGroup	Poslanecký klub ANO 2011	Political group ANO 2011	2017-10-24	2021-10-21		
CZ	politicalGroup.ANO.1537	parliamentaryGroup	Poslanecký klub ANO 2011	Political group ANO 2011	2021-10-12	-		
CZ	politicalGroup.CSSD.1107	parliamentaryGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	2013-10-29	2017-10-26		
CZ	politicalGroup.CSSD.1294	parliamentaryGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	2017-10-27	2021-10-21		
CZ	politicalGroup.CSSD.40	parliamentaryGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	1996-06-12	1998-06-19		
CZ	politicalGroup.CSSD.48	parliamentaryGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	1998-06-24	2002-06-20		
CZ	politicalGroup.CSSD.599	parliamentaryGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	2002-06-21	2006-06-15		
CZ	politicalGroup.CSSD.750	parliamentaryGroup	Poslanecký klub České strany sociálně demokratické	Political Group of the Czech Social Democratic Party	2006-06-05	2010-06-03		
CZ	politicalGroup.CSSD.863	parliamentaryGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	2010-06-04	2013-08-28		
CZ	politicalGroup.KDS.6	parliamentaryGroup	Poslanecký klub Křesťansko demokratické strany	Christian Democratic Party	1992-06-06	1996-03-31		
CZ	politicalGroup.KDU-CSL.1110	parliamentaryGroup	Poslanecký klub Křesťanské a demokratické unie-Československé strany lidové	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	2013-10-31	2017-10-26		
CZ	politicalGroup.KDU-CSL.1297	parliamentaryGroup	Poslanecký klub KDU-ČSL	Political group Christian and Democratic Union - Czechoslovak People's Party	2017-10-24	2021-10-21		
CZ	politicalGroup.KDU-CSL.1539	parliamentaryGroup	Poslanecký klub KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	2021-10-12	-		
CZ	politicalGroup.KDU-CSL.49	parliamentaryGroup	Poslanecký klub Křesťanské a demokratické unie - Československé strany lidové	Political group Christian Democratic Union - Czechoslovak People's Party	1998-06-25	2002-06-20		
CZ	politicalGroup.KDU-CSL.597	parliamentaryGroup	Poslanecký klub Křesťanské a demokratické unie-Československé strany lidové	Political group Christian Democratic Union - Czechoslovak People's Party	2002-06-19	2006-06-15		
CZ	politicalGroup.KDU-CSL.751	parliamentaryGroup	Poslanecký klub Křesťanské a demokratické unie-Československé strany lidové	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	2006-06-16	2010-06-03		
CZ	politicalGroup.KSCM.1109	parliamentaryGroup	Poslanecký klub Komunistické strany Čech a Moravy	Political group Communist Party of Bohemia and Moravia	2013-10-27	2017-10-26		
CZ	politicalGroup.KSCM.1293	parliamentaryGroup	Poslanecký klub Komunistické strany Čech a Moravy	Political group Communist Party of Bohemia and Moravia	2017-10-24	2021-10-21		
CZ	politicalGroup.KSCM.42	parliamentaryGroup	Poslanecký klub Komunistické strany Čech a Moravy	Politcal group Communist Party of Bohemia and Moravia	1996-06-03	1998-06-19		
CZ	politicalGroup.KSCM.50	parliamentaryGroup	Poslanecký klub Komunistické strany Čech a Moravy	Political group Communist Party of Bohemia and Moravia	1998-06-23	2002-06-20		
CZ	politicalGroup.KSCM.505	parliamentaryGroup	Komunistická strana Čech a Moravy	-	1990-06-07	1992-06-04		
CZ	politicalGroup.KSCM.596	parliamentaryGroup	Poslanecký klub Komunistické strany Čech a Moravy	Political group Communist Party of Bohemia and Moravia	2002-06-19	2006-06-15		
CZ	politicalGroup.KSCM.752	parliamentaryGroup	Poslanecký klub Komunistické strany Čech a Moravy	Political Group of the Communist Party of Bohemia and Moravia	2006-06-08	2010-06-03		
CZ	politicalGroup.KSCM.866	parliamentaryGroup	Poslanecký klub Komunistické strany Čech a Moravy	Political group Communist Party of Bohemia and Moravia	2010-06-02	2013-08-28		
