Country	orgType	orgID	Abb-xx	Abb-en	Full-en	From	To	Orientation	Comment
ES	parliamentaryGroup	party.PSCPSCPSOE	PSC(PSC-PSOE)	-	-	-	-		
ES	parliamentaryGroup	party.PSOEdeAndalucía	PSOEdeAndalucía	-	-	-	-		
ES	parliamentaryGroup	party.PPEU	PP-EU	-	-	-	-		
ES	parliamentaryGroup	party.EUiA	EUiA	-	-	-	-		
ES	parliamentaryGroup	party.CCNCPNC	CC-NC-PNC	-	-	-	-		
ES	parliamentaryGroup	party.COMPROMÍSQ	Compromís-Q	-	-	-	-		
ES	parliamentaryGroup	party.ERCRIcat	ERC-RI.cat	-	-	-	-		
ES	parliamentaryGroup	party.EUPV	EUPV	-	-	-	-		
ES	parliamentaryGroup	party.GB	GB	-	-	-	-		
ES	parliamentaryGroup	party.ICV	ICV	-	-	-	-		
ES	parliamentaryGroup	party.UPN	UPN	-	-	-	-		
ES	parliamentaryGroup	party.AMAIUR	Amaiur	-	-	-	-		
ES	parliamentaryGroup	party.CiU	CiU	-	-	-	-		
ES	parliamentaryGroup	party.IZQPLU	IZQ-PLU	-	-	-	-		
ES	parliamentaryGroup	party.DL	DL	-	-	-	-		
ES	parliamentaryGroup	party.UPyD	UPyD	-	-	-	-		
ES	parliamentaryGroup	party.PSOENCa	PSOE-NCa	-	-	-	-		
ES	parliamentaryGroup	party.PSdGPSOE	PSdG-PSOE	-	-	-	-		
ES	parliamentaryGroup	party.PPPAR	PP-PAR	-	-	-	-		
ES	parliamentaryGroup	party.EMPAEU	EM-P-A-EU	-	-	-	-		
ES	parliamentaryGroup	party.CPEUPV	C-P-EUPV	-	-	-	-		
ES	parliamentaryGroup	party.CDC	CDC	-	-	-	-		
ES	parliamentaryGroup	party.UPNPP	UPN-PP	-	-	-	-		
ES	parliamentaryGroup	party.ERCCATSÍ	ERC-CATSÍ	-	-	-	-		
ES	parliamentaryGroup	party.UPM	UPM	-	-	-	-		
ES	parliamentaryGroup	party.CCaPNC	CCa-PNC	-	-	-	-		
ES	parliamentaryGroup	party.ECP	ECP	-	-	-	-		
ES	parliamentaryGroup	party.CCaPNCNC	CCa-PNC-NC	-	-	-	-		
ES	parliamentaryGroup	party.ECUP	EC-UP	-	-	-	-		
ES	parliamentaryGroup	party.CUPPR	CUP-PR	-	-	-	-		
ES	parliamentaryGroup	party.PSEEEPSOE	PSE-EE-PSOE	-	-	-	-		
ES	parliamentaryGroup	party.TeruelExiste	TE	-	-	-	-		
ES	parliamentaryGroup	party.BNG	BNG	-	-	-	-		
ES	parliamentaryGroup	party.Cs	Cs	-	-	-	-		
ES	parliamentaryGroup	party.EAJPNV	EAJ-PNV	-	-	-	-		
ES	parliamentaryGroup	party.ECPGUAYEMELCANVI	ECP-GeC	-	-	-	-		
ES	parliamentaryGroup	party.EHBildu	EH Bildu	-	-	-	-		
ES	parliamentaryGroup	party.ERCS	ERC-S	-	-	-	-		
ES	parliamentaryGroup	party.JxCatJUNTS	JxCat-Junts	-	-	-	-		
ES	parliamentaryGroup	party.MÁSPAÍSEQUO	Más País-Equo	-	-	-	-		
ES	parliamentaryGroup	party.MÉSCOMPROMÍS	Més Compromís	-	-	-	-		
ES	parliamentaryGroup	party.NCCCaPNC	NC-CCa-PNC	-	-	-	-		
ES	parliamentaryGroup	party.PP	PP	-	-	-	-		
ES	parliamentaryGroup	party.PPFORO	PP-Foro	-	-	-	-		
ES	parliamentaryGroup	party.PRC	PRC	-	-	-	-		
ES	parliamentaryGroup	party.PSCPSOE	PSC-PSOE	-	-	-	-		
ES	parliamentaryGroup	party.PSOE	PSOE	-	-	-	-		
ES	parliamentaryGroup	party.PsdeGPSOE	PsdeG-PSOE	-	-	-	-		
ES	parliamentaryGroup	party.UP	UP	-	-	-	-		
ES	parliamentaryGroup	party.Vox	Vox	-	-	-	-		
