Country	orgType	orgID	Abb-xx	Abb-en	Full-en	From	To	Orientation	Comment
GB	politicalParty	party.LI	LI	LI	Labour Independent	-	-		
GB	politicalParty	party.SDLP	SDLP	SDLP	Social Democratic & Labour Party	-	-		
GB	politicalParty	party.GP	GP	GP	Green Party	-	-		
GB	politicalParty	party.NA	NA	NA	Non-affiliated	-	-		
GB	politicalParty	party.CB	CB	CB	Crossbench	-	-		
GB	politicalParty	party.LJ95	LJ95	LJ95	Change UK - The Independent Group	-	-		
GB	politicalParty	party.LAB	LAB	LAB	Labour	-	-		
GB	politicalParty	party.SO0T	SO0T	SO0T	Other	-	-		
GB	politicalParty	party.A	A	A	Alliance	-	-		
GB	politicalParty	party.FZPG	FZPG	FZPG	Independent SDP	-	-		
GB	politicalParty	party.NPBE	NPBE	NPBE	Independent Unionist	-	-		
GB	politicalParty	party.PC	PC	PC	Plaid Cymru	-	-		
GB	politicalParty	party.LB	LB	LB	Liberal	-	-		
GB	politicalParty	party.L1QU	L1QU	L1QU	Liberal Democrat Independent	-	-		
GB	politicalParty	party.QMZZ	QMZZ	QMZZ	Independent Ulster Unionist	-	-		
GB	politicalParty	party.IGC	IGC	IGC	The Independent Group for Change	-	-		
GB	politicalParty	party.IL	IL	IL	Independent Labour	-	-		
GB	politicalParty	party.ZKPW	ZKPW	ZKPW	Independent Social Democrat	-	-		
GB	politicalParty	party.SNP	SNP	SNP	Scottish National Party	-	-		
GB	politicalParty	party.QHMP	QHMP	QHMP	Conservative Independent	-	-		
GB	politicalParty	party.64RT	64RT	64RT	Respect	-	-		
GB	politicalParty	party.UUP	UUP	UUP	Ulster Unionist Party	-	-		
GB	politicalParty	party.BI	BI	BI	Bishops	-	-		
GB	politicalParty	party.UUSL	UUSL	UUSL	Social Democratic Party	-	-		
GB	politicalParty	party.UKIP	UKIP	UKIP	UK Independence Party	-	-		
GB	politicalParty	party.CON	CON	CON	Conservative	-	-		
GB	politicalParty	party.DUP	DUP	DUP	Democratic Unionist Party	-	-		
GB	politicalParty	party.L8TA	L8TA	L8TA	Independent Liberal Democrat	-	-		
GB	politicalParty	party.I	I	I	Independent	-	-		
GB	politicalParty	party.0UBS	0UBS	0UBS	Independent Conservative	-	-		
GB	politicalParty	party.LD	LD	LD	Liberal Democrat	-	-		
