Country	orgType	orgID	Abb-xx	Abb-en	Full-en	From	To	Orientation	Comment
HR	parliamentaryGroup	party.BM_365_NZ	BM 365 i NZ	-	-	-	-		
HR	parliamentaryGroup	party.GLAS	GLAS	-	-	-	-		
HR	parliamentaryGroup	party.HDS_HSLS_HDSSB	HDS, HSLS, HDSSB	-	-	-	-		
HR	parliamentaryGroup	party.HDZ	HDZ	-	-	-	-		
HR	parliamentaryGroup	party.HNS	HNS	-	-	-	-		
HR	parliamentaryGroup	party.HS	HS	-	-	-	-		
HR	parliamentaryGroup	party.HSS_Demokrati	HSS i Demokrati	-	-	-	-		
HR	parliamentaryGroup	party.HSU_SNAGA_NZ_NP	HSU, SNAGA, NZ i NP	-	-	-	-		
HR	parliamentaryGroup	party.IDS_PGS_RI	IDS, PGS, RI	-	-	-	-		
HR	parliamentaryGroup	party.Most	Most	-	-	-	-		
HR	parliamentaryGroup	party.NLM	NLM	-	-	-	-		
HR	parliamentaryGroup	party.Nezavisni	Nezavisni	-	-	-	-		
HR	parliamentaryGroup	party.SDP	SDP	-	-	-	-		
HR	parliamentaryGroup	party.SDSS	SDSS	-	-	-	-		
HR	parliamentaryGroup	party.Živi_zid_PH	Živi zid i PH	-	-	-	-		
HR	parliamentaryGroup	party.Živi_zid_SNAGA	Živi zid, SNAGA	-	-	-	-		
