Country	orgID	orgType	Name-en	Name-xx	From	To	Orientation	Comment
IT	group.LN-Aut	parliamentaryGroup	Lega Nord e Autonomie	-	2013-03-15	2018-03-22		
IT	group.GAL.GS.PpI.M.Id.E-E.MPL.RI	parliamentaryGroup	Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Moderati, Idea, Euro-Exit, M.P.L. - Movimento politico Libertas, Riscossa Italia)	-	2017-02-01	2017-05-15		
IT	group.Art.1-MDP-LeU	parliamentaryGroup	Articolo 1 - Movimento Democratico e Progressista - Liberi e Uguali	-	2017-12-13	2018-03-22		
IT	group.PD	parliamentaryGroup	Partito Democratico	-	2008-04-29	-		
IT	group.FIBP-UDC	parliamentaryGroup	Forza Italia Berlusconi Presidente-UDC	-	2019-12-11	-		
IT	group.NcI	parliamentaryGroup	Noi con l'Italia	-	2017-12-22	2018-03-22		
IT	group.ALA-PRI	parliamentaryGroup	ALA (Alleanza Liberal Popolare) - PRI (Partito Repubblicano Italiano)	-	2018-01-05	2018-03-22		
IT	group.CoR	parliamentaryGroup	Conservatori e Riformisti	-	2015-09-08	2017-04-01		
IT	group.GAL.GS.PpI.FV.M	parliamentaryGroup	Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Federazione dei Verdi, Moderati)	-	2015-08-05	2015-11-03		
IT	group.SCpI	parliamentaryGroup	Scelta Civica per l'Italia	-	2013-03-15	2013-11-26		
IT	group.GAL-UDC	parliamentaryGroup	Grandi Autonomie e Libertà - Unione dei Democratici Cristiani e Democratici di Centro	-	2017-12-21	2018-03-22		
IT	group.M5S.1	parliamentaryGroup	Movimento 5 Stelle	-	2013-03-15	2018-03-22		
IT	group.GAL.GS.PpI.M.Id.E-E.MPL	parliamentaryGroup	Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Moderati, Idea, Euro-Exit, M.P.L.-Movimento politico Libertas)	-	2016-02-16	2016-05-09		
IT	group.FdI	parliamentaryGroup	Fratelli d'Italia	-	2018-03-23	-		
IT	group.FL.Id-PL.PLI	parliamentaryGroup	Federazione della Libertà (Idea-Popolo e Libertà, PLI)	-	2017-05-25	2018-03-22		
IT	group.AL-A.MpA	parliamentaryGroup	Alleanza Liberalpopolare-Autonomie (Movimento per le Autonomie)	-	2016-04-11	2016-06-20		
IT	group.AP.NCD-UDC	parliamentaryGroup	Area Popolare (NCD-UDC)	-	2014-12-11	2016-12-06		
IT	group.GAL.GS.PpI.FV.M.MBI.Id	parliamentaryGroup	Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Federazione dei Verdi, Moderati, Movimento Base Italia, Idea)	-	2015-12-21	2016-01-13		
IT	group.CRi	parliamentaryGroup	Conservatori, Riformisti italiani	-	2015-05-30	2015-09-07		
IT	group.GAL.GS.LA-nS.MpA.NPSI.PpI.IdV.VGF	parliamentaryGroup	Grandi Autonomie e Libertà (Grande Sud, Libertà e Autonomia-noi SUD, Movimento per le Autonomie, Nuovo PSI, Popolari per l'Italia, Italia dei Valori, Vittime della Giustizia e del Fisco)	-	2015-04-21	2015-06-16		
IT	group.AP-CpE-NCD	parliamentaryGroup	Alternativa Popolare - Centristi per l'Europa - NCD	-	2017-05-09	2018-03-22		
