Country	orgID	orgType	Name-en	Name-xx	From	To	Orientation	Comment
LV	group.AP	parliamentaryGroup	Attīstībai/Par!	-	-	-		
LV	group.NA	parliamentaryGroup	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	-	-	-		
LV	group.JV	parliamentaryGroup	JAUNĀ VIENOTĪBA	-	-	-		
LV	group.JK	parliamentaryGroup	Jaunā konservatīvā	-	-	-		
LV	group.SASKAŅA	parliamentaryGroup	SASKAŅA	-	-	-		
LV	group.KPV-LV	parliamentaryGroup	Kam pieder valsts?	-	-	-		
LV	group.ZZS	parliamentaryGroup	Zaļo un Zemnieku savienība	-	-	-		
LV	group.SAKAŅA	parliamentaryGroup	SAKAŅA	-	-	-		
LV	group.VIENOTĪBA	parliamentaryGroup	VIENOTĪBA	-	-	-		
LV	group.LRA	parliamentaryGroup	Latvijas Reģionu apvienība	-	-	-		
LV	group.NSL	parliamentaryGroup	No sirds Latvijai	-	-	-		
