Country	orgType	orgID	Abb-xx	Abb-en	Full-en	From	To	Orientation	Comment
NL	politicalParty	party.SP	SP	-	-	-	-		
NL	politicalParty	party.PvdA	PvdA	-	-	-	-		
NL	politicalParty	party.CDA	CDA	-	-	-	-		
NL	politicalParty	party.VVD	VVD	-	-	-	-		
NL	politicalParty	party.PvdD	PvdD	-	-	-	-		
NL	politicalParty	party.PVV	PVV	-	-	-	-		
NL	politicalParty	party.GroenLinks	GL	-	-	-	-		
NL	politicalParty	party.SGP	SGP	-	-	-	-		
NL	politicalParty	party.D66	D66	-	-	-	-		
NL	politicalParty	party.ChristenUnie	CU	-	-	-	-		
NL	politicalParty	party.50PLUS	50PLUS	-	-	-	-		
NL	politicalParty	party.OSF	OSF	-	-	-	-		
NL	politicalParty	party.GroepKuzu-Öztürk	GKÖ	-	-	-	-		
NL	politicalParty	party.VanVliet	Van Vliet	-	-	-	-		
NL	politicalParty	party.GroepBontes-VanKlaveren	Bontes/Van Klaveren	-	-	-	-		
NL	politicalParty	party.Houwers	Houwers	-	-	-	-		
NL	politicalParty	party.DeLange	De Lange	-	-	-	-		
NL	politicalParty	party.Monasch	Monasch	-	-	-	-		
NL	politicalParty	party.Klein	Klein	-	-	-	-		
NL	politicalParty	party.Bontes	Bontes	-	-	-	-		
NL	politicalParty	party.DENK	DENK	-	-	-	-		
NL	politicalParty	party.VanHaga	Van Haga	-	-	-	-		
NL	politicalParty	party.FvD	FvD	-	-	-	-		
NL	politicalParty	party.vanPareren	vanPareren	-	-	-	-		
NL	politicalParty	party.vKA	vKA	-	-	-	-		
NL	politicalParty	party.GKVK	GKVK	-	-	-	-		
NL	politicalParty	party.VanKooten-Arissen	Van Kooten-Arissen	-	-	-	-		
NL	politicalParty	party.Krol	Krol	-	-	-	-		
NL	politicalParty	party.NieuweWegen	Nieuwe Wegen	-	-	-	-		
