Country	orgType	orgID	Abb-xx	Abb-en	Full-en	From	To	Orientation	Comment
PL	politicalParty	party.PiS	PiS	-	-	-	-		
PL	politicalParty	party.KO	KO	-	-	-	-		
PL	politicalParty	party.Lewica	Lewica	-	-	-	-		
PL	politicalParty	party.KP-PSL	KP-PSL	-	-	-	-		
PL	politicalParty	party.Konfederacja	Konfederacja	-	-	-	-		
PL	politicalParty	party.Kukiz15	Kukiz'15	-	-	-	-		
PL	politicalParty	party.Niezrzeszeni	Niezrzeszeni	-	-	-	-		
PL	politicalParty	party.PrzywrócićPrawo	Przywrócić Prawo	-	-	-	-		
PL	politicalParty	party.Teraz	Teraz!	-	-	-	-		
PL	politicalParty	party.UPR	UPR	-	-	-	-		
