Country	orgType	orgID	Abb-xx	Abb-en	Full-en	From	To	Orientation	Comment
SI	parliamentaryGroup	party.PS	PS	-	Positive Slovenia	2011-10-22	-		
SI	parliamentaryGroup	party.DL	DL	-	Civic List	2012-04-24	-		
SI	parliamentaryGroup	party.DeSUS	DeSUS	-	Democratic Party of Pensioners of Slovenia	1991-05-30	-		
SI	parliamentaryGroup	party.Levica.1	Levica	-	United Left	2014-03-01	2017-06-24		
SI	parliamentaryGroup	party.Levica.2	Levica	-	The Left	2017-06-24	-		
SI	parliamentaryGroup	party.LMŠ	LMŠ	-	The List of Marjan Šarec	2014-05-31	-		
SI	parliamentaryGroup	party.NP	NP	-	Parliamentary group of unrelated members of parliament	-	-		
SI	parliamentaryGroup	party.NSi	NSi	-	New Slovenia – Christian Democrats	2000-08-04	-		
SI	parliamentaryGroup	party.SD	SD	-	Social Democrats	2005-04-02	-		
SI	parliamentaryGroup	party.SDS.2	SDS	-	Slovenian Democratic Party	2003-09-19	-		
SI	parliamentaryGroup	party.SMC.1	SMC	-	Party of Miro Cerar	2014-06-02	2015-03-07		
SI	parliamentaryGroup	party.SMC.2	SMC	-	Modern Centre Party	2015-03-07	-		
SI	parliamentaryGroup	party.SNS	SNS	-	Slovenian National Party	1991-03-17	-		
SI	parliamentaryGroup	party.ZaAB	ZaAB	-	Alliance of Alenka Bratušek	2014-05-31	2016-05-21		
SI	parliamentaryGroup	party.ZaSLD	-	-	Alliance of Social Liberal Democrats	2016-05-21	2017-10-07		
SI	parliamentaryGroup	party.SAB	SAB	-	Party of Alenka Bratušek	2017-10-07	-		
