COUNTRY	PM_ID	CHES_ID	YEAR	LRGEN	LR	URL	COMMENT
BG	АБВ	ABV	2014	3.47			
BG	Атака	ATAKA	2014	5.36			
BG	Атака	Ataka	2019	6.81			
BG	0	BBT	2014	6.08			
BG	0	BMRO	2019	6.9			
BG	0	BNS	2006	5.8			
BG	0	BNS	2010	6.14			
BG	БСП	BSP	2014	3.69			
BG	БСП	BSP	2019	3.25			
BG	0	DB	2019	6.05			
BG	0	DBG	2014	6.13			
BG	ДПС	DPS	2002	4.91			
BG	ДПС	DPS	2006	4.58			
BG	ДПС	DPS	2010	4.27			
BG	ДПС	DPS	2014	4.69			
BG	ДПС	DPS	2019	4.71			
BG	0	DSB	2006	7.85			
BG	0	DSB	2010	8.08			
BG	0	DSB	2014	7.56			
BG	0	DSB	2019	7.45			
BG	0	G-VMRO	2002	6.25			
BG	ГЕРБ	GERB	2010	6.08			
BG	ГЕРБ	GERB	2014	6.5			
BG	ГЕРБ	GERB	2019	6.1			
BG	0	KSII	2002	6.86			
BG	0	KzB	2002	2.27			
BG	0	KzB	2006	3.31			
BG	0	KzB	2010	3.0			
BG	0	L	2010	6.0			
BG	0	NDSV	2002	5.64			
BG	0	NDSV	2006	6.08			
BG	0	NDSV	2010	5.82			
BG	НФСБ	NFSB	2014	6.86			
BG	НФСБ	NFSB	2019	7.35			
BG	0	NOA	2006	5.46			
BG	0	NOA	2010	6.27			
BG	0	ODS	2002	7.18			
BG	0	ODS	2006	7.08			
BG	0	ODS	2010	7.0			
BG	0	RZS	2010	6.5			
BG	0	SDS	2014	7.13			
BG	0	Slavi Trifonov	2019	5.67			
BG	ВМРО–БНД	VMRO-BND	2014	6.08			
BG	0	Volya	2019	5.56			
BG	ВОЛЯ	0	0	0			
BG	ЗС „Александър Стамболийски“	0	0	0			
BG	КПБ	0	0	0			
BG	НЗ	0	0	0			
BG	ПБГ	0	0	0			
BG	ПФ	0	0	0			
BG	РБ	0	0	0			
