COUNTRY	PM_ID	CHES_ID	YEAR	LRGEN	LR	URL	COMMENT
CZ	ANO2011	ANO2011	2014	5.79			
CZ	ANO2011	ANO2011	2019	4.69			
CZ	CSSD	CSSD	2002	3.33			
CZ	ČSSD	CSSD	2002	3.33			
CZ	CSSD	CSSD	2006	3.43			
CZ	ČSSD	CSSD	2006	3.43			
CZ	CSSD	CSSD	2010	2.89			
CZ	ČSSD	CSSD	2010	2.89			
CZ	CSSD	CSSD	2014	3.14			
CZ	ČSSD	CSSD	2014	3.14			
CZ	CSSD	CSSD	2019	2.74			
CZ	ČSSD	CSSD	2019	2.74			
CZ	KDU-ČSL	KDU-CSL	2002	4.86			
CZ	KDU-ČSL	KDU-CSL	2006	5.71			
CZ	KDU-ČSL	KDU-CSL	2010	5.26			
CZ	KDU-ČSL	KDU-CSL	2014	5.93			
CZ	KDU-ČSL	KDU-CSL	2019	5.89			
CZ	KSCM	KSCM	2002	0.91			
CZ	KSČM	KSCM	2002	0.91			
CZ	KSCM	KSCM	2006	0.86			
CZ	KSČM	KSCM	2006	0.86			
CZ	KSCM	KSCM	2010	1.11			
CZ	KSČM	KSCM	2010	1.11			
CZ	KSCM	KSCM	2014	1.07			
CZ	KSČM	KSCM	2014	1.07			
CZ	KSCM	KSCM	2019	1.15			
CZ	KSČM	KSCM	2019	1.15			
CZ	0	Nezavisl	2006	5.5			
CZ	ODS	ODS	2002	7.08			
CZ	ODS	ODS	2006	7.71			
CZ	ODS	ODS	2010	7.74			
CZ	ODS	ODS	2014	8.0			
CZ	ODS	ODS	2019	7.78			
CZ	0	Pirates	2019	4.28			
CZ	0	SNK-ED	2006	6.67			
CZ	SPD	SPD	2019	8.85			
CZ	STAN	STAN	2019	6.27			
CZ	0	SVOBODNI	2014	8.71			
CZ	0	SZ	2006	4.86			
CZ	0	SZ	2010	5.33			
CZ	0	SZ	2014	3.86			
CZ	TOP09	TOP09	2010	7.89			
CZ	TOP09-S	TOP09	2010	7.89			
CZ	TOP09	TOP09	2014	7.21			
CZ	TOP09-S	TOP09	2014	7.21			
CZ	TOP09	TOP09	2019	7.41			
CZ	TOP09-S	TOP09	2019	7.41			
CZ	0	US-DEU	2002	6.78			
CZ	Usvit	USVIT	2014	7.69			
CZ	Úsvit	USVIT	2014	7.69			
CZ	VV	VV	2010	5.89			
CZ	ANO	0	0	0			
CZ	K	0	0	0			
CZ	KDS	0	0	0			
CZ	KSČS	0	0	0			
CZ	LB	0	0	0			
CZ	Nezařaz	0	0	0			
CZ	OF	0	0	0			
CZ	OH	0	0	0			
CZ	PirSTAN	0	0	0			
CZ	Piráti	0	0	0			
CZ	SPOLU	0	0	0			
