COUNTRY	PM_ID	CHES_ID	YEAR	LRGEN	LR	URL	COMMENT
GB	0	BNP	2010	9.93	FR	https://en.wikipedia.org/wiki/British_National_Party	
GB	0	BREXIT	2019	8.20	R	https://en.wikipedia.org/wiki/Reform_UK	
GB	CON	CONS	1999	6.92	CR	https://en.wikipedia.org/wiki/Conservative_Party_(UK)	
GB	CON	CONS	2002	7.72	CR		
GB	CON	CONS	2006	6.56	CR		
GB	CON	CONS	2010	7.13	CR		
GB	CON	CONS	2014	7.00	CR		
GB	CON	CONS	2019	7.12	CR		
GB	GP	GREEN	1999	2.25	L	https://en.wikipedia.org/wiki/Green_Party_(UK)	
GB	GP	GREEN	2006	2.89	L		
GB	GP	GREEN	2010	2.53	L		
GB	GP	GREEN	2014	1.86	L		
GB	GP	GREEN	2019	2.00	L		
GB	LAB	LAB	1999	4.73	CL	https://en.wikipedia.org/wiki/Labour_Party_(UK)	
GB	LAB	LAB	2002	5.18			
GB	LAB	LAB	2006	4.88			
GB	LAB	LAB	2010	4.00			
GB	LAB	LAB	2014	3.57			
GB	LAB	LAB	2019	1.94			
GB	LD	LIBDEM	2019	4.24	CCL	https://en.wikipedia.org/wiki/Liberal_Democrats_(UK)	
GB	LD	LibDem	1999	4.00			
GB	LD	LibDem	2002	3.82			
GB	LD	LibDem	2006	4.33			
GB	LD	LibDem	2010	5.00			
GB	LD	LibDem	2014	4.86			
GB	PC	PLAID	1999	3.25	CLL	https://en.wikipedia.org/wiki/Plaid_Cymru	
GB	PC	PLAID	2002	3.20			
GB	PC	PLAID	2006	3.10			
GB	PC	PLAID	2010	3.00			
GB	PC	PLAID	2014	3.25			
GB	PC	PLAID	2019	3.09			
GB	SNP	SNP	1999	3.42	CL	https://en.wikipedia.org/wiki/Scottish_National_Party	
GB	SNP	SNP	2002	3.00			
GB	SNP	SNP	2006	3.89			
GB	SNP	SNP	2010	3.33			
GB	SNP	SNP	2014	3.00			
GB	SNP	SNP	2019	3.50			
GB	UKIP	UKIP	1999	7.25	RRF	https://en.wikipedia.org/wiki/UK_Independence_Party	
GB	UKIP	UKIP	2006	8.44			
GB	UKIP	UKIP	2010	8.79			
GB	UKIP	UKIP	2014	9.14			
GB	UKIP	UKIP	2019	8.69			
GB	0UBS	0	0	0			
GB	64RT	0	0	0	L	https://en.wikipedia.org/wiki/Respect_Party	
GB	A	0	0	0	CCL	https://en.wikipedia.org/wiki/Alliance_Party_of_Northern_Ireland	
GB	BI	0	0	0			
GB	CB	0	0	0		https://en.wikipedia.org/wiki/Crossbencher	Crossbench members of the British House of Lords are not aligned to any particular party
GB	DUP	0	0	0	R	https://en.wikipedia.org/wiki/Democratic_Unionist_Party	
GB	FZPG	0	0	0	CL	"https://en.wikipedia.org/wiki/Social_Democratic_Party_(UK,_1990%E2%80%93present)"	
GB	I	0	0	0			
GB	IGC	0	0	0	C	https://en.wikipedia.org/wiki/Change_UK	
GB	IL	0	0	0	L	https://en.wikipedia.org/wiki/Independent_Labour_Party	
GB	L1QU	0	0	0			
GB	L8TA	0	0	0			
GB	LB	0	0	0	C	https://en.wikipedia.org/wiki/Liberal_Party_(UK)	
GB	LI	0	0	0	L	https://en.wikipedia.org/wiki/Independent_Labour_Party	
GB	LJ95	0	0	0	C	https://en.wikipedia.org/wiki/Change_UK	
GB	NA	0	0	0		https://en.wikipedia.org/wiki/Non-affiliated_members_of_the_House_of_Lords	"Non-affiliated members of the House of Lords are peers who do not belong to any parliamentary group. They do not take a political party's whip, nor affiliate to the crossbench group, nor are they Lords Spiritual (bishops)."
GB	NPBE	0	0	0		https://en.wikipedia.org/wiki/Independent_Unionist	"Independent Unionist has been a label sometimes used by candidates in elections in the United Kingdom, indicating a support for British unionism (not to be confused with trade unionism)."
GB	QHMP	0	0	0			
GB	QMZZ	0	0	0	CR	https://en.wikipedia.org/wiki/Ulster_Unionist_Party	
GB	SDLP	0	0	0	CL	https://en.wikipedia.org/wiki/Social_Democratic_and_Labour_Party	
GB	SO0T	0	0	0			
GB	UUP	0	0	0	CR	https://en.wikipedia.org/wiki/Ulster_Unionist_Party	
GB	UUSL	0	0	0	CL	"https://en.wikipedia.org/wiki/Social_Democratic_Party_(UK,_1990%E2%80%93present)"	
GB	ZKPW	0	0	0			
