COUNTRY	PM_ID	CHES_ID	YEAR	LRGEN	LR	URL	COMMENT
HR	0	HDSSB	2014	8.44			
HR	0	HDSSB	2019	8.41			
HR	HDZ	HDZ	2014	7.33			
HR	HDZ	HDZ	2019	6.88			
HR	0	HKS	2019	9.26			
HR	0	HL-SR	2014	2.0			
HR	HNS	HNS	2014	4.0			
HR	HNS	HNS	2019	4.29			
HR	0	HSLS	2014	5.33			
HR	0	HSLS	2019	5.35			
HR	0	HSP	2014	9.25			
HR	0	HSP-AS	2014	9.0			
HR	0	HSS	2014	7.11			
HR	0	HSS	2019	4.67			
HR	0	HSU	2019	4.4			
HR	0	IDS	2014	3.33			
HR	0	IDS	2019	3.25			
HR	0	MB 365	2019	5.64			
HR	Most	Most	2019	7.83			
HR	0	NS-R	2019	4.64			
HR	0	ORaH	2014	2.44			
HR	SDP	SDP	2014	3.56			
HR	SDP	SDP	2019	3.42			
HR	SDSS	SDSS	2019	3.08			
HR	0	ZZ	2019	4.79			
HR	BM 365 i NZ	0	0	0			
HR	GLAS	0	0	0			
HR	HDS, HSLS, HDSSB	0	0	0			
HR	HS	0	0	0			
HR	HSS i Demokrati	0	0	0			
HR	HSU, SNAGA, NZ i NP	0	0	0			
HR	IDS, PGS, RI	0	0	0			
HR	NLM	0	0	0			
HR	Nezavisni	0	0	0			
HR	Živi zid i PH	0	0	0			
HR	Živi zid, SNAGA	0	0	0			
