COUNTRY	PM_ID	CHES_ID	YEAR	LRGEN	LR	URL	COMMENT
IT	0	AN	1999	8.17			
IT	0	AN	2002	7.79			
IT	0	AN	2006	8.0			
IT	0	AN	2010	7.33			
IT	0	CCD	1999	6.0			
IT	0	CCD	2002	5.86			
IT	0	CD	2014	5.0			
IT	0	CDU	1999	6.33			
IT	0	CDU	2002	6.0			
IT	0	DEM	1999	4.33			
IT	0	DEM	2002	3.92			
IT	0	DL	2006	4.0			
IT	0	DS	2002	3.14			
IT	0	DS	2006	2.71			
IT	0	FI	1999	6.83			
IT	0	FI	2002	6.93			
IT	0	FI	2006	7.14			
IT	0	FI	2014	6.71			
IT	0	FI	2019	6.95			
IT	FdI	FdI	2014	7.86			
IT	FdI	FdI	2019	9.05			
IT	0	FdV	1999	3.83			
IT	0	IdV	2002	5.0			
IT	0	IdV	2006	4.83			
IT	0	IdV	2010	4.0			
IT	0	LB	1999	4.6			
IT	0	LN	1999	7.0			
IT	0	LN	2002	7.71			
IT	0	LN	2006	8.71			
IT	0	LN	2010	8.56			
IT	0	LN	2014	8.86			
IT	0	LN	2019	8.79			
IT	M5S.1	M5S	2014	4.67			
IT	M5S.2	M5S	2014	4.67			
IT	M5S.1	M5S	2019	4.78			
IT	M5S.2	M5S	2019	4.78			
IT	0	MRE	2006	4.33			
IT	0	MS	1999	9.67			
IT	0	MpA	2010	6.29			
IT	NCD	NCD	2014	6.14			
IT	0	NPSI	2006	5.43			
IT	PD	PD	2010	3.22			
IT	PD	PD	2014	3.57			
IT	PD	PD	2019	3.21			
IT	PdL	PDL	2010	7.56			
IT	0	PDS	1999	3.0			
IT	0	PP	2006	5.75			
IT	0	PPI	1999	4.83			
IT	0	PPI	2002	4.42			
IT	0	PRI	1999	5.0			
IT	0	PSDI	1999	4.5			
IT	0	PSI	2010	4.14			
IT	0	PdCI	2006	0.86			
IT	0	PdCI	2010	0.8			
IT	0	PdUP	1999	2.17			
IT	0	PsDA	1999	4.2			
IT	0	RAD	2006	3.83			
IT	0	RC	1999	0.6			
IT	0	RC	2002	1.93			
IT	0	RC	2006	1.29			
IT	0	RC	2010	0.56			
IT	0	RC	2014	0.29			
IT	0	RI	1999	4.83			
IT	0	RI	2002	5.23			
IT	0	RI	2019	4.31			
IT	0	SC	2014	5.43			
IT	0	SD	2010	2.14			
IT	0	SDI	2006	3.86			
IT	0	SEG	1999	6.0			
IT	0	SEL	2014	1.29			
IT	0	SI	2019	1.44			
IT	0	SL	2010	1.62			
IT	0	SVP	1999	5.8			
IT	0	SVP	2006	5.0			
IT	0	SVP	2010	5.75			
IT	0	SVP	2014	5.0			
IT	0	SVP	2019	5.17			
IT	0	UD	1999	5.0			
IT	0	UDC	2006	5.86			
IT	0	UDC	2010	5.33			
IT	0	UDC	2014	5.29			
IT	0	UDEUR	2002	5.57			
IT	0	UDEUR	2006	5.0			
IT	0	VERDI	2006	2.29			
IT	0	VERDI	2010	1.75			
IT	0	VdA	2014	4.83			
IT	AL-A	0	0	0			
IT	AL-A (MpA)	0	0	0			
IT	ALA	0	0	0			
IT	ALA-PRI	0	0	0			
IT	AP (NCD-UDC)	0	0	0			
IT	AP-CpE-NCD	0	0	0			
IT	Art.1-MDP	0	0	0			
IT	Art.1-MDP-LeU	0	0	0			
IT	Aut (SVP, UV, PATT, UPT) - PSI	0	0	0			
IT	Aut (SVP, UV, PATT, UPT)-PSI-MAIE	0	0	0			
IT	Aut (SVP-PATT, UV)	0	0	0			
IT	CRi	0	0	0			
IT	CoR	0	0	0			
IT	FI-BP	0	0	0			
IT	FI-PdL XVII	0	0	0			
IT	FIBP-UDC	0	0	0			
IT	FL (Id-PL, PLI)	0	0	0			
IT	GAL	0	0	0			
IT	GAL (DI, Id, GS, M, MPL, RI, E-E)	0	0	0			
IT	GAL (GS, LA-nS, MpA, NPSI, PpI)	0	0	0			
IT	GAL (GS, LA-nS, MpA, NPSI, PpI, IdV, VGF)	0	0	0			
IT	GAL (GS, MpA, NPSI, PpI, IdV, VGF, FV)	0	0	0			
IT	GAL (GS, PpI, FV, M)	0	0	0			
IT	GAL (GS, PpI, FV, M, MBI, Id)	0	0	0			
IT	GAL (GS, PpI, M, Id, E-E, MPL)	0	0	0			
IT	GAL (GS, PpI, M, Id, E-E, MPL, RI)	0	0	0			
IT	GAL (GS, PpI, M, MBI, Id, E-E)	0	0	0			
IT	GAL-UDC	0	0	0			
IT	IV-PSI	0	0	0			
IT	L-SP	0	0	0			
IT	L-SP-PSd'Az	0	0	0			
IT	LN-Aut	0	0	0			
IT	Misto	0	0	0			
IT	NcI	0	0	0			
IT	PI	0	0	0			
IT	SCpI	0	0	0			
