COUNTRY	PM_ID	CHES_ID	YEAR	LRGEN	LR	URL	COMMENT
LV	0	AP!	2019	5.82			
LV	0	JKP	2019	7.27			
LV	0	JL	2002	6.75			
LV	0	JL	2006	7.0			
LV	0	KPV LV	2019	5.7			
LV	0	LC	2002	5.5			
LV	0	LC	2006	6.75			
LV	0	LKS	2014	3.25			
LV	0	LKS	2019	2.27			
LV	0	LPP	2002	5.5			
LV	0	LPP	2006	7.0			
LV	LRA	LRA	2014	5.67			
LV	LRA	LRA	2019	6.0			
LV	0	LSDSP	2002	2.75			
LV	0	LSDSP	2006	2.25			
LV	NA	NA	2010	7.75			
LV	NA	NA	2014	8.3			
LV	NA	NA	2019	8.45			
LV	NSL	NSL	2014	5.14			
LV	0	PCTVL	2002	1.25			
LV	0	PCTVL	2006	1.25			
LV	0	SC	2006	3.0			
LV	0	SC	2010	3.25			
LV	0	SDPS	2014	4.0			
LV	0	SDPS	2019	3.45			
LV	0	TB-LNNK	2002	7.75			
LV	0	TB-LNNK	2006	9.0			
LV	0	TP	2002	7.0			
LV	0	TP	2006	7.25			
LV	0	V	2010	6.75			
LV	0	V	2014	6.9			
LV	0	V	2019	6.91			
LV	0	ZRP	2010	6.38			
LV	ZZS	ZZS	2002	3.75			
LV	ZZS	ZZS	2006	5.0			
LV	ZZS	ZZS	2010	5.44			
LV	ZZS	ZZS	2014	5.9			
LV	ZZS	ZZS	2019	5.82			
LV	AP	0	0	0			
LV	JK	0	0	0			
LV	JV	0	0	0			
LV	KPV-LV	0	0	0			
LV	SAKAŅA	0	0	0			
LV	SASKAŅA	0	0	0			
LV	VIENOTĪBA	0	0	0			
