COUNTRY	PM_ID	CHES_ID	YEAR	LRGEN	LR	URL	COMMENT
NL	50PLUS	50PLUS	2014	5.25	C	https://en.wikipedia.org/wiki/50PLUS	
NL	50PLUS	50PLUS	2019	5.08			
NL	0	CD	1999	9.38	R	https://en.wikipedia.org/wiki/Centre_Democrats_(Netherlands)	
NL	CDA	CDA	1999	5.20	CCR	https://en.wikipedia.org/wiki/Christian_Democratic_Appeal	
NL	CDA	CDA	2002	6.13			
NL	CDA	CDA	2006	6.09			
NL	CDA	CDA	2010	6.29			
NL	CDA	CDA	2014	6.78			
NL	CDA	CDA	2019	6.85			
NL	CU	CU	2002	6.63	CR	https://en.wikipedia.org/wiki/Christian_Union_(Netherlands)	
NL	CU	CU	2006	6.00			
NL	CU	CU	2010	5.36			
NL	CU	CU	2014	5.44			
NL	CU	CU	2019	5.08			
NL	D66	D66	1999	4.40	C	https://en.wikipedia.org/wiki/Democrats_66	
NL	D66	D66	2002	4.63			
NL	D66	D66	2006	4.45			
NL	D66	D66	2010	5.00			
NL	D66	D66	2014	5.56			
NL	D66	D66	2019	5.15			
NL	DENK	DENK	2019	4.36	CL	https://en.wikipedia.org/wiki/DENK_(political_party)	
NL	FvD	FvD	2019	9.54	FR	https://en.wikipedia.org/wiki/Forum_for_Democracy	
NL	GL	GL	1999	2.60	CLL	https://en.wikipedia.org/wiki/GroenLinks	
NL	GL	GL	2002	2.50			
NL	GL	GL	2006	2.18			
NL	GL	GL	2010	2.57			
NL	GL	GL	2014	2.33			
NL	GL	GL	2019	2.31			
NL	0	GPV	1999	6.70	CR	https://en.wikipedia.org/wiki/Reformed_Political_League	
NL	0	LPF	2002	8.38	R	https://en.wikipedia.org/wiki/Pim_Fortuyn_List	
NL	PVV	PVV	2006	8.80	RRF	https://en.wikipedia.org/wiki/Party_for_Freedom	
NL	PVV	PVV	2010	8.62			
NL	PVV	PVV	2014	9.25			
NL	PVV	PVV	2019	8.69			
NL	PvdD	PVdD	2019	2.38	L	https://en.wikipedia.org/wiki/Party_for_the_Animals	
NL	PvdA	PvdA	1999	3.80	CL	https://en.wikipedia.org/wiki/Labour_Party_(Netherlands)	
NL	PvdA	PvdA	2002	4.00			
NL	PvdA	PvdA	2006	3.73			
NL	PvdA	PvdA	2010	3.86			
NL	PvdA	PvdA	2014	3.67			
NL	PvdA	PvdA	2019	3.62			
NL	PvdD	PvdD	2010	3.36	L	https://en.wikipedia.org/wiki/Party_for_the_Animals	
NL	PvdD	PvdD	2014	2.89			
NL	0	RPF	1999	6.80	CR	https://en.wikipedia.org/wiki/Reformatory_Political_Federation	
NL	SGP	SGP	1999	7.70	R	https://en.wikipedia.org/wiki/Reformed_Political_Party	
NL	SGP	SGP	2002	8.00			
NL	SGP	SGP	2010	7.79			
NL	SGP	SGP	2014	8.11			
NL	SGP	SGP	2019	8.54			
NL	SP	SP	1999	1.10	L	https://en.wikipedia.org/wiki/Socialist_Party_(Netherlands)	
NL	SP	SP	2002	1.63			
NL	SP	SP	2006	1.64			
NL	SP	SP	2010	1.64			
NL	SP	SP	2014	1.00			
NL	SP	SP	2019	1.38			
NL	VVD	VVD	1999	6.90	CR	https://en.wikipedia.org/wiki/People%27s_Party_for_Freedom_and_Democracy	
NL	VVD	VVD	2002	7.38			
NL	VVD	VVD	2006	7.45			
NL	VVD	VVD	2010	7.86			
NL	VVD	VVD	2014	7.89			
NL	VVD	VVD	2019	7.62			
NL	Bontes	PVV	2006	8.80	RRF	https://en.wikipedia.org/wiki/Party_for_Freedom	
NL	Bontes	PVV	2010	8.62			
NL	Bontes	PVV	2014	9.25			
NL	Bontes	PVV	2019	8.69			
NL	Bontes/Van Klaveren	PVV	2006	8.80	RRF	https://en.wikipedia.org/wiki/Party_for_Freedom	
NL	Bontes/Van Klaveren	PVV	2010	8.62			
NL	Bontes/Van Klaveren	PVV	2014	9.25			
NL	Bontes/Van Klaveren	PVV	2019	8.69			
NL	De Lange	0	0	0.00	0	0	
NL	GKVK	0	0	0.00	R	https://en.wikipedia.org/wiki/Farmers%27_Party_(Netherlands)	
NL	GKÖ	0	0	0.00	0	0	
NL	Houwers	0	0	0.00	0	0	Houwers fraction
NL	Klein	0	0	0.00	0	0	Klein fraction
NL	Krol	0	0	0.00	CCR	https://en.wikipedia.org/wiki/Henk_Krol_List	
NL	Monasch	0	0	0.00	0	https://en.wikipedia.org/wiki/Jacques_Monasch	"He was a member of the Labour Party and then in 2016 created his own party named Nieuwe Wegen, which did not obtain any parliamentary seats."
NL	Nieuwe Wegen	0	0	0.00	0	0	
NL	OSF	0	0	0.00	0	0	
NL	Van Haga	0	0	0.00	R	https://en.wikipedia.org/wiki/Belang_van_Nederland	
NL	Van Kooten-Arissen	0	0	0.00	CCL	https://en.wikipedia.org/wiki/Splinter_(political_party)	
NL	Van Vliet	0	0	0.00	0	0	
NL	vKA	0	0	0.00	0	0	
NL	vanPareren	0	0	0.00	RRF	https://en.wikipedia.org/wiki/JA21	
