COUNTRY	PM_ID	CHES_ID	YEAR	LRGEN	LR	URL	COMMENT
PL	0	AWSP	2002	7.75			
PL	0	KNP	2014	9.53			
PL	0	Konfederacia	2019	9.53			
PL	0	Kukiz	2019	7.11			
PL	0	LPR	2002	9.25			
PL	0	LPR	2006	9.29			
PL	0	LPR	2010	9.25			
PL	0	Lewica Razem	2019	1.28			
PL	0	Nowo	2019	5.16			
PL	0	PD	2006	4.5			
PL	0	PO	2002	6.88			
PL	0	PO	2006	5.29			
PL	0	PO	2010	6.0			
PL	0	PO	2014	5.71			
PL	0	PO	2019	5.38			
PL	0	PR	2014	7.65			
PL	0	PSL	2002	4.38			
PL	0	PSL	2006	5.0			
PL	0	PSL	2010	4.93			
PL	0	PSL	2014	5.29			
PL	0	PSL	2019	5.29			
PL	PiS	PiS	2002	7.75			
PL	PiS	PiS	2006	7.76			
PL	PiS	PiS	2010	8.0			
PL	PiS	PiS	2014	7.94			
PL	PiS	PiS	2019	7.55			
PL	0	RP	2014	2.53			
PL	0	S	2002	5.5			
PL	0	S	2006	4.14			
PL	0	S	2010	4.64			
PL	0	SD	2010	4.67			
PL	0	SDPL	2006	3.0			
PL	0	SDPL	2010	2.67			
PL	0	SLD	2002	4.13			
PL	0	SLD	2006	3.43			
PL	0	SLD	2010	2.79			
PL	0	SLD	2014	2.76			
PL	0	SLD	2019	3.38			
PL	0	SP	2014	8.29			
PL	0	UP	2002	3.0			
PL	0	UW	2002	5.75			
PL	0	Wiosnia	2019	1.89			
PL	KO	0	0	0			
PL	KP-PSL	0	0	0			
PL	Konfederacja	0	0	0			
PL	Kukiz'15	0	0	0			
PL	Lewica	0	0	0			
PL	Niezrzeszeni	0	0	0			
PL	Przywrócić Prawo	0	0	0			
PL	Teraz!	0	0	0			
PL	UPR	0	0	0			
