Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
BG	politicalParty	party.GERB	-	-	Граждани за европейско развитие на България	-	2006-12-03	-	-
BG	politicalParty	party.BSP	-	-	Българска социалистическа партия	Bulgarian Socialist Party	1891-07-20	-	-
BG	politicalParty	party.KPB	-	-	Комунистическа партия на България	Communist Party of Bulgaria	1996	-	-
BG	politicalParty	party.ZS	-	-	Земеделски съюз „Александър Стамболийски“	Agrarian Union "Aleksandar Stamboliyski"	1993	-	-
BG	politicalParty	party.NZ	-	-	Нова зора	New Dawn	1996-03	-	-
BG	politicalParty	party.DPS	-	-	Движение за права и свободи	Movement for Rights and Freedoms	1990-01-04	-	-
BG	politicalParty	party.VMRO	-	-	ВМРО – Българско национално движение	IMRO – Bulgarian National Movement	1989	-	-
BG	politicalParty	party.FRONT	-	-	Национален фронт за спасение на България	National Front for the Salvation of Bulgaria	2011-05-17	-	-
BG	politicalParty	party.ATAKA	-	-	Атака	Attack	2005-04-17	-	-
BG	politicalParty	party.VOLYA	-	-	ВОЛЯ	Volya Movement	2007-07-15	-	-
BG	politicalParty	party.ABV	-	-	Алтернатива за българско възраждане	Alternative for Bulgarian Revival	2014	-	-
BG	politicalParty	party.BGUn	-	-	България без цензура	Bulgaria Uncensored	2014	-	-
BG	politicalParty	party.RB	-	-	Реформаторски блок	Reformist Bloc	2013	-	-
BG	politicalParty	party.PF	-	-	Патриотичен фронт	Patriotic Front	2014	-	-
