Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
DK	parliamentaryGroup	party.ALT	ALT	-	Alternativet	-	-	-	-
DK	parliamentaryGroup	party.DF	DF	-	Dansk Folkeparti	-	-	-	-
DK	parliamentaryGroup	party.EL	EL	-	Enhedslisten	-	-	-	-
DK	parliamentaryGroup	party.IA	IA	-	Inuit Ataqatigiit	-	-	-	-
DK	parliamentaryGroup	party.JF	JF	-	Javnaðarflokkurin	-	-	-	-
DK	parliamentaryGroup	party.KD	KD	-	Kristendemokraterne	-	-	-	-
DK	parliamentaryGroup	party.KF	KF	-	Det Konservative Folkeparti	-	-	-	-
DK	parliamentaryGroup	party.LA	LA	-	Liberal Alliance	-	-	-	-
DK	parliamentaryGroup	party.NB	NB	-	Nye Borgerlige	-	-	-	-
DK	parliamentaryGroup	party.NQ	NQ	-	Nunatta Qitornai	-	-	-	-
DK	parliamentaryGroup	party.RV	RV	-	Radikale Venstre	-	-	-	-
DK	parliamentaryGroup	party.S	S	-	Socialdemokratiet	-	-	-	-
DK	parliamentaryGroup	party.SF	SF	-	Socialistisk Folkeparti	-	-	-	-
DK	parliamentaryGroup	party.SIU	SIU	-	Siumut	-	-	-	-
DK	parliamentaryGroup	party.SP	SP	-	Sambandsflokkurin	-	-	-	-
DK	parliamentaryGroup	party.T	T	-	Tjóðveldi	-	-	-	-
DK	parliamentaryGroup	party.TF	TF	-	Tjóðveldisflokkurin	-	-	-	-
DK	parliamentaryGroup	party.UFG	UFG	-	Uden for folketingsgrupperne	-	-	-	-
DK	parliamentaryGroup	party.V	V	-	Venstre	-	-	-	-
