Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
ES	politicalParty	party.PSCPSCPSOE	-	-	Partido de los Socialistas de Cataluña	-	-	-	-
ES	politicalParty	party.PSOEdeAndalucía	-	-	Partido Socialista Obrero Español de Andalucía	-	-	-	-
ES	politicalParty	party.PPEU	-	-	Partido Popular	-	-	-	-
ES	politicalParty	party.EUiA	-	-	Esquerra Unida i Alternativa	-	-	-	-
ES	politicalParty	party.CCNCPNC	-	-	Coalición Canaria-Nueva Canaria-Partido Nacionalista Canario	-	-	-	-
ES	politicalParty	party.COMPROMÍSQ	-	-	Comprommís-Q	-	-	-	-
ES	politicalParty	party.ERCRIcat	-	-	Esquerra Republicana de Catalunya - Reagrupament Independentista	-	-	-	-
ES	politicalParty	party.EUPV	-	-	Esquerra Unida del País Valencià	-	-	-	-
ES	politicalParty	party.GB	-	-	Geroa Bai	-	-	-	-
ES	politicalParty	party.ICV	-	-	Iniciativa per Catalunya Verds	-	-	-	-
ES	politicalParty	party.UPN	-	-	Unión del Pueblo Navarro	-	-	-	-
ES	politicalParty	party.AMAIUR	-	-	Amaiur	-	-	-	-
ES	politicalParty	party.CiU	-	-	Convergència i Unió	-	-	-	-
ES	politicalParty	party.IZQPLU	-	-	Izquierda Plural	-	-	-	-
ES	politicalParty	party.DL	-	-	Democràcia i Llibertat	-	-	-	-
ES	politicalParty	party.UPyD	-	-	Unión Progreso y Democracia	-	-	-	-
ES	politicalParty	party.PSOENCa	-	-	Partido Socialista Obrero Español - Nueva Canarias	-	-	-	-
ES	politicalParty	party.PSdGPSOE	-	-	Partido dos Socialistas de Galicia - Partido Socialista Obrero Español	-	-	-	-
ES	politicalParty	party.PPPAR	-	-	Partido Popular - Partido Aragonés	-	-	-	-
ES	politicalParty	party.EMPAEU	-	-	En Marea - Podemos - Anova - Esquerda Unida	-	-	-	-
ES	politicalParty	party.CPEUPV	-	-	Compromís - Podemos - Esquerra Unida del País Valencià	-	-	-	-
ES	politicalParty	party.CDC	-	-	Convergècia Democràtica de Catalunya	-	-	-	-
ES	politicalParty	party.UPNPP	-	-	Unión Pueblo Navarro - Partido Popular	-	-	-	-
ES	politicalParty	party.ERCCATSÍ	-	-	Esquerra Republicana de Catalunya - Catalunya Sí	-	-	-	-
ES	politicalParty	party.UPM	-	-	Unión por un Movimiento Popular	-	-	-	-
ES	politicalParty	party.CCaPNC	-	-	Coalición Canaria - Partido Nacionalista Canario	-	-	-	-
ES	politicalParty	party.ECP	-	-	En Comú Podem	-	-	-	-
ES	politicalParty	party.CCaPNCNC	-	-	Coalición Canaria - Partido Nacionalista Canario - Nueva Canarias	-	-	-	-
ES	politicalParty	party.ECUP	-	-	En Comú Podem - Unidas Podemos	-	-	-	-
ES	politicalParty	party.CUPPR	-	-	Candidatura d'Unitat Popular	-	-	-	-
ES	politicalParty	party.PSEEEPSOE	-	-	Partido Socialista de Euskadi - Euskadiko Ezkerra - Partido Socialista Obrero Español	-	-	-	-
ES	politicalParty	party.TeruelExiste	-	-	¡Teruel Existe!	-	-	-	-
ES	politicalParty	party.BNG	-	-	Bloque Nacionalista Galego	-	-	-	-
ES	politicalParty	party.Cs	-	-	Ciudadanos	-	-	-	-
ES	politicalParty	party.EAJPNV	-	-	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	-	-	-	-
ES	politicalParty	party.ECPGUAYEMELCANVI	-	-	En Comú Podem - Guayem el Canvi	-	-	-	-
ES	politicalParty	party.EHBildu	-	-	Euskal Herria Bildu	-	-	-	-
ES	politicalParty	party.ERCS	-	-	Esquerra Republicana de Catalunya - Sobiranistes	-	-	-	-
ES	politicalParty	party.JxCatJUNTS	-	-	Junts per Catalunya	-	-	-	-
ES	politicalParty	party.MÁSPAÍSEQUO	-	-	Más País - Equo	-	-	-	-
ES	politicalParty	party.MÉSCOMPROMÍS	-	-	Més Compromís	-	-	-	-
ES	politicalParty	party.NCCCaPNC	-	-	Nueva Canarias - Coalición Canaria - Partido Nacionalista Canario	-	-	-	-
ES	politicalParty	party.PP	-	-	Partido Popular	-	-	-	-
ES	politicalParty	party.PPFORO	-	-	Partido Popular - Foro Asturias	-	-	-	-
ES	politicalParty	party.PRC	-	-	Partido Regionalista de Cantabria	-	-	-	-
ES	politicalParty	party.PSCPSOE	-	-	Partido Socialista de Cataluya - Partido Socialista Obrero Español	-	-	-	-
ES	politicalParty	party.PSOE	-	-	Partido Socialista Obrero Español	-	-	-	-
ES	politicalParty	party.PsdeGPSOE	-	-	Partido dos Socialistas de Galicia - Partido Socialista Obrero Español	-	-	-	-
ES	politicalParty	party.UP	-	-	Unidas Podemos	-	-	-	-
ES	politicalParty	party.Vox	-	-	Vox	-	-	-	-
