Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
HR	politicalParty	party.BM_365_NZ	-	-	Klub Stranke rada i solidarnosti i nezavisnih zastupnika	-	-	-	-
HR	politicalParty	party.GLAS	-	-	Klub Građansko-liberalnog saveza	-	-	-	-
HR	politicalParty	party.HDS_HSLS_HDSSB	-	-	Klub Hrvatske demokršćanske stranke, Hrvatske socijalno-liberalne stranke i Hrvatskog demokratskog saveza Slavonije i Baranje	-	-	-	-
HR	politicalParty	party.HDZ	-	-	Klub Hrvatske demokratske zajednice	-	-	-	-
HR	politicalParty	party.HNS	-	-	Klub Hrvatske narodne stranke - liberalnih demokrata	-	-	-	-
HR	politicalParty	party.HS	-	-	Klub Hrvatski suverenisti	-	-	-	-
HR	politicalParty	party.HSS_Demokrati	-	-	Klub Hrvatske seljačke stranke i Demokrata	-	-	-	-
HR	politicalParty	party.HSU_SNAGA_NZ_NP	-	-	Klub zastupnika Hrvatske stranke umirovljenika, SNAGA-e, nezavisnih zastupnika i Nove politike	-	-	-	-
HR	politicalParty	party.IDS_PGS_RI	-	-	Klub Istarskog demokratskog sabora, Primorsko-goranskog saveza, Liste za Rijeku	-	-	-	-
HR	politicalParty	party.Most	-	-	Klub Mosta nezavisnih lista	-	-	-	-
HR	politicalParty	party.NLM	-	-	Klub Nezavisne liste mladih	-	-	-	-
HR	politicalParty	party.Nezavisni	-	-	Klub nezavisnih	-	-	-	-
HR	politicalParty	party.SDP	-	-	Klub Socijaldemokratske partije Hrvatske	-	-	-	-
HR	politicalParty	party.SDSS	-	-	Klub Samostalne demokratske srpske stranke	-	-	-	-
HR	politicalParty	party.Živi_zid_PH	-	-	Klub zastupnika Živog zida i Promijenimo Hrvatsku	-	-	-	-
HR	politicalParty	party.Živi_zid_SNAGA	-	-	Klub Živog zida i SNAGA-e	-	-	-	-
