Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
IS	politicalParty	party.Bf	-	-	Björt framtíð	-	-	-	-
IS	politicalParty	party.F	-	-	Framsóknarflokkur	-	-	-	-
IS	politicalParty	party.Flf	-	-	Flokkur fólksins	-	-	-	-
IS	politicalParty	party.M	-	-	Miðflokkurinn	-	-	-	-
IS	politicalParty	party.P	-	-	Píratar	-	-	-	-
IS	politicalParty	party.S	-	-	Sjálfstæðisflokkur	-	-	-	-
IS	politicalParty	party.Sf	-	-	Samfylking	-	-	-	-
IS	politicalParty	party.U	-	-	Utan flokka	-	-	-	-
IS	politicalParty	party.V	-	-	Viðreisn	-	-	-	-
IS	politicalParty	party.Vg	-	-	Vinstrihreyfingin - grænt framboð	-	-	-	-
