Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
IT	parliamentaryGroup	group.LN-Aut	LN-Aut	-	Lega Nord e Autonomie	-	2013-03-15	2018-03-22	-
IT	parliamentaryGroup	group.GAL.GS.PpI.M.Id.E-E.MPL.RI	GAL (GS, PpI, M, Id, E-E, MPL, RI)	-	Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Moderati, Idea, Euro-Exit, M.P.L. - Movimento politico Libertas, Riscossa Italia)	-	2017-02-01	2017-05-15	-
IT	parliamentaryGroup	group.Art.1-MDP-LeU	Art.1-MDP-LeU	-	Articolo 1 - Movimento Democratico e Progressista - Liberi e Uguali	-	2017-12-13	2018-03-22	-
IT	parliamentaryGroup	group.PD	PD	-	Partito Democratico	-	2008-04-29	-	-
IT	parliamentaryGroup	group.FIBP-UDC	FIBP-UDC	-	Forza Italia Berlusconi Presidente-UDC	-	2019-12-11	-	-
IT	parliamentaryGroup	group.NcI	NcI	-	Noi con l'Italia	-	2017-12-22	2018-03-22	-
IT	parliamentaryGroup	group.ALA-PRI	ALA-PRI	-	ALA (Alleanza Liberal Popolare) - PRI (Partito Repubblicano Italiano)	-	2018-01-05	2018-03-22	-
IT	parliamentaryGroup	group.CoR	CoR	-	Conservatori e Riformisti	-	2015-09-08	2017-04-01	-
IT	parliamentaryGroup	group.GAL.GS.PpI.FV.M	GAL (GS, PpI, FV, M)	-	Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Federazione dei Verdi, Moderati)	-	2015-08-05	2015-11-03	-
IT	parliamentaryGroup	group.SCpI	SCpI	-	Scelta Civica per l'Italia	-	2013-03-15	2013-11-26	-
IT	parliamentaryGroup	group.GAL-UDC	GAL-UDC	-	Grandi Autonomie e Libertà - Unione dei Democratici Cristiani e Democratici di Centro	-	2017-12-21	2018-03-22	-
IT	parliamentaryGroup	group.M5S.1	M5S.1	-	Movimento 5 Stelle	-	2013-03-15	2018-03-22	-
IT	parliamentaryGroup	group.GAL.GS.PpI.M.Id.E-E.MPL	GAL (GS, PpI, M, Id, E-E, MPL)	-	Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Moderati, Idea, Euro-Exit, M.P.L.-Movimento politico Libertas)	-	2016-02-16	2016-05-09	-
IT	parliamentaryGroup	group.FdI	FdI	-	Fratelli d'Italia	-	2018-03-23	-	-
