Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
NL	politicalParty	party.SP	SP	-	Socialistische Partij	-	-	-	-
NL	politicalParty	party.PvdA	PvdA	-	Partij van de Arbeid	-	-	-	-
NL	politicalParty	party.CDA	CDA	-	Christen-Democratisch Appèl	-	-	-	-
NL	politicalParty	party.VVD	VVD	-	Volkspartij voor Vrijheid en Democratie	-	-	-	-
NL	politicalParty	party.PvdD	PvdD	-	Partij voor de Dieren	-	-	-	-
NL	politicalParty	party.PVV	PVV	-	Partij voor de Vrijheid	-	-	-	-
NL	politicalParty	party.GroenLinks	GL	-	GroenLinks	-	-	-	-
NL	politicalParty	party.SGP	SGP	-	Staatkundig Gereformeerde Partij	-	-	-	-
NL	politicalParty	party.D66	D66	-	Democraten 66	-	-	-	-
NL	politicalParty	party.ChristenUnie	CU	-	ChristenUnie	-	-	-	-
NL	politicalParty	party.50PLUS	50PLUS	-	50PLUS	-	-	-	-
NL	politicalParty	party.OSF	OSF	-	Onafhankelijke Senaatsfractie	-	-	-	-
NL	politicalParty	party.GroepKuzu-Öztürk	GKÖ	-	Groep Kuzu/Öztürk	-	-	-	-
NL	politicalParty	party.VanVliet	Van Vliet	-	Fractie Van Vliet	-	-	-	-
NL	politicalParty	party.GroepBontes-VanKlaveren	Bontes/Van Klaveren	-	Groep Bontes/Van Klaveren	-	-	-	-
NL	politicalParty	party.Houwers	Houwers	-	Fractie Houwers	-	-	-	-
NL	politicalParty	party.DeLange	De Lange	-	Fractie De Lange	-	-	-	-
NL	politicalParty	party.Monasch	Monasch	-	Fractie Monasch	-	-	-	-
NL	politicalParty	party.Klein	Klein	-	Fractie Klein	-	-	-	-
NL	politicalParty	party.Bontes	Bontes	-	Fractie Bontes	-	-	-	-
NL	politicalParty	party.DENK	DENK	-	DENK	-	-	-	-
NL	politicalParty	party.VanHaga	Van Haga	-	Fractie Van Haga	-	-	-	-
NL	politicalParty	party.FvD	FvD	-	Forum voor Democratie	-	-	-	-
NL	politicalParty	party.vanPareren	vanPareren	-	Fractie van Pareren	-	-	-	-
NL	politicalParty	party.vKA	vKA	-	Lid Van Kooten-Arissen	-	-	-	-
NL	politicalParty	party.GKVK	GKVK	-	Groep-Krol/Van Kooten-Arissen	-	-	-	-
NL	politicalParty	party.VanKooten-Arissen	Van Kooten-Arissen	-	Fractie Van Kooten-Arissen	-	-	-	-
NL	politicalParty	party.Krol	Krol	-	Fractie Krol	-	-	-	-
NL	politicalParty	party.NieuweWegen	Nieuwe Wegen	-	Partij Nieuwe Wegen	-	-	-	-
