Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
SI	politicalParty	party.PS	-	-	Pozitivna Slovenija	Positive Slovenia	2011-10-22	-	-
SI	politicalParty	party.DL	-	-	Državljanska lista	Civic List	2012-04-24	-	-
SI	politicalParty	party.DeSUS	-	-	Demokratična stranka upokojencev Slovenije	Democratic Party of Pensioners of Slovenia	1991-05-30	-	-
SI	politicalParty	party.Levica.1	-	-	Združena levica	United Left	2014-03-01	2017-06-24	-
SI	politicalParty	party.Levica.2	-	-	Levica	The Left	2017-06-24	-	-
SI	politicalParty	party.LMŠ	-	-	Lista Marjana Šarca	The List of Marjan Šarec	2014-05-31	-	-
SI	politicalParty	party.NSi	-	-	Nova Slovenija – Krščanski demokrati	New Slovenia – Christian Democrats	2000-08-04	-	-
SI	politicalParty	party.SD	-	-	Socialni demokrati	Social Democrats	2005-04-02	-	-
SI	politicalParty	party.SDS.2	-	-	Slovenska demokratska stranka	Slovenian Democratic Party	2003-09-19	-	-
SI	politicalParty	party.SMC.1	-	-	Stranka Mira Cerarja	Party of Miro Cerar	2014-06-02	2015-03-07	-
SI	politicalParty	party.SMC.2	-	-	Stranka modernega centra	Modern Centre Party	2015-03-07	-	-
SI	politicalParty	party.SNS	-	-	Slovenska nacionalna stranka	Slovenian National Party	1991-03-17	-	-
SI	politicalParty	party.ZaAB	-	-	Zavezništvo Alenke Bratušek	Alliance of Alenka Bratušek	2014-05-31	2016-05-21	-
SI	politicalParty	party.ZaSLD	-	-	Zavezništvo socialno-liberalnih demokratov	Alliance of Social Liberal Democrats	2016-05-21	2017-10-07	-
SI	politicalParty	party.SAB	-	-	Stranka Alenke Bratušek	Party of Alenka Bratušek	2017-10-07	-	-
