Country	PersonID	Role	From	To	GovtTermID	MinistryID	Name-xx	Name-en	URL	Comment
AT	PAD_00024	minister	2020-01-07	2020-01-29	-	-	Bundesminister für Arbeit, Soziales, Gesundheit und Konsumentenschutz	Federal Minister for Labour, Social Affairs and Consumer Protection	-	-
AT	PAD_00024	minister	2020-01-29	2021-04-19	-	-	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz	Federal Minister for Social Affairs, Health, Care and Consumer Protection	-	-
AT	PAD_00060	minister	1995-05-04	1996-04-30	-	-	Bundesminister für Umwelt	Federal Minister for Environment	-	-
AT	PAD_00060	minister	1996-05-01	2000-02-04	-	-	Bundesminister für Umwelt, Jugend und Familie	Federal Minister for Environment, Youth and Families	-	-
AT	PAD_00060	minister	2000-02-04	2000-03-31	-	-	Bundesminister für wirtschaftliche Angelegenheiten	Federal Minister for Economic Affairs	-	-
AT	PAD_00060	minister	2000-04-01	2008-12-02	-	-	Bundesminister für Wirtschaft und Arbeit	Federal Minister for Economy and Health	-	-
AT	PAD_00145	minister	2007-01-11	2007-02-28	-	-	Bundesministerin ohne Portefeuille	Federal Minister without portfolio	-	-
AT	PAD_00145	minister	2007-03-01	2008-07-01	-	-	Bundesministerin für Frauen, Medien und öffentlichen Dienst im Bundeskanzleramt	Federal Minister for Women's Affairs, Media and Public Service in the Federal Chancellery	-	-
AT	PAD_00145	minister	2008-12-02	2014-09-01	-	-	Bundesministerin für Verkehr, Innovation und Technologie	Federal Minister for Transport, Innovation and Technology	-	-
AT	PAD_00225	minister	1995-05-04	1996-06-19	-	-	Bundesminister für wirtschaftliche Angelegenheiten	Federal Minister for Economic Affairs	-	-
AT	PAD_00302	minister	1990-12-17	2000-02-04	-	-	Bundesminister für Landesverteidigung	Federal Minister for Defence	-	-
AT	PAD_00311	minister	2008-07-01	2011-04-20	-	-	Bundesministerin für Inneres	Federal Minister for the Interior	-	-
AT	PAD_00311	minister	2011-04-21	2013-12-16	-	-	Bundesministerin für Finanzen	Federal Minister for Finance	-	-
AT	PAD_00334	minister	1983-05-24	1987-01-21	-	-	Bundesminister für Wissenschaft und Forschung	Federal Minister for Science and Research	-	-
AT	PAD_00401	minister	1983-05-24	1986-05-12	-	-	Bundesminister für Landesverteidigung	Federal Minister for Defence	-	-
AT	PAD_00533	minister	2000-10-24	2003-04-30	-	-	Bundesminister für soziale Sicherheit und Generationen	Federal Minister for Social Security and Generations	-	-
AT	PAD_00533	minister	2003-05-01	2005-01-25	-	-	Bundesminister für soziale Sicherheit, Generationen und Konsumentenschutz	Federal Minister for Social Security, Generations and Consumer Protection	-	-
AT	PAD_00657	minister	1997-01-28	1997-02-14	-	-	Bundesministerin für Arbeit und Soziales	Federal Minister for Labour and Social Affairs	-	-
AT	PAD_00657	minister	1997-02-15	2000-02-04	-	-	Bundesministerin für Arbeit, Gesundheit und Soziales	Federal Minister for Labour, Social Affairs and Consumer Protection	-	-
