Country	PersonID	Role	From	To	GovtTermID	MinistryID	Name-xx	Name-en	URL	Comment
BG	RadevValentin	minister	2017-05-04	2018-09-13	-	-	Министър на вътрешните работи	-	-	-
BG	PetkovBiser	minister	2017-05-04	2019-11-29	-	-	Министър на труда и социалната политика	-	-	-
BG	BanovBoil	minister	2017-05-04	-	-	-	Министър на културата	-	-	-
BG	GoranovVladislav	minister	2017-05-04	2020-07-24	-	-	Министър на финансите	-	-	-
BG	KirilovDanail	minister	2019-04-05	2020-08-27	-	-	Министър на правосъдието	-	-	-
BG	SachevaDenitsa	minister	2019-12-03	-	-	-	Министър на труда и социалната политика	-	-	-
BG	AhladovaDesislava	minister	2020-09-03	-	-	-	Министър на правосъдието	-	-	-
BG	TanevaDesislava	minister	2019-05-15	-	-	-	Министър на земеделието, храните и горите	-	-	-
BG	TanevaDesislava	minister	2014-11-07	2019-05-14	-	-	Министър на земеделието и храните	-	-	-
BG	ZaharievaEkaterina	minister	2017	-	-	-	Министър на външните работи	-	-	-
BG	KaranikolovEmil	minister	2017-05-04	2020-07-24	-	-	Министър на икономиката	-	-	-
BG	MoskovskiIvajlo	minister	2017-05-04	2018-09-20	-	-	Министър на транспорта, информационните технологии и съобщенията	-	-	-
BG	AnanievKiril	minister	2017-11	2020-07	-	-	Министър на здравеопазването	-	-	-
BG	AngelovKostadin	minister	2020-07-24	-	-	-	Министър на здравеопазването	-	-	-
BG	KralevKrasen	minister	2014-05-04	2017-01-27	-	-	Министър на младежта и спорта	-	-	-
BG	KralevKrasen	minister	2017-05-04	-	-	-	Министър на младежта и спорта	-	-	-
BG	ValchevKrasimir	minister	2017-05-04	-	-	-	Министър на образованието и науката	-	-	-
BG	KarakachanovKrasimir	minister	2017	-	-	-	Министър на отбраната	-	-	-
BG	PavlovaLiljana	minister	2011-09-09	2013-02-20	-	-	Министър на регионалното развитие и благоустройството	-	-	-
BG	PavlovaLiljana	minister	2017-05-04	2018-12-31	-	-	Министър за българското председателство на Съвета на Европейския съюз	-	-	-
BG	VasilevaLozana	minister	2017-05-04	2018-12-31	-	-	Министър за българското председателство на Съвета на Европейския съюз	-	-	-
BG	NikolovaMariyana	minister	2020-07-24	-	-	-	Министър на туризма	-	-	-
BG	MarinovMladen	minister	2018-09-20	2020	-	-	Министър на вътрешните работи на България	-	-	-
BG	DimovNeno	minister	2017-05-04	2020-01-10	-	-	Министър на околната среда и водите	-	-	-
BG	AngelkovaNikolina	minister	2017	2020	-	-	Министър на туризма	-	-	-
BG	AvramovaPetya	minister	2018-09-20	-	-	-	Министър на регионалното развитие и благоустройството	-	-	-
BG	ZheljazkovRosen	minister	2018-09-20	-	-	-	Министър на транспорта, информационните технологии и съобщенията	-	-	-
BG	PorozhanovRumen	minister	2017-05-04	2019-05-15	-	-	Министър на земеделието, храните и горите	-	-	-
BG	PetkovaTemenuzhka	minister	2017-05-04	-	-	-	Министър на енергетиката	-	-	-
BG	PetkovaTemenuzhka	minister	2014-11-07	2017-01-27	-	-	Министър на енергетиката	-	-	-
BG	TerziyskiChristo	minister	2020-07-24	-	-	-	Министър на вътрешните работи	-	-	-
BG	TsachevaTsetska	minister	2017-05-04	2019-04-05	-	-	Министър на правосъдието	-	-	-
BG	StonovVasil	minister	2014-08-06	2014-11-07	-	-	Министър на икономиката и енергетиката на България	-	-	-
BG	GrudevVasil	minister	2014-08-06	2014-11-07	-	-	Министър на земеделието и храните	-	-	-
BG	ShalamanovVelizar	minister	2014-08-06	2014-11-07	-	-	Служебен министър на министър на отбраната	-	-	-
BG	DonevGylyb	minister	2017-01-27	2017-05-04	-	-	Служебен министър на труда и социалната политика	-	-	-
BG	MitovDaniel	minister	2014-08-06	2017-01-27	-	-	Министър на външните работи	-	-	-
BG	KostovDimityr	minister	1995-01-25	1997-02-12	-	-	Министър на финансите	-	-	-
BG	RoussinovaZornitsa	minister	2014-11-19	2017-01-27	-	-	Министър на труда и социалната политика	-	-	-
BG	CanovaIliyana	minister	2013-03-13	2013-05-29	-	-	Министър по управление на средствата от Европейския съюз	-	-	-
BG	CanovaIliyana	minister	2014-08-06	2014-11-07	-	-	Министър по управление на средствата от Европейския съюз	-	-	-
BG	SemerdzievIlko	minister	2017-01-27	2017-05-04	-	-	Служебен министър на здравеопазването	-	-	-
BG	KostovaIrina	minister	2017-01-27	2017-05-04	-	-	Служебен министър на околната среда и водите	-	-	-
BG	MihajlovaIskra	minister	2013	2014	-	-	Министър на околната среда и водите	-	-	-
BG	HristoskovYordan	minister	2014-08-06	2014-11-07	-	-	Министър на труда и социалната политика	-	-	-
BG	BakalovYordan	minister	2014-08-06	2014-11-07	-	-	Служебен министър на вътрешените работи	-	-	-
BG	NenkovMiroslav	minister	-	-	-	-	Министър на здравеопазването	-	-	-
BG	PavlovNikolay	minister	2017-01-27	2017-05-04	-	-	Министър на енергетиката	-	-	-
BG	DenkovNikolay	minister	2017-01-27	2017-05-04	-	-	Министър на образованието и науката	-	-	-
BG	PetrovNikolay	minister	2017-05-04	2017-11-10	-	-	Министър на здравеопазването	-	-	-
BG	MoskovPetar	minister	2014-11-07	2017-01-27	-	-	Министър на здравеопазването	-	-	-
BG	UzunovPlamen	minister	2017-01-27	2017-05-04	-	-	Служебен министър на вътрешните работи	-	-	-
BG	KolarovaRumyana	minister	2014-08-06	2014-11-07	-	-	Служебен министър на образованието, младежта и науката	-	-	-
BG	ZhekovaSvetlana	minister	2014-08-06	2014-11-07	-	-	Министър на околната среда и водите	-	-	-
BG	PopnikolovSpas	minister	2017-01-27	2017-05-04	-	-	Служебен министър на регионалното развитие и благоустройството	-	-	-
BG	YanevStefan	minister	2017-01-27	2017-05-04	-	-	Служебен министър на отбраната в кабинета	-	-	-
BG	TanevTodor	minister	2014-11-07	2016-02-03	-	-	Министър на образованието и науката	-	-	-
BG	IvanovHristo	minister	2014-08-06	2014-11-07	-	-	Министър на правосъдието	-	-	-
BG	IvanovHristo	minister	2014-11-07	2015-12-18	-	-	Министър на правосъдието	-	-	-
