Country	PersonID	Role	From	To	GovtTermID	MinistryID	Name-xx	Name-en	URL	Comment
ES	SáenzMaría	minister	2011-12-21	2018-06-07	Rajoy 1 and 2	-	Ministerio de la Presidencia, Relaciones con las Cortes y Memoria Democrática	Ministry of the Presidency, Relations with the Cortes and Democratic Memory	https://en.wikipedia.org/wiki/Ministry_of_the_Presidency	-
ES	CalvoCarmen	minister	2018-06-07	2021-07-12	Sanchez 1 and 2	-	Ministerio de la Presidencia, Relaciones con las Cortes y Memoria Democrática	Ministry of the Presidency, Relations with the Cortes and Democratic Memory	-	-
ES	BolanosFelix	minister	2021-07-13	-	Sanchez 2	-	Ministerio de la Presidencia, Relaciones con las Cortes y Memoria Democrática	Ministry of the Presidency, Relations with the Cortes and Democratic Memory	-	-
ES	IglesiasPablo	minister	2020-01-13	2021-03-31	Sanchez 2	-	Ministerio de Derechos Sociales y Agenda 2030	Ministry of Social Rights and 2030 Agenda	https://en.wikipedia.org/wiki/Ministry_of_Social_Affairs_(Spain)	-
ES	BelarraIone	minister	2021-04-01	-	Sanchez 2	-	Ministerio de Derechos Sociales y Agenda 2030	Ministry of Social Rights and 2030 Agenda	-	-
ES	GuindosLuis	minister	2011-12-22	2018-03-08	Rajoy 1 and 2	-	Ministerio de Asuntos Económicos y Transformación Digital	Ministry of Economic Affairs and Digital Transformation	https://en.wikipedia.org/wiki/Ministry_of_Economy_(Spain)	-
ES	EscolanoRomán	minister	2018-03-09	2018-06-07	Rajoy 2	-	Ministerio de Asuntos Económicos y Transformación Digital	Ministry of Economic Affairs and Digital Transformation	-	-
ES	CalviñoNadia	minister	2018-06-08	-	Sanchez 1 and 2	-	Ministerio de Asuntos Económicos y Transformación Digital	Ministry of Economic Affairs and Digital Transformation	-	-
ES	CaneteMiguelArias	minister	2011-12-22	2014-04-28	Rajoy 1	-	Ministerio para la Transición Ecológica y el Reto Demográfico	Ministry for the Ecological Transition and the Demographic Challenge	https://en.wikipedia.org/wiki/Ministry_of_Environment_(Spain)	-
ES	GarcíaIsabel	minister	2014-04-28	2018-06-07	Rajoy 1 and 2	-	Ministerio para la Transición Ecológica y el Reto Demográfico	Ministry for the Ecological Transition and the Demographic Challenge	-	-
