Country	PersonID	Role	From	To	GovtTermID	MinistryID	Name-xx	Name-en	URL	Comment
GB	SayeedaWarsi	minister	2010-05-12	2012-09-06	-	-	-	-	-	-
GB	SayeedaWarsi	minister	2012-09-06	2014-08-05	-	-	-	-	-	-
GB	StanleyClintonDavis	minister	1974-03-08	1979-05-04	-	-	-	-	-	-
GB	StanleyClintonDavis	minister	1997-05-01	1998-01-01	-	-	-	-	-	-
GB	JamesArbuthnot	minister	1992-04-15	1994-07-20	-	-	-	-	-	-
GB	JamesArbuthnot	minister	1994-07-20	1995-07-06	-	-	-	-	-	-
GB	JamesArbuthnot	minister	1995-07-06	1997-05-01	-	-	-	-	-	-
GB	GregoryHands	minister	2011-10-14	2013-10-07	-	-	-	-	-	-
GB	GregoryHands	minister	2013-10-07	2015-05-08	-	-	-	-	-	-
GB	GregoryHands	minister	2015-05-08	2016-07-14	-	-	-	-	-	-
GB	GregoryHands	minister	2016-07-15	2017-06-13	-	-	-	-	-	-
GB	GregoryHands	minister	2017-06-13	2018-01-09	-	-	-	-	-	-
GB	GregoryHands	minister	2018-01-09	2018-06-21	-	-	-	-	-	-
GB	GregoryHands	minister	2020-02-13	-	-	-	-	-	-	-
GB	MichaelMoore	minister	2010-05-29	2013-10-07	-	-	-	-	-	-
GB	JamesBerry	minister	2017-06-14	2018-01-08	-	-	-	-	-	-
GB	JamesBerry	minister	2018-01-08	2019-07-25	-	-	-	-	-	-
GB	JamesBerry	minister	2019-06-07	2019-07-25	-	-	-	-	-	-
GB	JamesBerry	minister	2019-07-25	2020-02-13	-	-	-	-	-	-
GB	RobinWalker	minister	2016-07-17	2019-07-26	-	-	-	-	-	-
GB	RobinWalker	minister	2019-07-26	2019-12-16	-	-	-	-	-	-
GB	RobinWalker	minister	2019-12-16	-	-	-	-	-	-	-
GB	RobinWalker	minister	2020-02-13	-	-	-	-	-	-	-
GB	ArchibaldHamilton	minister	1982-05-11	1984-10-03	-	-	-	-	-	-
GB	ArchibaldHamilton	minister	1984-10-03	1986-09-10	-	-	-	-	-	-
GB	ArchibaldHamilton	minister	1986-09-10	1987-06-12	-	-	-	-	-	-
GB	ArchibaldHamilton	minister	1988-07-25	1993-05-26	-	-	-	-	-	-
GB	GrahamAllen	minister	1997-05-08	1998-07-28	-	-	-	-	-	-
GB	GrahamAllen	minister	1998-07-28	2001-06-07	-	-	-	-	-	-
GB	TheodoreAgnew	minister	2017-09-28	2020-02-13	-	-	-	-	-	-
GB	TheodoreAgnew	minister	2020-02-13	-	-	-	-	-	-	-
GB	PhilipDunne	minister	2010-05-12	2012-09-06	-	-	-	-	-	-
GB	PhilipDunne	minister	2012-09-06	2015-05-08	-	-	-	-	-	-
GB	PhilipDunne	minister	2015-05-08	2016-07-16	-	-	-	-	-	-
GB	PhilipDunne	minister	2016-07-16	2018-01-09	-	-	-	-	-	-
GB	NormanBaker	minister	2010-05-14	2013-10-07	-	-	-	-	-	-
GB	NormanBaker	minister	2013-10-07	2014-11-04	-	-	-	-	-	-
GB	DavidWilletts	minister	1994-07-20	1995-07-07	-	-	-	-	-	-
GB	DavidWilletts	minister	1995-07-08	1995-11-28	-	-	-	-	-	-
GB	DavidWilletts	minister	1995-11-28	1996-12-15	-	-	-	-	-	-
GB	DavidWilletts	minister	1996-07-20	1996-12-15	-	-	-	-	-	-
GB	DavidWilletts	minister	2010-05-12	2014-07-15	-	-	-	-	-	-
GB	DavidHanson	minister	1998-07-28	1999-07-29	-	-	-	-	-	-
GB	DavidHanson	minister	1999-07-29	2001-06-07	-	-	-	-	-	-
GB	DavidHanson	minister	2005-05-05	2007-04-05	-	-	-	-	-	-
GB	DavidHanson	minister	2007-05-09	2009-06-05	-	-	-	-	-	-
GB	DavidHanson	minister	2009-06-05	2010-05-06	-	-	-	-	-	-
GB	GarethJohnson	minister	2018-11-05	2019-01-14	-	-	-	-	-	-
GB	PaulDeighton	minister	2013-01-01	2015-05-07	-	-	-	-	-	-
GB	JonathanDjanogly	minister	2010-05-17	2012-09-06	-	-	-	-	-	-
GB	BeverleyHughes	minister	1999-07-29	2001-06-07	-	-	-	-	-	-
GB	BeverleyHughes	minister	2001-06-11	2002-05-28	-	-	-	-	-	-
GB	BeverleyHughes	minister	2002-05-29	2004-04-01	-	-	-	-	-	-
GB	BeverleyHughes	minister	2005-05-10	2007-06-28	-	-	-	-	-	-
GB	BeverleyHughes	minister	2007-06-28	2009-06-05	-	-	-	-	-	-
GB	AnneMilton	minister	2010-05-17	2012-09-06	-	-	-	-	-	-
GB	AnneMilton	minister	2012-09-06	2014-07-15	-	-	-	-	-	-
GB	AnneMilton	minister	2014-07-15	2015-05-08	-	-	-	-	-	-
GB	AnneMilton	minister	2015-05-11	2017-06-12	-	-	-	-	-	-
GB	AnneMilton	minister	2017-06-12	2019-07-23	-	-	-	-	-	-
GB	AnneMilton	minister	2017-07-03	2018-01-16	-	-	-	-	-	-
GB	WilliamMcKenzie	minister	2005-05-10	2007-01-08	-	-	-	-	-	-
GB	WilliamMcKenzie	minister	2007-01-09	2007-06-28	-	-	-	-	-	-
GB	WilliamMcKenzie	minister	2007-07-02	2010-05-06	-	-	-	-	-	-
GB	WilliamMcKenzie	minister	2009-06-05	2010-05-06	-	-	-	-	-	-
GB	HilaryBenn	minister	2001-06-11	2002-05-28	-	-	-	-	-	-
GB	HilaryBenn	minister	2002-05-29	2003-05-13	-	-	-	-	-	-
GB	HilaryBenn	minister	2003-05-13	2003-10-06	-	-	-	-	-	-
GB	HilaryBenn	minister	2003-10-06	2007-06-28	-	-	-	-	-	-
GB	HilaryBenn	minister	2007-06-28	2010-05-06	-	-	-	-	-	-
GB	DavidMowat	minister	2016-07-17	2017-05-03	-	-	-	-	-	-
GB	HelenWhately	minister	2019-09-10	2020-02-13	-	-	-	-	-	-
GB	HelenWhately	minister	2020-02-13	-	-	-	-	-	-	-
GB	JohnBassam	minister	2001-06-07	2008-10-05	-	-	-	-	-	-
GB	JohnBassam	minister	2008-10-05	2010-05-06	-	-	-	-	-	-
GB	DavidHunt	minister	1981-09-30	1983-02-22	-	-	-	-	-	-
GB	DavidHunt	minister	1983-02-23	1984-09-10	-	-	-	-	-	-
GB	DavidHunt	minister	1984-09-11	1987-06-13	-	-	-	-	-	-
GB	DavidHunt	minister	1987-06-15	1989-07-24	-	-	-	-	-	-
GB	DavidHunt	minister	1989-07-25	1990-05-03	-	-	-	-	-	-
GB	DavidHunt	minister	1990-05-04	1993-05-27	-	-	-	-	-	-
GB	DavidHunt	minister	1993-05-27	1994-07-19	-	-	-	-	-	-
GB	DavidHunt	minister	1994-07-20	1995-07-04	-	-	-	-	-	-
GB	ThomasMcAvoy	minister	1997-05-08	2008-10-05	-	-	-	-	-	-
GB	ThomasMcAvoy	minister	2008-10-05	2010-05-06	-	-	-	-	-	-
GB	JoanneSwinson	minister	2012-09-06	2013-12-20	-	-	-	-	-	-
GB	JoanneSwinson	minister	2014-06-30	2015-05-08	-	-	-	-	-	-
GB	GeorgeFoulkes	minister	1997-05-06	2001-01-25	-	-	-	-	-	-
GB	GeorgeFoulkes	minister	2001-01-25	2002-05-28	-	-	-	-	-	-
GB	LiamByrne	minister	2005-05-10	2006-05-05	-	-	-	-	-	-
GB	LiamByrne	minister	2006-05-05	2006-05-22	-	-	-	-	-	-
GB	LiamByrne	minister	2006-05-22	2007-05-08	-	-	-	-	-	-
GB	LiamByrne	minister	2007-05-09	2007-06-28	-	-	-	-	-	-
GB	LiamByrne	minister	2007-06-28	2008-10-03	-	-	-	-	-	-
GB	LiamByrne	minister	2007-06-29	2008-10-06	-	-	-	-	-	-
GB	LiamByrne	minister	2008-01-25	2008-10-03	-	-	-	-	-	-
GB	LiamByrne	minister	2008-10-03	2009-06-05	-	-	-	-	-	-
GB	LiamByrne	minister	2009-06-06	2010-05-06	-	-	-	-	-	-
GB	MichaelBates	minister	1994-07-20	1995-01-01	-	-	-	-	-	-
GB	MichaelBates	minister	1995-01-01	1996-01-01	-	-	-	-	-	-
GB	MichaelBates	minister	1996-12-16	1997-05-01	-	-	-	-	-	-
GB	MichaelBates	minister	2013-10-07	2014-08-06	-	-	-	-	-	-
GB	MichaelBates	minister	2014-08-06	2015-05-07	-	-	-	-	-	-
GB	MichaelBates	minister	2015-05-12	2016-03-31	-	-	-	-	-	-
GB	MichaelBates	minister	2016-10-14	2019-04-23	-	-	-	-	-	-
GB	SallyOppenheimBarnes	minister	1979-05-06	1982-03-04	-	-	-	-	-	-
GB	MarkHunter	minister	2010-05-12	2014-10-13	-	-	-	-	-	-
