Country	PersonID	Role	From	To	GovtTermID	MinistryID	Name-xx	Name-en	URL	Comment
IS	THorgerdurGunnarsdottir	minister	2017-01-11	2017-11-29	GOV_LV.44	-	Sjávarútvegs- og landbúnaðarráðherra	Minister of Fisheries and Agriculture	-	-
IS	BjarniBenediktsson1970	minister	2013-05-23	2016-04-06	GOV_LV.42	-	Fjármála- og efnahagsráðherra	Minister of Finance and Economy	-	-
IS	BjarniBenediktsson1970	minister	2016-04-07	2017-01-10	GOV_LV.43	-	Fjármála- og efnahagsráðherra	Minister of Finance and Economy	-	-
IS	BjarniBenediktsson1970	minister	2017-01-11	2017-11-29	GOV_LV.44	-	Forsætisráðherra	Prime Minister	-	-
IS	BjarniBenediktsson1970	minister	2017-11-30	2021-11-27	GOV_LV.45	-	Fjármála- og efnahagsráðherra	Minister of Finance and Economy	-	-
IS	BjarniBenediktsson1970	minister	2021-11-28	-	GOV_LV.46	-	Fjármála- og efnahagsráðherra	Minister of Finance and Economy	-	-
IS	GudlaugurTHordarson	minister	2017-01-11	2017-11-29	GOV_LV.44	-	Utanríkisráðherra	Minister of Foreign Affairs	-	-
IS	GudlaugurTHordarson	minister	2017-11-30	2019-12-31	GOV_LV.45	-	Utanríkisráðherra	Minister of Foreign Affairs	-	-
IS	GudlaugurTHordarson	minister	2020-01-01	2021-11-27	GOV_LV.45	-	utanríkis- og þróunarsamvinnuráðherra	Minister of Foreign Affairs and Development Cooperation	-	-
IS	GudlaugurTHordarson	minister	2021-11-29	-	GOV_LV.46	-	Umhverfis-, orku- og loftslagsráðherra	Minister of Environment, Energy and Climate	-	-
IS	IllugiGunnarsson	minister	2013-05-23	2016-04-06	GOV_LV.42	-	Mennta- og menningarmálaráðherra	Minister of Eduaction and Culture	-	-
IS	IllugiGunnarsson	minister	2016-04-07	2017-01-10	GOV_LV.43	-	Mennta- og menningarmálaráðherra	Minister of Eduaction and Culture	-	-
IS	JonGunnarsson	minister	2017-01-11	2017-11-29	GOV_LV.44	-	Sveitastjórna- og samgöngumálaráðherra	Minister of Municipal Affairs and Transport	-	-
IS	JonGunnarsson	minister	2021-11-29	2022-01-31	GOV_LV.46	-	Innanríkiráðherra	Minister of the Interior	-	-
IS	JonGunnarsson	minister	2022-02-01	-	GOV_LV.46	-	Dómsmálaráðherra	Minister of Justice	-	-
IS	KatrinJakobsdottir	minister	2017-11-30	2021-11-27	GOV_LV.45	-	Forsætisráðherra	Prime Minister	-	-
IS	KatrinJakobsdottir	minister	2021-11-28	-	GOV_LV.46	-	Forsætisráðherra	Prime Minister	-	-
IS	KristjanJuliusson	minister	2013-05-23	2016-04-06	GOV_LV.42	-	Heilbirigðisráðherra	Minister of Health	-	-
IS	KristjanJuliusson	minister	2016-04-07	2017-01-10	GOV_LV.43	-	Heilbirigðisráðherra	Minister of Health	-	-
IS	KristjanJuliusson	minister	2017-01-11	2017-11-29	GOV_LV.44	-	Mennta- og menningarmálaráðherra	Minister of Eduaction and Culture	-	-
IS	KristjanJuliusson	minister	2017-01-24	2017-11-29	GOV_LV.44	-	Ráðherra norrænna samstarfsmála	Minister of Nordic Cooperation	-	-
IS	KristjanJuliusson	minister	2017-11-30	2021-11-27	GOV_LV.45	-	Sjávarútvegs- og landbúnaðarráðherra	Minister of Fisheries and Agriculture	-	-
IS	OlofNordal	minister	2014-12-04	2016-04-06	GOV_LV.42	-	Innanríkiráðherra	Minister of the Interior	-	-
IS	OlofNordal	minister	2016-04-07	2017-01-10	GOV_LV.43	-	Innanríkiráðherra	Minister of the Interior	-	-
IS	RagnheidurArnadottir	minister	2013-05-23	2016-04-06	GOV_LV.42	-	Iðnaðar- og viðskiparáðherra	Minister of Industry and Commerce	-	-
IS	RagnheidurArnadottir	minister	2016-04-07	2017-01-10	GOV_LV.43	-	Iðnaðar- og viðskiparáðherra	Minister of Industry and Commerce	-	-
IS	EygloHardardottir	minister	2013-05-23	2016-04-06	GOV_LV.42	-	Húsnæðis- og félagsmálaráðherra	Minister of Housing and Social Affairs	-	-
IS	EygloHardardottir	minister	2013-09-30	2016-04-06	GOV_LV.42	-	Ráðherra norrænna samstarfsmála	Minister of Nordic Cooperation	-	-
IS	EygloHardardottir	minister	2016-04-07	2017-01-10	GOV_LV.43	-	Ráðherra norrænna samstarfsmála	Minister of Nordic Cooperation	-	-
IS	AsmundurDadason	minister	2017-11-30	2018-12-31	GOV_LV.45	-	Félags- og jafnréttismálaráðherra	Minister of Social Affairs and Equality	-	-
IS	AsmundurDadason	minister	2019-01-01	2021-11-27	GOV_LV.45	-	Barna- og félagsmálaráðherra	Minister of Chidren and Social Affairs	-	-
IS	AsmundurDadason	minister	2021-11-29	-	GOV_LV.46	-	Mennta- og barnamálaráðherra	Minister of Education and Children	-	-
IS	GunnarSveinsson	minister	2013-05-23	2016-04-06	GOV_LV.42	-	Utanríkisráðherra	Minister of Foreign Affairs	-	-
IS	GunnarSveinsson	minister	2016-04-07	2017-01-10	GOV_LV.43	-	Sjávarútvegs- og landbúnaðarráðherra	Minister of Fisheries and Agriculture	-	-
IS	SigurdurJohannsson	minister	2013-05-23	2016-04-06	GOV_LV.42	-	Sjávarútvegs- og landbúnaðarráðherra	Minister of Fisheries and Agriculture	-	-
IS	SigurdurJohannsson	minister	2016-04-07	2017-01-10	GOV_LV.43	-	Forsætisráðherra	Prime Minister	-	-
IS	SigurdurJohannsson	minister	2017-11-30	2021-11-27	GOV_LV.45	-	Ráðherra norrænna samstarfsmála	Minister of Nordic Cooperation	-	-
IS	SigurdurJohannsson	minister	2021-11-29	-	GOV_LV.46	-	Innviðaráðherra	Minister of Infrastructure	-	-
IS	SigmundurGunnlaugsson	minister	2013-05-23	2016-04-06	GOV_LV.42	-	Forsætisráðherra	Prime Minister	-	-
IS	SvandisSvavarsdottir	minister	2017-11-30	2021-11-27	GOV_LV.45	-	Heilbirigðisráðherra	Minister of Health	-	-
IS	SvandisSvavarsdottir	minister	2021-11-29	2022-01-31	GOV_LV.46	-	Sjávarútvegs- og landbúnaðarráðherra	Minister of Fisheries and Agriculture	-	-
IS	SvandisSvavarsdottir	minister	2022-02-01	-	GOV_LV.46	-	Matvælaráðherra	Minister of Food	-	-
IS	SigrunMagnusdottir	minister	2014-12-31	2016-04-06	GOV_LV.42	-	Umhverfis- og auðlindamálaráðherra	Minister of Environment and Natural Resources	-	-
IS	SigrunMagnusdottir	minister	2016-04-07	2017-01-10	GOV_LV.43	-	Umhverfis- og auðlindamálaráðherra	Minister of Environment and Natural Resources	-	-
IS	SigridurAndersen	minister	2017-01-11	2017-11-29	GOV_LV.44	-	Dómsmálaráðherra	Minister of Justice	-	-
IS	SigridurAndersen	minister	2017-11-30	2019-03-14	GOV_LV.45	-	Dómsmálaráðherra	Minister of Justice	-	-
IS	BjortOlafsdottir	minister	2017-01-11	2017-11-29	GOV_LV.44	-	Umhverfis- og auðlindamálaráðherra	Minister of Environment and Natural Resources	-	-
IS	OttarrProppe	minister	2017-01-11	2017-11-29	GOV_LV.44	-	Heilbirigðisráðherra	Minister of Health	-	-
IS	WillumTHorsson	minister	2021-11-29	-	GOV_LV.46	-	Heilbirigðisráðherra	Minister of Health	-	-
IS	LiljaAlfredsdottir	minister	2016-04-07	2017-01-10	GOV_LV.43	-	Utanríkisráðherra	Minister of Foreign Affairs	-	-
IS	LiljaAlfredsdottir	minister	2017-11-30	2021-11-27	GOV_LV.45	-	Mennta- og menningarmálaráðherra	Minister of Eduaction and Culture	-	-
IS	LiljaAlfredsdottir	minister	2021-11-29	2022-01-31	GOV_LV.46	-	Ferðamála,- viðskipta- og menningarmálaráðherra	Minister of Tourism, Commerce and Culture	-	-
IS	LiljaAlfredsdottir	minister	2022-02-01	-	GOV_LV.46	-	Vðskipta og -menningarmálaráðherra	Minister of Commerce and Culture	-	-
IS	BenediktJohannesson	minister	2017-01-11	2017-11-29	GOV_LV.44	-	Fjármála- og efnahagsráðherra	Minister of Finance and Economy	-	-
IS	THordisGylfadottir	minister	2017-01-11	2017-11-29	GOV_LV.44	-	Ferðamála-, iðnaðar- og nýsköpunarráðherra	Minister of Tourism, Industry and Innovation	-	-
IS	THordisGylfadottir	minister	2017-11-30	2021-11-27	GOV_LV.45	-	Ferðamála-, iðnaðar- og nýsköpunarráðherra	Minister of Tourism, Industry and Innovation	-	-
IS	THordisGylfadottir	minister	2019-03-14	2019-09-06	GOV_LV.45	-	Dómsmálaráðherra	Minister of Justice	-	-
IS	THordisGylfadottir	minister	2021-11-29	2022-01-31	GOV_LV.46	-	utanríkis- og þróunarsamvinnuráðherra	Minister of Foreign Affairs and Development Cooperation	-	-
IS	THordisGylfadottir	minister	2022-02-01	-	GOV_LV.46	-	Utanríkisráðherra	Minister of Foreign Affairs	-	-
IS	THorsteinnViglundsson	minister	2017-01-11	2017-11-29	GOV_LV.44	-	Félags- og jafnréttismálaráðherra	Minister of Social Affairs and Equality	-	-
IS	AslaugSigurbjornsdottir	minister	2019-09-06	2021-11-27	GOV_LV.45	-	Dómsmálaráðherra	Minister of Justice	-	-
IS	AslaugSigurbjornsdottir	minister	2021-11-29	2022-01-31	GOV_LV.46	-	Vísinda-, iðnaðar- og nýsköpunarráðherra	Minister of Science, Industry and Innovation	-	-
IS	AslaugSigurbjornsdottir	minister	2022-02-01	-	GOV_LV.46	-	Háskóla-, iðnaðar- og nýsköpunarráð	Minister of Universities, Industry and Innovation	-	-
IS	GudmundurGudbrandsson	minister	2017-11-30	2021-11-27	GOV_LV.45	-	Umhverfis- og auðlindamálaráðherra	Minister of Environment and Natural Resources	-	-
IS	GudmundurGudbrandsson	minister	2021-11-29	2022-01-31	GOV_LV.46	-	Félags- og vinnumarkaðsráðherra	Minister of Social Affairs and Labour Market	-	-
IS	GudmundurGudbrandsson	minister	2021-11-30	-	GOV_LV.46	-	Ráðherra norrænna samstarfsmála	Minister of Nordic Cooperation	-	-
IS	GudmundurGudbrandsson	minister	2022-02-01	-	GOV_LV.46	-	Félags- og vinnumarkaðsráðherra	Minister of Social Affairs and Labour Market	-	-
=======
IS	THorgerdurGunnarsdottir	minister	2017-01-11	2017-11-30	GOV_LV.44	-	-	-	-	-
IS	BjarniBenediktsson1970	minister	2014-09-09	2016-10-28	GOV_LV.42	-	-	-	-	-
IS	BjarniBenediktsson1970	minister	2016-10-29	2017-01-11	GOV_LV.43	-	-	-	-	-
IS	BjarniBenediktsson1970	minister	2017-01-11	2017-11-30	GOV_LV.44	-	-	-	-	-
IS	BjarniBenediktsson1970	minister	2017-11-30	2020-09-30	GOV_LV.45	-	-	-	-	-
IS	GudlaugurTHordarson	minister	2017-01-11	2017-11-30	GOV_LV.44	-	-	-	-	-
IS	GudlaugurTHordarson	minister	2017-11-30	2019-12-31	GOV_LV.45	-	-	-	-	-
IS	GudlaugurTHordarson	minister	2020-01-01	2020-09-30	GOV_LV.45	-	-	-	-	-
IS	IllugiGunnarsson	minister	2014-09-09	2016-10-28	GOV_LV.42	-	-	-	-	-
IS	IllugiGunnarsson	minister	2016-10-29	2017-01-11	GOV_LV.43	-	-	-	-	-
IS	JonGunnarsson	minister	2017-01-11	2017-11-30	GOV_LV.44	-	-	-	-	-
IS	KatrinJakobsdottir	minister	2017-11-30	2020-09-30	GOV_LV.45	-	-	-	-	-
IS	KristjanJuliusson	minister	2014-09-09	2016-10-28	GOV_LV.42	-	-	-	-	-
IS	KristjanJuliusson	minister	2016-10-29	2017-01-11	GOV_LV.43	-	-	-	-	-
