Country	PersonID	Role	From	To	GovtTermID	MinistryID	Name-xx	Name-en	URL	Comment
IT	BongiornoGiulia	minister	2018-06-01	2019-09-04	GOV.CONTE.1	-	ministro per la pubblica amministrazione	minister for public administration	-	-
IT	PatuanelliStefano	minister	2019-09-13	2021-02-12	GOV.CONTE.2	-	ministro dello sviluppo economico	minister of economic development	-	-
IT	PatuanelliStefano	minister	2021-02-13	2022-10-22	GOV.DRAGHI.1	-	ministro delle politiche agricole alimentari e forestali	minister of agricultural food and forestry policies	-	-
IT	BonisoliAlberto	minister	2018-06-01	2019-09-04	GOV.CONTE.1	-	ministro per i beni e le attività culturali	minister for cultural heritage and activities	-	-
IT	CostaSergio	minister	2018-06-01	2019-09-04	GOV.CONTE.1	-	ministro dell'ambiente e della tutela del territorio e del mare	minister of the environment and the protection of the territory and the sea	-	-
IT	CostaSergio	minister	2019-09-05	2021-02-12	GOV.CONTE.2	-	ministro dell'ambiente e della tutela del territorio e del mare	minister of the environment and the protection of the territory and the sea	-	-
IT	BussettiMarco	minister	2018-06-01	2019-09-04	GOV.CONTE.1	-	ministro dell'istruzione, dell'università e della ricerca	minister of education, university and research	-	-
IT	TrentaElisabetta	minister	2018-06-01	2019-09-04	GOV.CONTE.1	-	ministro della difesa	minister of defense	-	-
IT	TriaGiovanni	minister	2018-06-01	2019-09-04	GOV.CONTE.1	-	ministro dell'economia e delle finanze	minister of economy and finance	-	-
IT	BellanovaTeresa	minister	2019-09-05	2021-01-14	GOV.CONTE.2	-	ministro delle politiche agricole alimentari e forestali	minister of agricultural food and forestry policies	-	-
IT	AmendolaVincenzo	minister	2019-09-05	2021-02-12	GOV.CONTE.2	-	ministro per gli affari europei	minister for european affairs	-	-
IT	LottiLuca	minister	2016-12-12	2018-05-31	GOV.GENTILONI.1	-	ministro per lo sport	minister for sport	-	-
IT	KyengeCecile	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	ministro per l'integrazione	minister for integration	-	-
IT	GianniniStefania	minister	2014-02-22	2016-12-11	GOV.RENZI.1	-	ministro dell'istruzione, dell'università e della ricerca	minister of education, university and research	-	-
IT	GualtieriRoberto	minister	2019-09-05	2021-02-12	GOV.CONTE.2	-	ministro dell'economia e delle finanze	minister of economy and finance	-	-
IT	SaccomanniFabrizio	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	ministro dell'economia e delle finanze	minister of economy and finance	-	-
IT	TrigiliaCarlo	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	ministro per la coesione territoriale	minister for territorial cohesion	-	-
IT	BonettiElena	minister	2019-09-05	2021-01-14	GOV.CONTE.2	-	ministro per le pari opportunità e la famiglia	minister for equal opportunities and family	-	-
IT	BonettiElena	minister	2021-02-13	2022-10-22	GOV.DRAGHI.1	-	ministro per le pari opportunità e la famiglia	minister for equal opportunities and family	-	-
IT	GiovanniniEnrico	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	ministro del lavoro e delle politiche sociali	minister of labor and social policies	-	-
IT	GiovanniniEnrico	minister	2021-02-13	2022-10-22	GOV.DRAGHI.1	-	ministro delle infrastrutture e della mobilità sostenibili	minister of sustainable infrastructure and mobility	-	-
IT	ZanonatoFlavio	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	ministro dello sviluppo economico	minister of economic development	-	-
IT	PisanoPaola	minister	2019-09-05	2021-02-12	GOV.CONTE.2	-	ministro per l'innovazione tecnologica e la digitalizzazione	minister for technological innovation and digitization	-	-
IT	SavonaPaolo	minister	2018-06-01	2019-03-08	GOV.CONTE.1	-	ministro per gli affari europei	minister for european affairs	-	-
IT	CentinaioGianMarco	minister	2018-06-01	2019-09-04	GOV.CONTE.1	-	ministro delle politiche agricole alimentari, forestali e del turismo	minister of agricultural food, forestry and tourism policies	-	-
IT	CatalfoNunzia	minister	2019-09-05	2021-02-12	GOV.CONTE.2	-	ministro del lavoro e delle politiche sociali	minister of labor and social policies	-	-
IT	CarfagnaMariaRosaria	minister	2021-02-13	2022-10-22	GOV.DRAGHI.1	-	ministro per il Sud e la coesione territoriale	minister for the south and territorial cohesion	-	-
IT	BonafedeAlfonso	minister	2018-06-01	2019-09-04	GOV.CONTE.1	-	ministro della giustizia	minister of justice	-	-
IT	BonafedeAlfonso	minister	2019-09-05	2021-02-12	GOV.CONTE.2	-	ministro della giustizia	minister of justice	-	-
IT	BoschiMariaElena	minister	2014-02-22	2016-12-11	GOV.RENZI.1	-	ministro per le riforme costituzionali e i rapporti con il Parlamento	minister for constitutional reforms and relations with parliament	-	-
IT	MadiaMariaAnna	minister	2014-02-22	2016-12-11	GOV.RENZI.1	-	ministro per la semplificazione e la pubblica amministrazione	minister for simplification and public administration	-	-
IT	MadiaMariaAnna	minister	2016-12-12	2018-05-31	GOV.GENTILONI.1	-	ministro per la semplificazione e la pubblica amministrazione	minister for simplification and public administration	-	-
IT	LorenzinBeatrice	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	ministro della salute	minister of health	-	-
IT	LorenzinBeatrice	minister	2014-02-22	2016-12-11	GOV.RENZI.1	-	ministro della salute	minister of health	-	-
IT	LorenzinBeatrice	minister	2016-12-12	2018-05-31	GOV.GENTILONI.1	-	ministro della salute	minister of health	-	-
IT	ManfrediGaetano	minister	2020-01-10	2021-02-12	GOV.CONTE.2	-	ministro dell'università e della ricerca	minister of university and research	-	-
IT	OrlandoAndrea	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	ministro dell'ambiente e della tutela del territorio e del mare	minister of the environment and the protection of the territory and the sea	-	-
IT	OrlandoAndrea	minister	2014-02-22	2016-12-11	GOV.RENZI.1	-	ministro della giustizia	minister of justice	-	-
IT	OrlandoAndrea	minister	2016-12-12	2018-05-31	GOV.GENTILONI.1	-	ministro della giustizia	minister of justice	-	-
IT	OrlandoAndrea	minister	2021-02-13	2022-10-22	GOV.DRAGHI.1	-	ministro del lavoro e delle politiche sociali	minister of labor and social policies	-	-
IT	MogheriniFederica	minister	2014-02-22	2014-10-31	GOV.RENZI.1	-	ministro degli affari esteri e della cooperazione internazionale	minister of foreign affairs and international cooperation	-	-
IT	DAliaGianpiero	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	ministro per la pubblica amministrazione e la semplificazione	minister for public administration and simplification	-	-
IT	DeVincentiClaudio	minister	2016-12-12	2018-05-31	GOV.GENTILONI.1	-	ministro per la coesione territoriale e il Mezzogiorno	minister for territorial cohesion and the south	-	-
IT	LupiMaurizio	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	ministro delle infrastrutture e dei trasporti	minister of infrastructure and transport	-	-
IT	LupiMaurizio	minister	2014-02-22	2015-03-20	GOV.RENZI.1	-	ministro delle infrastrutture e dei trasporti	minister of infrastructure and transport	-	-
